npm,acc,nom,npa,noa,cbo,amloc,lcom4,dit,noc,accm,_module,loc,_filename,anpm,mmloc,rfc,sc,folder,type
1,0,1,0,0,0,9,1,0,0,1,monsteerGUI,9,['apps/monsteerGUI/monsteerGUI.cpp'],2,9,1,0,Monsteer-master,music
1,0,1,0,0,1,6,1,0,0,1,monsteer_spike_receiver,6,['apps/monsteer_spike_receiver.cpp'],2,6,2,1,Monsteer-master,music
2,1,2,0,2,0,8.5,2,0,0,2,SpikeReceiver,17,['apps/monsteer_spike_receiver.cpp'],1,12,3,0,Monsteer-master,music
1,2,1,5,5,0,55,1,0,0,3,CommandLineOptions,55,['apps/monsteer_spike_receiver.cpp'],2,55,6,0,Monsteer-master,music
3,0,5,0,4,0,13,1,0,0,2,SteeringHandler,65,['apps/music_proxy.cpp'],1,31,16,0,Monsteer-master,music
1,0,1,0,0,1,6,1,0,0,1,music_proxy,6,['apps/music_proxy.cpp'],2,6,2,1,Monsteer-master,music
3,1,3,0,4,0,14.3333333333333,2,1,0,2.66666666666667,SpikesHandler,43,['apps/music_proxy.cpp'],1.33333333333333,31,8,0,Monsteer-master,music
2,1,2,0,7,2,21.5,1,1,0,3,Proxy,43,['apps/music_proxy.cpp'],1,28,15,2,Monsteer-master,music
1,0,1,0,0,1,6,1,0,0,1,music_spike_writer,6,['apps/music_spike_writer.cpp'],2,6,2,1,Monsteer-master,music
2,1,3,0,6,0,22.3333333333333,1,1,0,2.66666666666667,MusicSpikeWriter,67,['apps/music_spike_writer.cpp'],0.666666666666667,44,14,0,Monsteer-master,music
3,1,3,0,0,1,5.33333333333333,3,0,0,1,spikeReport,16,['monsteer/plugin/spikeReport.cpp'],0.333333333333333,7,5,3,Monsteer-master,music
10,0,14,0,5,2,16.2142857142857,5,1,0,2.57142857142857,monsteer::plugin::SpikeReport,227,"['monsteer/plugin/spikeReport.h', 'monsteer/plugin/spikeReport.cpp']",0.714285714285714,40,40,10,Monsteer-master,music
1,0,1,0,0,1,4,1,0,0,1,monsteer,4,['monsteer/python/monsteer.cpp'],1,4,2,1,Monsteer-master,music
4,1,4,0,0,2,8.5,1,0,0,1.5,monsteer/python/simulator,34,['monsteer/python/simulator.cpp'],1.75,10,12,2,Monsteer-master,music
1,1,1,0,0,2,10,1,0,0,1,python/simulator,10,"['monsteer/python/simulator.h', 'monsteer/python/simulator.cpp']",0,10,6,2,Monsteer-master,music
7,0,7,0,0,1,6.42857142857143,7,1,0,1.57142857142857,monsteer::qt::GeneratorModel,45,"['monsteer/qt/GeneratorModel.h', 'monsteer/qt/GeneratorModel.cpp']",1.28571428571429,16,9,7,Monsteer-master,music
10,4,10,0,1,0,10.9,6,1,0,2.4,monsteer::qt::GeneratorPropertiesModel,109,"['monsteer/qt/GeneratorPropertiesModel.h', 'monsteer/qt/GeneratorPropertiesModel.cpp']",1.3,39,15,0,Monsteer-master,music
5,0,5,0,0,1,31,5,1,0,4.6,monsteer::qt::PropertyEditDelegate,155,"['monsteer/qt/PropertyEditDelegate.h', 'monsteer/qt/PropertyEditDelegate.cpp']",2.4,56,6,5,Monsteer-master,music
12,1,12,7,7,4,12.6666666666667,1,0,0,1.91666666666667,monsteer::qt::SteeringWidget::Impl,152,['monsteer/qt/SteeringWidget.cpp'],0.333333333333333,30,49,4,Monsteer-master,music
2,0,2,0,1,1,25,1,1,0,1,monsteer::qt::SteeringWidget,50,"['monsteer/qt/SteeringWidget.h', 'monsteer/qt/SteeringWidget.cpp']",0.5,46,6,1,Monsteer-master,music
4,4,4,0,0,0,47.5,2,0,0,7.5,nestData,190,"['monsteer/qt/nestData.cpp', 'monsteer/qt/nestData.h']",1.25,102,6,0,Monsteer-master,music
0,0,0,0,0,0,0,0,0,0,0,qt/types,0,['monsteer/qt/types.h'],0,0,0,0,Monsteer-master,music
7,0,7,0,2,2,5.57142857142857,4,2,0,1,monsteer::steering::NESTSimulator,39,"['monsteer/steering/plugin/nestSimulator.h', 'monsteer/steering/plugin/nestSimulator.cpp']",0.857142857142857,8,14,8,Monsteer-master,music
1,4,1,1,1,0,4,1,0,0,1,monsteer::Simulator::Impl,4,['monsteer/steering/simulator.cpp'],1,4,1,0,Monsteer-master,music
6,9,6,0,1,2,4.66666666666667,2,1,0,1,monsteer::Simulator,28,"['monsteer/steering/simulator.h', 'monsteer/steering/simulator.cpp']",0.833333333333333,6,17,4,Monsteer-master,music
5,2,5,0,0,0,1,5,1,2,1,monsteer::SimulatorPlugin,5,['monsteer/steering/simulatorPlugin.h'],0.8,1,5,0,Monsteer-master,music
1,4,1,1,1,0,4,1,0,0,1,monsteer::SimulatorPluginInitData,4,['monsteer/steering/simulatorPlugin.h'],1,4,1,0,Monsteer-master,music
1,0,1,0,0,1,4,1,0,0,1,simulatorPlugin,4,['monsteer/steering/simulatorPlugin.h'],1,4,2,1,Monsteer-master,music
0,0,0,0,0,0,0,0,0,0,0,types,0,['monsteer/types.h'],0,0,0,0,Monsteer-master,music
0,9,0,4,4,0,0,0,0,0,0,SimulatorData,0,['tests/simulator.cpp'],0,0,0,0,Monsteer-master,music
7,0,7,0,0,3,3.28571428571429,7,2,0,1,DummySimulator,23,['tests/simulator.cpp'],0.857142857142857,6,23,21,Monsteer-master,music
8,14,8,3,3,2,7.25,2,0,0,1.375,tests/simulator,58,['tests/simulator.cpp'],1.125,14,31,4,Monsteer-master,music
14,0,14,1,1,0,22.2142857142857,2,0,0,2.21428571428571,spikeStreamReport,311,['tests/spikeStreamReport.cpp'],1,62,31,0,Monsteer-master,music
18,6,18,0,5,1,13.6111111111111,5,0,0,2.5,Associations,245,"['Winyl/src/Associations.h', 'Winyl/src/Associations.cpp']",0.888888888888889,48,41,5,winyl-master,music
7,0,7,0,1,0,3.14285714285714,3,0,0,1.14285714285714,AutoHandle,22,['Winyl/src/AutoHandle.h'],0.285714285714286,12,13,0,winyl-master,music
7,5,7,0,1,0,2.85714285714286,7,0,0,1,AutoCom,20,['Winyl/src/AutoHandle.h'],0.428571428571429,9,7,0,winyl-master,music
34,16,42,0,17,4,14.8809523809524,3,0,0,2.4047619047619,ContextMenu,625,"['Winyl/src/ContextMenu.h', 'Winyl/src/ContextMenu.cpp']",1.14285714285714,57,149,12,winyl-master,music
5,4,8,0,1,3,16.25,3,0,0,2.75,CoverLoader,130,"['Winyl/src/CoverLoader.h', 'Winyl/src/CoverLoader.cpp']",1,35,29,9,winyl-master,music
0,2,0,5,5,0,0,0,0,0,0,CueFile::CueTrack,0,"['Winyl/src/CueFile.h', 'Winyl/src/CueFile.cpp']",0,0,0,0,winyl-master,music
12,3,18,0,3,2,21.5555555555556,7,0,0,3.83333333333333,CueFile,388,"['Winyl/src/CueFile.h', 'Winyl/src/CueFile.cpp']",1.22222222222222,152,49,14,winyl-master,music
0,7,0,9,9,0,0,0,0,0,0,CueFile::CueHeader,0,"['Winyl/src/CueFile.h', 'Winyl/src/CueFile.cpp']",0,0,0,0,winyl-master,music
0,0,0,2,2,0,0,0,0,0,0,DBase::Collapsed,0,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",0,0,0,0,winyl-master,music
0,10,0,40,40,0,0,0,0,0,0,DBase::DATABASE_SONGINFO,0,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",0,0,0,0,winyl-master,music
16,27,16,0,1,0,4.125,8,0,0,1.3125,DBase::SQLFile,66,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",0.625,12,28,0,winyl-master,music
