,agent_type,auc,f1_score,feature_importance,fpr,model,model_name,tpr,type_class,feature rank
0,agent,0.06310013717421128,0.5714285714285715,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.07407407 0.09876543 0.75308642 0.75308642
 0.83950617 0.83950617 0.91358025 0.91358025 0.96296296 0.96296296
 0.98765432 0.98765432 1.         1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.         0.         0.11111111
 0.11111111 0.22222222 0.22222222 0.33333333 0.33333333 0.44444444
 0.44444444 0.77777778 0.77777778 1.        ]",Robocup-2D,"['analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_noc_mean', 'analizo_cbo_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_amloc_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_acc_mean', 'analizo_npa_mean', 'analizo_sc_mean']"
1,Robot,0.1162280701754386,0.2857142857142857,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01315789 0.07894737 0.09210526 0.14473684 0.22368421
 0.27631579 0.60526316 0.60526316 0.75       0.75       0.97368421
 0.97368421 0.98684211 0.98684211 1.         1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.16666667 0.16666667 0.33333333 0.33333333
 0.5        0.5        0.83333333 0.83333333 1.        ]",Robcup-Other-Leagues,"['analizo_amloc_mean', 'analizo_anpm_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_noa_mean', 'analizo_cbo_mean', 'analizo_nom_mean', 'analizo_lcom4_mean', 'analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_rfc_mean']"
2,non-agent,0.5432900432900433,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01298701 0.16883117 0.16883117 0.19480519 0.19480519
 0.20779221 0.20779221 0.28571429 0.28571429 0.4025974  0.4025974
 0.41558442 0.41558442 0.42857143 0.42857143 0.66233766 0.66233766
 0.67532468 0.67532468 0.77922078 0.79220779 0.84415584 0.85714286
 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.08333333 0.08333333 0.16666667
 0.16666667 0.25       0.25       0.33333333 0.33333333 0.5
 0.5        0.58333333 0.58333333 0.66666667 0.66666667 0.75
 0.75       0.83333333 0.83333333 0.91666667 0.91666667 1.
 1.        ]",Security,"['analizo_amloc_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_dit_mean', 'analizo_mmloc_mean', 'analizo_npm_mean']"
3,non-agent,0.4767932489451477,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01265823 0.24050633 0.24050633 0.36708861 0.37974684
 0.55696203 0.56962025 0.59493671 0.59493671 0.65822785 0.65822785
 0.70886076 0.70886076 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.5        0.5        0.66666667 0.66666667 0.83333333
 0.83333333 1.         1.        ]",Mobile,"['analizo_cbo_mean', 'analizo_noa_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_dit_mean', 'analizo_mmloc_mean', 'analizo_noc_mean', 'analizo_sc_mean', 'analizo_nom_mean', 'analizo_anpm_mean', 'analizo_acc_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_lcom4_mean', 'analizo_accm_mean']"
4,non-agent,0.4173076923076923,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01282051 0.25641026 0.25641026 0.3974359  0.3974359
 0.47435897 0.47435897 0.51282051 0.51282051 0.53846154 0.56410256
 0.57692308 0.57692308 0.58974359 0.58974359 0.66666667 0.67948718
 0.75641026 0.75641026 0.76923077 0.82051282 0.83333333 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.4 0.4 0.5 0.5 0.6 0.6 0.7
 0.7 0.8 0.9 0.9 1.  1. ]",Ide,"['analizo_dit_mean', 'analizo_mmloc_mean', 'analizo_noa_mean', 'analizo_rfc_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_accm_mean', 'analizo_anpm_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_nom_mean', 'analizo_acc_mean', 'analizo_noc_mean']"
5,non-agent,0.5217948717948718,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.         0.25641026 0.25641026 0.46153846 0.48717949
 0.51282051 0.52564103 0.67948718 0.69230769 0.92307692 0.93589744
 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0.  0.2 0.2 0.4 0.4 0.4 0.4 0.6 0.6 0.8 0.8 1.  1. ],Finance,"['analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noa_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_cbo_mean', 'analizo_npm_mean']"
6,non-agent,0.4277777777777778,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01388889 0.09722222 0.11111111 0.125      0.125
 0.375      0.375      0.48611111 0.48611111 0.51388889 0.52777778
 0.61111111 0.61111111 0.625      0.625      0.63888889 0.63888889
 0.65277778 0.65277778 0.77777778 0.79166667 0.83333333 0.83333333
 0.875      0.875      0.91666667 0.93055556 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.06666667 0.06666667 0.13333333
 0.13333333 0.26666667 0.26666667 0.33333333 0.33333333 0.4
 0.4        0.46666667 0.46666667 0.53333333 0.53333333 0.6
 0.6        0.73333333 0.73333333 0.8        0.8        0.86666667
 0.86666667 0.93333333 0.93333333 1.         1.        ]",Education,"['analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_dit_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_amloc_mean', 'analizo_noa_mean']"
7,non-agent,0.5448717948717949,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01282051 0.20512821 0.23076923 0.26923077 0.28205128
 0.46153846 0.47435897 0.61538462 0.64102564 0.76923077 0.76923077
 0.78205128 0.78205128 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.33333333 0.33333333 0.5
 0.5        0.66666667 0.66666667 0.66666667 0.66666667 0.83333333
 0.83333333 1.         1.        ]",Games,"['analizo_accm_mean', 'analizo_lcom4_mean', 'analizo_mmloc_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_cbo_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_acc_mean', 'analizo_rfc_mean']"
8,non-agent,0.44129554655870445,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01315789 0.09210526 0.09210526 0.15789474 0.15789474
 0.23684211 0.23684211 0.47368421 0.47368421 0.53947368 0.53947368
 0.60526316 0.61842105 0.65789474 0.65789474 0.67105263 0.67105263
 0.68421053 0.68421053 0.69736842 0.69736842 0.72368421 0.73684211
 0.84210526 0.86842105 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.07692308 0.07692308 0.15384615
 0.15384615 0.23076923 0.23076923 0.30769231 0.30769231 0.38461538
 0.38461538 0.46153846 0.46153846 0.53846154 0.53846154 0.61538462
 0.61538462 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385
 0.84615385 1.         1.        ]",Graphics,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_accm_mean', 'analizo_sc_mean', 'analizo_mmloc_mean', 'analizo_cbo_mean', 'analizo_dit_mean', 'analizo_rfc_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_nom_mean']"
9,non-agent,0.509375,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)",[0.     0.0125 0.1875 0.1875 0.7875 0.8    1.    ],"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0.  0.  0.  0.5 0.5 1.  1. ],Robot-Simulation,"['analizo_accm_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_noc_mean', 'analizo_amloc_mean', 'analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean', 'analizo_cbo_mean']"
