,teamname,loss,S,R,games,tie,win,competition,year,win_diff,win_rate,goals_diff,loss_rate,team,rank
0,-humboldt,4.0,0,13,4,0.0,0.0,WorldCup,2005,-1.0,0.0,-3.25,1.0,humboldt,
1,chagamma,5.0,1,25,5,0.0,0.0,WorldCup,2003,-1.0,0.0,-4.8,1.0,chagamma,
2,og,4.0,1,11,4,0.0,0.0,JapanAutumnCamp,2010,-1.0,0.0,-2.5,1.0,og,
3,_utaustinvilla,1.0,0,6,1,0.0,0.0,USOpens,2004,-1.0,0.0,-6.0,1.0,utaustinvilla,
4,ahua,3.0,1,11,3,0.0,0.0,ChinaOpens,2007,-1.0,0.0,-3.3333333333333335,1.0,ahua,
5,kickofftug,18.0,0,55,18,0.0,0.0,WorldCup,2008,-1.0,0.0,-3.0555555555555554,1.0,kickofftug,
6,baibuti,5.0,0,24,5,0.0,0.0,ChinaOpens,2007,-1.0,0.0,-4.8,1.0,baibuti,
7,_calm2d,4.0,2,11,4,0.0,0.0,ChinaOpens,2007,-1.0,0.0,-2.25,1.0,calm2d,
8,borregos,5.0,0,15,5,0.0,0.0,WorldCup,2012,-1.0,0.0,-3.0,1.0,borregos,
9,borregos,10.0,1,39,10,0.0,0.0,USOpens,2005,-1.0,0.0,-3.8,1.0,borregos,
10,-goove,1.0,0,2,1,0.0,0.0,WorldCup,2001,-1.0,0.0,-2.0,1.0,goove,
11,jmu,2.0,0,6,2,0.0,0.0,ChinaOpens,2007,-1.0,0.0,-3.0,1.0,jmu,
12,_hat,2.0,2,7,2,0.0,0.0,IranOpens,2017,-1.0,0.0,-2.5,1.0,hat,
13,_none,1.0,0,4,1,0.0,0.0,WorldCup,2001,-1.0,0.0,-4.0,1.0,none,
14,_owl,1.0,0,1,1,0.0,0.0,WorldCup,2001,-1.0,0.0,-1.0,1.0,owl,
15,cug,5.0,4,17,5,0.0,0.0,ChinaOpens,2007,-1.0,0.0,-2.6,1.0,cug,
16,tornado,3.0,0,25,3,0.0,0.0,ChinaOpens,2012,-1.0,0.0,-8.333333333333334,1.0,tornado,
17,enigma,3.0,0,4,3,0.0,0.0,IranOpens,2016,-1.0,0.0,-1.3333333333333333,1.0,enigma,
18,anct,2.0,0,5,2,0.0,0.0,JapanOpens,2003,-1.0,0.0,-2.5,1.0,anct,
19,clark,4.0,0,18,4,0.0,0.0,JapanOpens,2004,-1.0,0.0,-4.5,1.0,clark,
20,kickofftug,25.0,0,50,25,0.0,0.0,WorldCup,2007,-1.0,0.0,-2.0,1.0,kickofftug,
21,hfutengine2013,8.0,3,44,8,0.0,0.0,WorldCup,2013,-1.0,0.0,-5.125,1.0,hfutengine2013,
22,fzu,3.0,0,10,3,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-3.3333333333333335,1.0,fzu,
23,sahand,3.0,0,10,3,0.0,0.0,WorldCup,2003,-1.0,0.0,-3.3333333333333335,1.0,sahand,
24,anct2005,10.0,0,34,10,0.0,0.0,SpringCompetitions,2005,-1.0,0.0,-3.4,1.0,anct2005,
25,nadco,2.0,3,7,2,0.0,0.0,WorldCup,2012,-1.0,0.0,-2.0,1.0,nadco,
