,analizo_acc_mean,analizo_acc_quantile_lower,analizo_acc_quantile_median,analizo_acc_quantile_upper,analizo_accm_mean,analizo_accm_quantile_lower,analizo_accm_quantile_median,analizo_accm_quantile_upper,analizo_amloc_mean,analizo_amloc_quantile_lower,analizo_amloc_quantile_median,analizo_amloc_quantile_upper,analizo_anpm_mean,analizo_anpm_quantile_lower,analizo_anpm_quantile_median,analizo_anpm_quantile_upper,analizo_cbo_mean,analizo_cbo_quantile_lower,analizo_cbo_quantile_median,analizo_cbo_quantile_upper,analizo_dit_mean,analizo_dit_quantile_lower,analizo_dit_quantile_median,analizo_dit_quantile_upper,analizo_lcom4_mean,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_median,analizo_lcom4_quantile_upper,analizo_mmloc_mean,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_median,analizo_mmloc_quantile_upper,analizo_noa_mean,analizo_noa_quantile_lower,analizo_noa_quantile_median,analizo_noa_quantile_upper,analizo_noc_mean,analizo_noc_quantile_lower,analizo_noc_quantile_median,analizo_noc_quantile_upper,analizo_nom_mean,analizo_nom_quantile_lower,analizo_nom_quantile_median,analizo_nom_quantile_upper,analizo_npa_mean,analizo_npa_quantile_lower,analizo_npa_quantile_median,analizo_npa_quantile_upper,analizo_npm_mean,analizo_npm_quantile_lower,analizo_npm_quantile_median,analizo_npm_quantile_upper,analizo_rfc_mean,analizo_rfc_quantile_lower,analizo_rfc_quantile_median,analizo_rfc_quantile_upper,analizo_sc_mean,analizo_sc_quantile_lower,analizo_sc_quantile_median,analizo_sc_quantile_upper,folder,category,agent_type,type
0,1.07843137255,0.0,0.0,1.0,3.0700161723400003,1.0,2.0,4.21212121212,33.2443198757,7.166666666669999,19.0,50.7083333333,2.34990656918,1.0,1.72727272727,3.25,0.843137254902,0.0,1.0,1.5,0.529411764706,0.0,1.0,1.0,3.96078431373,1.0,2.0,4.0,75.862745098,10.0,42.0,148.5,2.90196078431,0.0,1.0,4.5,0.333333333333,0.0,0.0,0.0,6.50980392157,1.0,3.0,10.5,0.725490196078,0.0,0.0,0.0,4.27450980392,1.0,2.0,3.0,15.823529411800001,3.5,6.0,16.5,3.41176470588,0.0,1.0,2.0,/home/se-metrics/root/proccesed1/2014_WorldCup_Ri-oneRobocup2014,Robocup-2D,agent,Robocup
1,2.11724137931,0.0,0.0,1.0,5.21339359953,1.42857142857,3.0,6.0,52.4852896789,7.5,23.75,64.2,1.47851815495,0.666666666667,1.0,2.0,1.93793103448,0.0,2.0,3.0,0.7310344827590001,0.0,1.0,1.0,4.68965517241,1.0,3.0,5.0,92.73103448280001,19.0,66.0,156.0,2.13103448276,0.0,0.0,2.0,0.213793103448,0.0,0.0,0.0,6.38620689655,1.0,3.0,7.0,0.593103448276,0.0,0.0,0.0,4.03448275862,1.0,2.0,3.0,20.006896551700002,5.0,11.0,21.0,8.27586206897,0.0,4.0,10.0,/home/se-metrics/root/proccesed1/2016_WorldCup_HillStone,Robocup-2D,agent,Robocup
2,4.09406657019,0.0,0.0,2.0,2.06354801381,1.0,1.1052631578899998,2.43340732519,17.414661406500002,3.55,7.333333333330001,20.2052631579,1.05775619744,0.4,0.833333333333,1.48333333333,3.57597684515,0.0,1.0,5.0,0.639652677279,0.0,0.0,1.0,3.3010130246,1.0,2.0,4.0,50.520984081,4.0,17.0,68.5,4.10274963821,0.0,1.0,3.0,0.441389290883,0.0,0.0,0.0,7.64109985528,1.0,4.0,7.0,1.9001447178,0.0,0.0,0.0,6.23299565847,1.0,3.0,5.0,39.4688856729,2.0,10.0,28.0,18.4746743849,0.0,2.0,12.0,/home/se-metrics/root/proccesed1/2011_JapanOpens_CMU2011,Robocup-2D,agent,Robocup
3,1.28717948718,0.0,0.0,1.0,3.36318860508,1.04545454545,2.5714285714300003,4.33333333333,32.0430861573,7.1428571428600005,22.0,46.888888888900006,1.52000765501,0.708333333333,1.25,2.0,1.15384615385,0.0,1.0,2.0,0.610256410256,0.0,1.0,1.0,3.40512820513,1.0,2.0,4.0,70.8717948718,13.5,47.0,97.5,2.27692307692,0.0,1.0,3.0,0.16923076923099994,0.0,0.0,0.0,5.70256410256,2.0,3.0,7.0,0.717948717949,0.0,0.0,0.0,3.71794871795,1.0,2.0,3.0,14.0923076923,3.0,6.0,13.0,5.4102564102600015,0.0,1.0,4.0,/home/se-metrics/root/proccesed1/2014_LARC_tropeiros,Robocup-2D,agent,Robocup
4,1.22388059701,0.0,1.0,1.0,5.558138621,2.14285714286,4.0,6.125,52.6490699817,10.0,33.4210526316,56.5277777778,1.16049192799,0.535714285714,1.0,1.36666666667,1.19402985075,0.0,0.0,1.0,0.746268656716,0.5,1.0,1.0,2.5671641791,2.0,2.0,3.0,96.8805970149,20.0,69.0,150.5,2.2985074626900004,0.0,1.0,2.0,0.134328358209,0.0,0.0,0.0,5.53731343284,2.0,4.0,7.0,0.522388059701,0.0,0.0,0.0,3.28358208955,2.0,2.0,4.5,14.2089552239,3.0,9.0,14.0,5.4179104477600015,0.0,0.0,3.5,/home/se-metrics/root/proccesed1/2009_PRIMA_BKB_PRIMA2009,Robocup-2D,agent,Robocup
5,4.47058823529,1.0,1.0,4.0,2.66770205725,1.0,1.6,2.88461538462,14.9294037601,1.6,7.51851851852,15.6282051282,1.04227396748,0.275,0.846153846154,1.5,4.35294117647,1.0,2.0,7.0,0.983193277311,0.0,1.0,2.0,3.9243697479,1.0,3.0,4.0,46.3697478992,3.0,21.0,65.5,10.3277310924,1.0,3.0,8.0,0.521008403361,0.0,0.0,0.0,15.1848739496,4.0,5.0,13.0,6.71428571429,0.0,0.0,2.0,13.2941176471,3.0,4.0,9.0,91.3025210084,9.0,25.0,77.5,21.974789916,1.0,8.0,25.5,/home/se-metrics/root/proccesed1/2000_WorldCup_BS2K_Melbourne2000_CodeRelease,Robocup-2D,agent,Robocup
6,0.938461538462,0.0,0.0,2.0,5.37944696329,2.0,4.1428571428600005,6.0,44.759454367,13.4285714286,30.0,53.6666666667,1.15288917335,0.714285714286,1.0,1.33333333333,1.01538461538,0.0,0.0,1.0,0.753846153846,1.0,1.0,1.0,2.43076923077,2.0,2.0,3.0,86.8153846154,44.0,64.0,148.0,2.0307692307700003,0.0,1.0,2.0,0.13846153846200002,0.0,0.0,0.0,5.4461538461500005,2.0,4.0,7.0,0.33846153846199994,0.0,0.0,0.0,3.29230769231,2.0,2.0,5.0,13.6153846154,3.0,8.0,13.0,3.8,0.0,0.0,2.0,/home/se-metrics/root/proccesed1/2009_JapanOpens_BIG_KUBO_BEARS,Robocup-2D,agent,Robocup
7,4.73454545455,0.0,1.0,4.0,1.66811521746,1.0625,1.25,1.84353146853,10.214225879299999,4.0,6.0,12.376644736800001,0.750616097887,0.320512820513,0.555555555556,1.0,4.21454545455,0.5,2.0,7.0,1.08,0.0,1.0,2.0,10.0690909091,3.5,6.0,11.0,37.974545454499996,8.0,15.0,46.0,4.44,0.0,2.0,5.0,0.723636363636,0.0,0.0,0.0,14.596363636400001,4.5,10.0,16.0,0.672727272727,0.0,0.0,0.0,12.3163636364,3.0,7.0,12.0,38.9709090909,8.0,21.0,53.5,39.5381818182,0.5,11.0,40.0,/home/se-metrics/root/proccesed1/2001_WorldCup_FuzzyFoo-2001-source,Robocup-2D,agent,Robocup
8,1.63636363636,0.0,1.0,3.0,6.86995215311,1.0,1.0,11.534736842100001,69.6625460345,26.125,50.631578947399994,86.5,2.11575384743,1.75,2.36842105263,2.44155844156,1.90909090909,0.0,1.0,3.5,0.0,0.0,0.0,0.0,4.81818181818,1.0,1.0,3.5,174.909090909,45.5,160.0,300.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.36363636364,2.0,7.0,15.5,12.0,0.0,0.0,10.0,9.36363636364,2.0,7.0,15.5,81.6363636364,19.5,33.0,52.5,7.545454545449999,0.0,2.0,4.5,/home/se-metrics/root/proccesed1/1998_WorldCup_andhill98,Robocup-2D,agent,Robocup
10,1.19047619048,0.0,0.0,1.0,5.065760544830001,1.28571428571,3.0,6.0,46.5326508748,7.5,37.4,60.0909090909,1.6514841559,0.666666666667,1.0,2.0,0.942857142857,0.0,1.0,2.0,0.704761904762,0.0,1.0,1.0,4.69523809524,2.0,3.0,6.0,103.523809524,19.0,63.0,155.0,2.34285714286,0.0,1.0,3.0,0.295238095238,0.0,0.0,0.0,6.70476190476,2.0,4.0,8.0,0.619047619048,0.0,0.0,0.0,3.99047619048,2.0,2.0,4.0,13.8095238095,4.0,7.0,14.0,4.74285714286,0.0,1.0,6.0,/home/se-metrics/root/proccesed1/2012_WorldCup_marlik,Robocup-2D,agent,Robocup
