,competition,year,team
386,AI-Games,2005,actu
387,AI-Games,2005,ai2004
388,AI-Games,2005,biust
389,AI-Games,2005,hopomo
390,AI-Games,2005,iust
391,AI-Games,2005,nemesism
392,AI-Games,2005,nexus
393,AI-Games,2005,raider
394,AI-Games,2005,scorpius
395,AUTOpens,2005,aria
396,AUTOpens,2005,mersad
397,AUTOpens,2005,nemesis
42,AutumnCamp,2002,everest
43,AutumnCamp,2002,fukui1484
44,AutumnCamp,2002,helios
45,AutumnCamp,2002,nitcalcio2002
46,AutumnCamp,2002,nitsoccer02
47,AutumnCamp,2002,nobisu
48,AutumnCamp,2002,palm
49,AutumnCamp,2002,puppets
50,AutumnCamp,2002,take
51,AutumnCamp,2002,thinkingants
52,AutumnCamp,2002,tsinghuaeolus
53,AutumnCamp,2002,yamaarashi
54,AutumnCamp,2002,yktbears
55,AutumnCamp,2002,yowai2002
144,AutumnCamp,2003,agent
145,AutumnCamp,2003,agents
146,AutumnCamp,2003,anct2003
147,AutumnCamp,2003,brainstormers01
148,AutumnCamp,2003,calcio
149,AutumnCamp,2003,chello
150,AutumnCamp,2003,coach
151,AutumnCamp,2003,hana
152,AutumnCamp,2003,hana2
153,AutumnCamp,2003,nobisu
154,AutumnCamp,2003,puppets
155,AutumnCamp,2003,raic
156,AutumnCamp,2003,star
157,AutumnCamp,2003,takl
158,AutumnCamp,2003,tomcat
159,AutumnCamp,2003,trilearn
160,AutumnCamp,2003,tsinghuaeolus
161,AutumnCamp,2003,wata
162,AutumnCamp,2003,winkit
163,AutumnCamp,2003,yowai2003
301,AutumnCamp,2004,.rcl
303,AutumnCamp,2004,fuk2
305,AutumnCamp,2004,ikuei
306,AutumnCamp,2004,katenai2004
307,AutumnCamp,2004,masa
310,AutumnCamp,2004,ozrp2
311,AutumnCamp,2004,poor
312,AutumnCamp,2004,puppets
314,AutumnCamp,2004,rhona
317,AutumnCamp,2004,takumi
318,AutumnCamp,2004,test
398,AutumnCamp,2005,anct2005
399,AutumnCamp,2005,fieldstars05
400,AutumnCamp,2005,grana05
401,AutumnCamp,2005,hana
402,AutumnCamp,2005,newhope
403,AutumnCamp,2005,one
404,AutumnCamp,2005,rhona05winter
405,AutumnCamp,2005,ribomb05
406,AutumnCamp,2005,ritsitr
407,AutumnCamp,2005,ritsmk2
408,AutumnCamp,2005,sit
409,AutumnCamp,2005,tokyotech2005
410,AutumnCamp,2005,yowai2005
453,AutumnCamp,2006,anct06
454,AutumnCamp,2006,bay06sit
455,AutumnCamp,2006,blackstar
456,AutumnCamp,2006,hana
457,AutumnCamp,2006,kiwaos
458,AutumnCamp,2006,newhope
459,AutumnCamp,2006,nyy
460,AutumnCamp,2006,one
461,AutumnCamp,2006,opu
462,AutumnCamp,2006,tokyotech2006
463,AutumnCamp,2006,upo
464,AutumnCamp,2006,yowai2005
567,AutumnCamp,2007,base
571,AutumnCamp,2007,hana
573,AutumnCamp,2007,okarobo
582,AutumnCamp,2007,ritsk07
583,AutumnCamp,2007,yowai
670,AutumnCamp,2008,ac08
671,AutumnCamp,2008,bears
672,AutumnCamp,2008,fcpita
673,AutumnCamp,2008,kickout
674,AutumnCamp,2008,okarobo
675,AutumnCamp,2008,one
676,AutumnCamp,2008,puppets
677,AutumnCamp,2008,raic08autumn
678,AutumnCamp,2008,storms09
905,AutumnCamp,2010,arashi50
906,AutumnCamp,2010,bost
907,AutumnCamp,2010,helios2010
908,AutumnCamp,2010,narimoto
909,AutumnCamp,2010,one
910,AutumnCamp,2010,one903
911,AutumnCamp,2010,onefm
912,AutumnCamp,2010,opuci
913,AutumnCamp,2010,storms
914,AutumnCamp,2010,ueni4
465,BrazilianOpens,2006,feisim06
466,BrazilianOpens,2006,ita2005
467,BrazilianOpens,2006,itandroids
468,BrazilianOpens,2006,krov
469,BrazilianOpens,2006,maua
470,BrazilianOpens,2006,mecateam
1108,CBR,2013,base
1109,CBR,2013,expertinos
1110,CBR,2013,furgbot
1111,CBR,2013,gpr2d
1112,CBR,2013,ibots
1113,CBR,2013,itandroids
1114,CBR,2013,robocap
1115,CBR,2013,uaisoccer2d
1116,CBR,2013,warthog
164,ChinaOpens,2003,afu2003
165,ChinaOpens,2003,amoynq
166,ChinaOpens,2003,bimexplorer
167,ChinaOpens,2003,bitwo
168,ChinaOpens,2003,blessdut
169,ChinaOpens,2003,chinaocean
170,ChinaOpens,2003,csu
171,ChinaOpens,2003,everest
172,ChinaOpens,2003,hfutgocom1
173,ChinaOpens,2003,hfutgocom2
174,ChinaOpens,2003,hnstyellowriver
175,ChinaOpens,2003,i_believedut
176,ChinaOpens,2003,mammoth
177,ChinaOpens,2003,newneu
178,ChinaOpens,2003,novauro
179,ChinaOpens,2003,nubot
180,ChinaOpens,2003,paulon
181,ChinaOpens,2003,roboys
182,ChinaOpens,2003,roci
183,ChinaOpens,2003,rocii
184,ChinaOpens,2003,scutrobot
185,ChinaOpens,2003,seal
186,ChinaOpens,2003,seu
187,ChinaOpens,2003,shustriver
188,ChinaOpens,2003,shustriver2003
189,ChinaOpens,2003,tsinghuaeolus
190,ChinaOpens,2003,ujdb
191,ChinaOpens,2003,we2
192,ChinaOpens,2003,we22
193,ChinaOpens,2003,wei
194,ChinaOpens,2003,winglet2003
195,ChinaOpens,2003,xdstormer
196,ChinaOpens,2003,yunluteam
197,ChinaOpens,2003,zjubase
198,ChinaOpens,2003,zzg
471,ChinaOpens,2006,afu2006
472,ChinaOpens,2006,aiai
473,ChinaOpens,2006,all
474,ChinaOpens,2006,amoiensisnq
475,ChinaOpens,2006,biteverest2006
476,ChinaOpens,2006,bjut
477,ChinaOpens,2006,brainstormers06
478,ChinaOpens,2006,calm2d
479,ChinaOpens,2006,czu
480,ChinaOpens,2006,dreamwing2006
481,ChinaOpens,2006,everest
482,ChinaOpens,2006,explorer
483,ChinaOpens,2006,fzu
484,ChinaOpens,2006,hfutengine
485,ChinaOpens,2006,hhitimer
486,ChinaOpens,2006,jet
487,ChinaOpens,2006,jmu
488,ChinaOpens,2006,mecateam
489,ChinaOpens,2006,nankaimagic
490,ChinaOpens,2006,paradise
491,ChinaOpens,2006,roc2006
