,Current_group_location,analizo_cbo_skewness,analizo_anpm_standard_deviation,analizo_noc_kurtosis,analizo_accm_skewness,analizo_lcom4_quantile_upper,analizo_npm_mode,analizo_acc_quantile_upper,analizo_sc_quantile_median,cccc_IF4,analizo_npa_quantile_max,analizo_cbo_variance,analizo_sc_variance,analizo_noa_quantile_median,analizo_accm_standard_deviation,analizo_mmloc_sum,analizo_total_modules_with_defined_methods,analizo_npm_quantile_lower,analizo_rfc_mode,cccc_McCabes_cyclomatic_complexity_per_line_of_comment,analizo_amloc_kurtosis,analizo_rfc_kurtosis,analizo_noc_quantile_median,new_dir_name,analizo_lcom4_quantile_min,analizo_npa_kurtosis,analizo_loc_kurtosis,analizo_npa_variance,analizo_acc_standard_deviation,analizo_lcom4_quantile_max,analizo_npm_quantile_min,analizo_noa_skewness,analizo_cbo_mode,analizo_acc_skewness,analizo_loc_mode,cccc_rejected_lines_of_code,analizo_anpm_quantile_ninety_five,analizo_noa_standard_deviation,analizo_accm_quantile_lower,analizo_acc_variance,cccc_lines_of_comment,analizo_accm_quantile_median,analizo_anpm_sum,analizo_change_cost,analizo_accm_mode,analizo_npm_variance,cccc_McCabes_cyclomatic_complexity,analizo_sc_skewness,analizo_rfc_sum,analizo_lcom4_quantile_median,analizo_sc_quantile_ninety_five,analizo_nom_mode,analizo_amloc_quantile_ninety_five,analizo_lcom4_kurtosis,analizo_acc_kurtosis,analizo_total_cof,analizo_noa_quantile_ninety_five,analizo_anpm_quantile_min,analizo_noa_quantile_upper,analizo_anpm_quantile_median,analizo_nom_quantile_lower,analizo_dit_sum,analizo_dit_mean,analizo_mmloc_kurtosis,analizo_nom_sum,analizo_noc_mean,analizo_cbo_mean,analizo_npm_quantile_median,analizo_accm_quantile_max,analizo_noc_quantile_max,analizo_npa_sum,analizo_loc_quantile_max,analizo_mmloc_quantile_upper,analizo_npa_quantile_median,analizo_noa_quantile_lower,analizo_noa_mode,analizo_loc_quantile_min,analizo_npm_kurtosis,is_source,analizo_noc_quantile_upper,analizo_accm_kurtosis,analizo_sc_sum,analizo_dit_quantile_median,cccc_IF4_visible_per_module,analizo_npa_mean,analizo_anpm_mode,analizo_noa_variance,analizo_anpm_quantile_max,analizo_noc_skewness,analizo_noa_mean,analizo_cbo_sum,analizo_lcom4_quantile_lower,analizo_npa_standard_deviation,analizo_noa_quantile_max,analizo_anpm_mean,analizo_rfc_quantile_lower,analizo_sc_quantile_lower,analizo_dit_quantile_max,analizo_amloc_quantile_lower,analizo_sc_mean,analizo_mmloc_mean,analizo_npm_mean,analizo_dit_quantile_lower,analizo_amloc_skewness,analizo_dit_quantile_min,analizo_sc_kurtosis,analizo_mmloc_quantile_lower,analizo_dit_standard_deviation,analizo_noa_kurtosis,analizo_dit_variance,analizo_npm_sum,analizo_npa_mode,analizo_sc_quantile_min,analizo_cbo_quantile_upper,analizo_npm_quantile_max,analizo_rfc_quantile_ninety_five,analizo_acc_quantile_median,analizo_nom_kurtosis,analizo_acc_sum,analizo_loc_skewness,analizo_sc_quantile_upper,analizo_total_methods_per_abstract_class,analizo_noc_variance,analizo_anpm_quantile_lower,analizo_sc_standard_deviation,analizo_npa_quantile_ninety_five,analizo_rfc_variance,analizo_rfc_quantile_max,analizo_anpm_variance,analizo_accm_sum,analizo_loc_quantile_ninety_five,cccc_lines_of_code_per_line_of_comment,analizo_nom_standard_deviation,cccc_McCabes_cyclomatic_complexity_per_module,analizo_cbo_quantile_ninety_five,analizo_npm_skewness,analizo_loc_quantile_lower,analizo_total_abstract_classes,analizo_nom_quantile_min,analizo_lcom4_sum,analizo_nom_quantile_max,analizo_anpm_kurtosis,analizo_noc_standard_deviation,analizo_loc_quantile_median,analizo_loc_quantile_upper,analizo_dit_quantile_ninety_five,analizo_mmloc_quantile_max,analizo_accm_quantile_upper,cccc_lines_of_code_per_module,analizo_dit_quantile_upper,analizo_cbo_standard_deviation,cccc_lines_of_code,analizo_npm_quantile_upper,analizo_amloc_quantile_max,analizo_npa_quantile_upper,analizo_nom_quantile_upper,analizo_acc_quantile_ninety_five,analizo_noc_quantile_min,analizo_accm_quantile_min,analizo_npa_skewness,analizo_mmloc_quantile_min,analizo_acc_quantile_min,analizo_cbo_quantile_median,cccc_number_of_modules,analizo_total_modules_with_defined_attributes,analizo_npa_quantile_lower,analizo_dit_mode,analizo_rfc_quantile_upper,cccc_IF4_visible,analizo_mmloc_quantile_ninety_five,analizo_noc_mode,analizo_lcom4_mean,analizo_cbo_quantile_min,analizo_noa_sum,analizo_mmloc_skewness,analizo_noc_quantile_lower,analizo_dit_kurtosis,analizo_lcom4_variance,analizo_accm_variance,analizo_total_modules,analizo_nom_mean,analizo_accm_mean,analizo_loc_sum,analizo_amloc_mode,cccc_lines_of_comment_per_module,analizo_noc_sum,analizo_mmloc_standard_deviation,cccc_IF4_per_module,analizo_anpm_skewness,analizo_sc_quantile_max,analizo_rfc_standard_deviation,analizo_nom_quantile_ninety_five,analizo_accm_quantile_ninety_five,analizo_acc_quantile_lower,analizo_anpm_quantile_upper,analizo_dit_skewness,analizo_mmloc_variance,analizo_amloc_mean,analizo_acc_mean,analizo_loc_standard_deviation,analizo_npa_quantile_min,analizo_amloc_sum,analizo_nom_quantile_median,analizo_amloc_quantile_upper,source_lang,analizo_acc_quantile_max,analizo_cbo_quantile_lower,analizo_sc_mode,analizo_lcom4_mode,analizo_total_loc,analizo_mmloc_mode,analizo_rfc_skewness,analizo_noa_quantile_min,analizo_cbo_kurtosis,analizo_nom_skewness,analizo_cbo_quantile_max,analizo_lcom4_standard_deviation,analizo_loc_mean,analizo_amloc_standard_deviation,analizo_rfc_quantile_median,analizo_lcom4_quantile_ninety_five,analizo_rfc_quantile_min,analizo_total_nom,analizo_noc_quantile_ninety_five,analizo_npm_standard_deviation,analizo_nom_variance,analizo_lcom4_skewness,analizo_loc_variance,analizo_amloc_quantile_min,analizo_rfc_mean,analizo_acc_mode,analizo_mmloc_quantile_median,analizo_amloc_quantile_median,analizo_npm_quantile_ninety_five,analizo_amloc_variance
/home/se-metrics/root/anac/processed//download/anac,,,,,,,,,,,,,,,,,,,,,,,,/home/se-metrics/root/anac/processed//download/anac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/se-metrics/root/anac/processed//y2014/AgentQuest,,0,0,0,0,4,None,0,0,0,0,0,0,21,0,131,1,8,None,0.744,0,0,0,/home/se-metrics/root/anac/processed//y2014/AgentQuest,4,0,0,0,0,4,8,0,None,0,None,14,None,0,4.875,0,90,4.875,1.0625,1.00,None,0,67,0,39,4,None,None,None,0,0,1,None,1.0625,21,1.0625,16,1,1,0,16,0,0,8,4.875,0,0,473,131,0,21,None,473,0,True,0,0,0,1,0.000,0,None,0,1.0625,0,21,0,4,0,21,1.0625,39,0,1,29.5625,0,131,8,1,0,1,0,131,0,0,0,8,None,0,0,8,None,0,0,0,0,0,0,0,1.0625,0,None,0,39,0,4.875,None,4.933,0,6.091,None,0,473,0,16,4,16,0,0,473,473,None,131,4.875,40.364,1,0,444,8,29.5625,0,16,None,0,4.875,0,131,0,0,11,1,0,None,39,0,None,None,4,0,21,0,0,0,0,0,1,16,4.875,473,None,8.182,0,0,0.000,0,0,0,None,None,0,1.0625,0,0,29.5625,0,0,0,29.5625,16,29.5625,Java,0,0,None,None,473,None,0,21,0,0,0,0,473,0,39,None,39,16,None,0,0,0,0,29.5625,39,None,131,29.5625,None,0
/home/se-metrics/root/anac/processed//y2014/TUDelftGroup2,,1.04841366491,0.447324381005,12,1.30571251737,4.25,4,1,0,148,8,0.810606060606,8.81818181818,4,1.35478149295,2182,12,2.75,8,0.052,1.36758031623,1.02771181994,0,/home/se-metrics/root/anac/processed//y2014/TUDelftGroup2,1,0.046662466952,2.45424409389,10.2045454545,0.900336637379,7,0,1.34532829361,0,1.9452744634,27,25,1.83333333333,14.4292946971,1.875,0.810606060606,271,2,12.4006410256,0.20,2,9.51515151515,14,2.51210217406,451,2,10,4,71,-0.489762308217,4.36963926981,0.0530303030303,39,0,15.5,1.0625,3.75,8,0.666666666667,2.48335164613,111,0.166666666667,0.583333333333,4,5.24137931034,2,21,2059,103.5,0,0,0,16,-0.101882429307,True,0,0.92682622956,18,1,7.400,1.75,1.25,208.204545455,1.83333333333,3.46410161514,10.75,7,1,3.19445542378,39,1.03338675214,8,0,1,6.75,1.5,181.833333333,4.33333333333,0,1.56427412356,0,6.70623162221,9,0.492365963917,0.557360107138,0.242424242424,52,0,0,1.25,10,137,0,1.58589114614,7,1.98555196267,2,3,0.333333333333,0.923076923077,2.96954235837,8,2464.26515152,137,0.200099101842,30.8304597701,2059,0.723,9.67776270163,0.700,2,0.427014898639,27,1,2,35,29,2.24877052553,0.57735026919,66.5,249,1,876,2.8125,9.800,1,0.900336637379,196,6,71,1.5,9.25,3,0,1,1.39676870563,9,0,0,20,8,0,1,37,148,876,0,2.91666666667,0,129,1.99485285005,0,-1.65,5.35606060606,1.83543289364,12,9.25,2.56920498084,5065,6.75,13.550,2,325.5157679,7.400,-0.758691447836,10,49.6413653269,29,5.24137931034,0,1.25,-0.812403840464,105960.515152,23.9391394047,0.583333333333,767.677306536,0,287.269672856,5,26.1875,Java,3,0,0,1,5065,9,1.57113284383,0,-0.906210149358,1.69533368742,2,2.31431644467,422.083333333,23.26595718,13,7,3,111,2,3.08466392256,93.6590909091,0.965761531291,589328.44697,5.33333333333,37.5833333333,0,46.5,14.6666666667,10,541.3047635
/home/se-metrics/root/anac/processed//y2014/Sobut,,0,0,0,0,5,None,0,0,0,0,0,0,3,0,21,1,8,None,4.000,0,0,0,/home/se-metrics/root/anac/processed//y2014/Sobut,5,0,0,0,0,5,8,0,None,0,None,9,None,0,1.77777777778,0,2,1.77777777778,0.333333333333,1.00,None,0,8,0,16,5,None,None,None,0,0,1,None,0.333333333333,3,0.333333333333,9,1,1,0,9,0,0,8,1.77777777778,0,0,63,21,0,3,None,63,0,True,0,0,0,1,0.000,0,None,0,0.333333333333,0,3,0,5,0,3,0.333333333333,16,0,1,7,0,21,8,1,0,1,0,21,0,0,0,8,None,0,0,8,None,0,0,0,0,0,0,0,0.333333333333,0,None,0,16,0,1.77777777778,None,40.500,0,1.333,None,0,63,0,9,5,9,0,0,63,63,None,21,1.77777777778,13.500,1,0,81,8,7,0,9,None,0,1.77777777778,0,21,0,0,6,1,0,None,16,0,None,None,5,0,3,0,0,0,0,0,1,9,1.77777777778,63,None,0.333,0,0,0.000,0,0,0,None,None,0,0.333333333333,0,0,7,0,0,0,7,9,7,Java,0,0,None,None,63,None,0,3,0,0,0,0,63,0,16,None,16,9,None,0,0,0,0,7,16,None,21,7,None,0
/home/se-metrics/root/anac/processed//y2014/AgentM,,0,0.353553390593,0,0,5,None,0.75,3,0,0,0.5,18,8,1.89802346529,153,2,3.5,None,------,0,0,0,/home/se-metrics/root/anac/processed//y2014/AgentM,2,0,0,0,0.707106781187,6,2,0,None,0,None,0,1,8.48528137424,1.67105263158,0.5,12,2.34210526316,1.5,1.00,None,18,0,0,55,4,6,None,25.1052631579,0,0,0.5,14,0.5,11,0.75,6.25,2,1,0,21,0,0.5,5,3.68421052632,0,0,477,113.25,0,5,None,6,0,True,0,0,6,1,0.000,0,None,72,1,0,8,1,3,0,14,0.75,15.25,1.5,1,8.52631578947,3,76.5,5,1,0,1,0,39.75,0,0,0,10,0,0,0.75,8,52,0.5,0,1,0,4.5,0,0,0.625,4.24264068712,0,1200.5,52,0.125,4.68421052632,477,------,12.0208152802,0.000,1,0,123.75,0,2,8,19,0,0,241.5,359.25,1,150,3.01315789474,1.857,1,0.707106781187,13,6.5,25.1052631579,0,14.75,1,0,1,0,3,0,0.5,7,2,0,1,39.75,0,150,0,4,0,16,0,0,0,8,3.60249307479,2,10.5,2.34210526316,483,None,1.714,0,103.944696834,0.000,0,6,34.6482322781,19,3.68421052632,0.25,0.875,0,10804.5,14.0526315789,0.5,333.047293939,0,28.1052631579,10.5,19.5789473684,Java,1,0.25,None,None,483,None,0,2,0,0,1,2.82842712475,241.5,15.6307814789,27.5,6,3,21,0,4.24264068712,144.5,0,110920.5,3,27.5,None,76.5,14.0526315789,8,244.32132964
/home/se-metrics/root/anac/processed//y2014/Gangster,,1.71439232801,0.473550419702,0,0.159363502693,4,1,1,0,0,4,1.7,27.8,14,1.08290696738,321,5,1,None,0.106,0.347858411115,-2.31216065968,0,/home/se-metrics/root/anac/processed//y2014/Gangster,1,5.0,-2.41246657282,3.2,0.836660026534,5,0,0.851517140648,0,0.512240832572,None,3,2.1,12.2759928315,2,0.7,66,3,7.675,0.36,None,5.5,7,2.19951961475,214,1,12,10,43.7,-2.47922437673,-0.612244897959,0.2,34,1.125,15,1.25,8,1,0.2,-2.37226192552,45,0,0.8,1,4.3,0,4,437,106,0,11,None,12,3.32231404959,True,0,-1.40451821158,13,0,0.000,0.8,None,150.7,2.1,0,14.8,4,1,1.788854382,34,1.535,16,0,1,12,2.6,64.2,2,0,0.772775316792,0,4.86025568035,12,0.4472135955,2.13204118449,0.2,10,0,0,1,6,77,1,1.661117717,4,-0.156612718102,1,0,0,1.2,5.27257053059,4,1069.2,77,0.22425,14.3625,437,1.439,5.38516480713,0.700,3,1.74436949745,53,0,1,12,16,-3.12539848548,0,266,342,1,133,3.4375,9.500,0,1.30384048104,95,2,43.7,0,10,2,0,1.625,2.2360679775,12,0,0,10,4,0,0,65,0,133,0,2.4,0,74,0.290165319615,0,5.0,3.8,1.1726875,5,9,2.8725,1110,None,6.600,0,54.7010054752,0.000,0.593417485294,12,32.6986238243,16,4.3,0,2,2.2360679775,2992.2,22.06,0.8,183.862720528,0,110.3,10,26.6,Java,2,0,0,1,1110,12,-0.471054213917,0,2.66435986159,-0.448230126634,3,1.94935886896,222,14.3945584337,55,5,1,45,0,2.34520787991,29,0.755984048905,33805.5,6.625,42.8,1,58,21.375,6,207.2033125
/home/se-metrics/root/anac/processed//y2014/AgentWhale,,0,3.36318873189,0,0,4.5,None,0.5,0,0,0,0.333333333333,21.3333333333,8,2.37263765316,175,3,1.5,None,------,0,0,0,/home/se-metrics/root/anac/processed//y2014/AgentWhale,1,0,0,0,0.57735026919,8,1,0,0,0,None,0,7,10.6926766216,1.5,0.333333333333,9,2,9.39655172414,1.00,None,234.333333333,0,0,142,1,8,None,41.2068965517,0,0,0.166666666667,22,0.896551724138,15,1.5,1.5,3,1,0,32,0,0.333333333333,2,5.51724137931,0,0,1195,82,0,4.5,None,11,0,True,0,0,8,1,0.000,0,None,114.333333333,7,0,10.3333333333,1,1,0,22,3.13218390805,6,0,1,9.5,2.66666666667,58.3333333333,10.3333333333,1,0,1,0,12,0,0,0,31,0,0,0.5,28,130,0,0,1,0,4,0,0,1.19827586207,4.61880215352,0,5129.33333333,130,11.3110384463,8.51724137931,1195,------,15.8850034099,0.000,1,0,13.5,0,1,10,29,0,0,16,605.5,1,151,3.75862068966,1.667,1,0.57735026919,5,15,41.2068965517,0,15.5,1,0,1,0,11,0,0,3,3,0,1,69,0,151,0,3.33333333333,0,31,0,0,0,16.3333333333,5.62940943321,3,10.6666666667,2.83908045977,1222,None,3.000,0,80.2579175741,0.000,0,8,71.6193642344,29,5.51724137931,0,4.25,0,6441.33333333,20.0689655172,0.333333333333,682.143924208,0,60.2068965517,2,26.1034482759,Java,1,0,0,1,1222,None,0,1,0,0,1,4.04145188433,407.333333333,18.3673377579,8,8,4,32,0,15.3079500043,252.333333333,0,465320.333333,8,47.3333333333,0,13,11,28,337.359096314
/home/se-metrics/root/anac/processed//y2014/Atlas,,0,11.6672618896,0,0,3.25,None,0.75,2,0,0,0.5,8,27,5.61266007567,238,2,2.5,None,0.578,0,0,0,/home/se-metrics/root/anac/processed//y2014/Atlas,1,0,0,0,0.707106781187,4,1,0,None,0,None,14,17,14.1421356237,2.984375,0.5,332,4.96875,17.5,1.00,None,18,192,0,166,2.5,4,None,69.375,0,0,0.5,37,0.5,32,8.75,4.75,2,1,0,17,0,0.5,4,8.9375,0,0,1110,164.5,0,22,None,28,0,True,0,0,4,1,0.000,0,None,200,17,0,27,1,1.75,0,37,8.75,50.5,1,1,38.34375,2,119,4,1,0,1,0,73.5,0,0,0,8,0,0,0.75,7,148,0.5,0,1,0,3,0,0,4.625,2.82842712475,0,8450,148,136.125,9.9375,1110,2.711,10.6066017178,21.333,1,0,298.5,0,1,5,16,0,0,569,839.5,1,210,6.953125,100.000,1,0.707106781187,900,5.5,69.375,0,12.25,1,0,1,0,28,0,0.5,9,2,0,1,115.5,0,210,0,2.5,0,54,0,0,0,4.5,31.501953125,2,8.5,4.96875,1138,None,36.889,0,128.693434176,0.000,0,4,91.9238815543,16,8.9375,0.25,12.875,0,16562,48.6875,0.5,765.089537244,0,97.375,8.5,59.03125,Java,1,0.25,None,None,1138,None,0,17,0,0,1,2.12132034356,569,29.2565430716,83,4,18,17,0,4.24264068712,112.5,0,585362,28,83,None,119,48.6875,7,855.9453125
/home/se-metrics/root/anac/processed//y2014/DoNA,,0,0.312670021775,0,0,2.5,None,1.5,2,25,2,1,9.33333333333,23,3.00546907949,414,3,8,None,------,0,0,0,/home/se-metrics/root/anac/processed//y2014/DoNA,2,0,0,1.33333333333,1,3,7,0,None,0,None,0,1.375,23.2594066992,5.67857142857,1,29,5.85714285714,3.04464285714,0.67,None,9.33333333333,0,0,323,2,6,None,61,0,0,0.5,52,0.8125,37.5,0.857142857143,11,1,0.333333333333,0,38,0,1,9,10.875,0,2,976,164.5,0,14.5,None,295,0,True,0,0,8,0,2.778,0.666666666667,None,541,1.375,0,27,3,2,1.15470053838,52,1.01488095238,71,1,1,34.3303571429,2.66666666667,138,9.66666666667,0,0,0,0,95.5,0.57735026919,0,0.333333333333,29,0,0,1.5,13,181,1,0,3,0,4,0,0,0.834821428571,3.0550504633,2,6058.33333333,181,0.097762542517,22.2321428571,976,1.310,4.16333199893,0.000,2,0,370,0,8,7,16,0,0,445,710.5,1,223,8.36607142857,4.222,0.5,1,38,11,61,1,15,2,0,5.5,0,85,0,1,9,3,0,0,148.5,25,223,0,2.33333333333,0,81,0,0,0,0.333333333333,9.03284438776,3,12.6666666667,7.41071428571,1716,None,3.222,0,74.3572457801,2.778,0,6,77.8352961922,16,10.875,0.5,1.11607142857,0,5529,43.2202380952,1,357.822581736,0,129.660714286,14,48.9375,Java,2,0.5,None,2,1716,None,0,6,0,0,2,0.57735026919,572,15.6065741697,116,3,26,38,0,3.0550504633,17.3333333333,0,128037,31.7857142857,107.666666667,None,106,36.875,13,243.565157313
/home/se-metrics/root/anac/processed//y2014/ArisawaYaki,,0,0,0,0,5,None,0,0,0,0,0,0,11,0,58,1,7,None,0.344,0,0,0,/home/se-metrics/root/anac/processed//y2014/ArisawaYaki,5,0,0,0,0,5,7,0,None,0,None,15,None,0,3.38461538462,0,96,3.38461538462,0.384615384615,1.00,None,0,33,0,49,5,None,None,None,0,0,1,None,0.384615384615,11,0.384615384615,13,1,1,0,13,0,0,7,3.38461538462,0,0,259,58,0,11,None,259,0,True,0,0,0,1,0.000,0,None,0,0.384615384615,0,11,0,5,0,11,0.384615384615,49,0,1,19.9230769231,0,58,7,1,0,1,0,58,0,0,0,7,None,0,0,7,None,0,0,0,0,0,0,0,0.384615384615,0,None,0,49,0,3.38461538462,None,2.490,0,5.500,None,0,259,0,13,5,13,0,0,259,259,None,58,3.38461538462,39.833,1,0,239,7,19.9230769231,0,13,None,0,3.38461538462,0,58,0,0,6,1,0,None,49,0,None,None,5,0,11,0,0,0,0,0,1,13,3.38461538462,259,None,16.000,0,0,0.000,0,0,0,None,None,0,0.384615384615,0,0,19.9230769231,0,0,0,19.9230769231,13,19.9230769231,Java,0,0,None,None,259,None,0,11,0,0,0,0,259,0,49,None,49,13,None,0,0,0,0,19.9230769231,49,None,58,19.9230769231,None,0
