Current_group_location,analizo_acc_kurtosis,analizo_acc_mean,analizo_acc_mode,analizo_acc_quantile_lower,analizo_acc_quantile_max,analizo_acc_quantile_median,analizo_acc_quantile_min,analizo_acc_quantile_ninety_five,analizo_acc_quantile_upper,analizo_acc_skewness,analizo_acc_standard_deviation,analizo_acc_sum,analizo_acc_variance,analizo_accm_kurtosis,analizo_accm_mean,analizo_accm_mode,analizo_accm_quantile_lower,analizo_accm_quantile_max,analizo_accm_quantile_median,analizo_accm_quantile_min,analizo_accm_quantile_ninety_five,analizo_accm_quantile_upper,analizo_accm_skewness,analizo_accm_standard_deviation,analizo_accm_sum,analizo_accm_variance,analizo_amloc_kurtosis,analizo_amloc_mean,analizo_amloc_mode,analizo_amloc_quantile_lower,analizo_amloc_quantile_max,analizo_amloc_quantile_median,analizo_amloc_quantile_min,analizo_amloc_quantile_ninety_five,analizo_amloc_quantile_upper,analizo_amloc_skewness,analizo_amloc_standard_deviation,analizo_amloc_sum,analizo_amloc_variance,analizo_anpm_kurtosis,analizo_anpm_mean,analizo_anpm_mode,analizo_anpm_quantile_lower,analizo_anpm_quantile_max,analizo_anpm_quantile_median,analizo_anpm_quantile_min,analizo_anpm_quantile_ninety_five,analizo_anpm_quantile_upper,analizo_anpm_skewness,analizo_anpm_standard_deviation,analizo_anpm_sum,analizo_anpm_variance,analizo_cbo_kurtosis,analizo_cbo_mean,analizo_cbo_mode,analizo_cbo_quantile_lower,analizo_cbo_quantile_max,analizo_cbo_quantile_median,analizo_cbo_quantile_min,analizo_cbo_quantile_ninety_five,analizo_cbo_quantile_upper,analizo_cbo_skewness,analizo_cbo_standard_deviation,analizo_cbo_sum,analizo_cbo_variance,analizo_change_cost,analizo_dit_kurtosis,analizo_dit_mean,analizo_dit_mode,analizo_dit_quantile_lower,analizo_dit_quantile_max,analizo_dit_quantile_median,analizo_dit_quantile_min,analizo_dit_quantile_ninety_five,analizo_dit_quantile_upper,analizo_dit_skewness,analizo_dit_standard_deviation,analizo_dit_sum,analizo_dit_variance,analizo_lcom4_kurtosis,analizo_lcom4_mean,analizo_lcom4_mode,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_max,analizo_lcom4_quantile_median,analizo_lcom4_quantile_min,analizo_lcom4_quantile_ninety_five,analizo_lcom4_quantile_upper,analizo_lcom4_skewness,analizo_lcom4_standard_deviation,analizo_lcom4_sum,analizo_lcom4_variance,analizo_loc_kurtosis,analizo_loc_mean,analizo_loc_mode,analizo_loc_quantile_lower,analizo_loc_quantile_max,analizo_loc_quantile_median,analizo_loc_quantile_min,analizo_loc_quantile_ninety_five,analizo_loc_quantile_upper,analizo_loc_skewness,analizo_loc_standard_deviation,analizo_loc_sum,analizo_loc_variance,analizo_mmloc_kurtosis,analizo_mmloc_mean,analizo_mmloc_mode,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_max,analizo_mmloc_quantile_median,analizo_mmloc_quantile_min,analizo_mmloc_quantile_ninety_five,analizo_mmloc_quantile_upper,analizo_mmloc_skewness,analizo_mmloc_standard_deviation,analizo_mmloc_sum,analizo_mmloc_variance,analizo_noa_kurtosis,analizo_noa_mean,analizo_noa_mode,analizo_noa_quantile_lower,analizo_noa_quantile_max,analizo_noa_quantile_median,analizo_noa_quantile_min,analizo_noa_quantile_ninety_five,analizo_noa_quantile_upper,analizo_noa_skewness,analizo_noa_standard_deviation,analizo_noa_sum,analizo_noa_variance,analizo_noc_kurtosis,analizo_noc_mean,analizo_noc_mode,analizo_noc_quantile_lower,analizo_noc_quantile_max,analizo_noc_quantile_median,analizo_noc_quantile_min,analizo_noc_quantile_ninety_five,analizo_noc_quantile_upper,analizo_noc_skewness,analizo_noc_standard_deviation,analizo_noc_sum,analizo_noc_variance,analizo_nom_kurtosis,analizo_nom_mean,analizo_nom_mode,analizo_nom_quantile_lower,analizo_nom_quantile_max,analizo_nom_quantile_median,analizo_nom_quantile_min,analizo_nom_quantile_ninety_five,analizo_nom_quantile_upper,analizo_nom_skewness,analizo_nom_standard_deviation,analizo_nom_sum,analizo_nom_variance,analizo_npa_kurtosis,analizo_npa_mean,analizo_npa_mode,analizo_npa_quantile_lower,analizo_npa_quantile_max,analizo_npa_quantile_median,analizo_npa_quantile_min,analizo_npa_quantile_ninety_five,analizo_npa_quantile_upper,analizo_npa_skewness,analizo_npa_standard_deviation,analizo_npa_sum,analizo_npa_variance,analizo_npm_kurtosis,analizo_npm_mean,analizo_npm_mode,analizo_npm_quantile_lower,analizo_npm_quantile_max,analizo_npm_quantile_median,analizo_npm_quantile_min,analizo_npm_quantile_ninety_five,analizo_npm_quantile_upper,analizo_npm_skewness,analizo_npm_standard_deviation,analizo_npm_sum,analizo_npm_variance,analizo_rfc_kurtosis,analizo_rfc_mean,analizo_rfc_mode,analizo_rfc_quantile_lower,analizo_rfc_quantile_max,analizo_rfc_quantile_median,analizo_rfc_quantile_min,analizo_rfc_quantile_ninety_five,analizo_rfc_quantile_upper,analizo_rfc_skewness,analizo_rfc_standard_deviation,analizo_rfc_sum,analizo_rfc_variance,analizo_sc_kurtosis,analizo_sc_mean,analizo_sc_mode,analizo_sc_quantile_lower,analizo_sc_quantile_max,analizo_sc_quantile_median,analizo_sc_quantile_min,analizo_sc_quantile_ninety_five,analizo_sc_quantile_upper,analizo_sc_skewness,analizo_sc_standard_deviation,analizo_sc_sum,analizo_sc_variance,analizo_total_abstract_classes,analizo_total_cof,analizo_total_eloc,analizo_total_loc,analizo_total_methods_per_abstract_class,analizo_total_modules,analizo_total_modules_with_defined_attributes,analizo_total_modules_with_defined_methods,analizo_total_nom,competition,dir_to_zip,group_name,is_source,new_dir,new_dir_name,source_lang,year
aibo_cmpack02_openr,46.6228398425,7.1291208791,0,0,195,2,0,35,6,5.7990750216,17.347599394,2595,300.939204735,191.386552731,1.9735831907,0,0,76,1,0,6,2.5,12.1203099028,4.5647393964,718.384281404,20.8368457569,112.15464923,15.6360984573,0,0,625,5,0,54.8,17.575,9.2643067757,43.9750566852,5691.53983844,1933.80561047,1.8215372592,0.9756078247,0,0,6,0.75,0,3,1.6875,1.2290359678,1.0792770331,355.121248186,1.1648389142,24.3992961447,3.0824175824,0,0,57,0,0,16,4,4.0651855584,6.2035108412,1122,38.4835467563,0.13,13.9185220854,0.1263736264,0,0,3,0,0,1,0,3.3536736481,0.3718274919,46,0.1382556837,22.5453829955,2.304945055,0,0,34,1,0,10,3,3.9918607782,4.0278476568,839,16.2235567463,93.5403168498,115.620879121,0,0,4968,14,0,443,84.25,8.8527274581,399.735820755,42086,159788.726395,47.6358220716,44.8736263736,0,0,1138,8.5,0,180,42.25,6.0912478169,115.492789977,16334,13338.5845367,16.3053435115,7.1923076923,0,1,89,3,0,28,8,3.5979905125,11.5403876333,2618,133.180546726,95.8980644049,0.0769230769,0,0,7,0,0,0,0,9.5380953826,0.6072249887,28,0.3687221869,24.7646155102,4.7197802198,0,0,72,2,0,19,6,4.1055516947,8.0236251678,1718,64.3785608331,21.8442449117,5.4065934066,0,0,89,2,0,24,5,4.217512457,10.9511593127,1968,119.927890292,31.4654093825,4.2362637363,0,0,72,2,0,14,6,4.4187210992,6.953937648,1542,48.3572488118,143.055806937,29.9725274725,0,0,1511,7,0,122,28,10.7865466708,100.655506176,10910,10131.5309236,78.9080610783,12.3873626374,0,0,576,0,0,48,6,7.9385856706,45.5153042971,4509,2071.64292526,6,0.0196394515,61070,42086,4.5,364,294,230,1718,aibo,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/aibo/cmpack02_openr,cmpack02_openr,True,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/aibo_cmpack02_openr,aibo_cmpack02_openr,C++,
SPL_rUNSWift-2016-release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/rUNSWift-2016-release.tar,rUNSWift-2016-release,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_rUNSWift-2016-release,SPL_rUNSWift-2016-release,,
SPL_kouretes2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/kouretes2010.tar,kouretes2010,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_kouretes2010,SPL_kouretes2010,,
SPL_TJArk_coderelease_2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/TJArk_coderelease_2016.tar,TJArk_coderelease_2016,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_TJArk_coderelease_2016,SPL_TJArk_coderelease_2016,,
SPL_NaoHTWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/NaoHTWK.tar,NaoHTWK,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_NaoHTWK,SPL_NaoHTWK,,
aibo_NUbotFinalReport2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aibo,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/aibo/NUbotFinalReport2004.pdf,NUbotFinalReport2004,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/aibo_NUbotFinalReport2004,aibo_NUbotFinalReport2004,,
SPL_2016-european-open-team-communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/2016-european-open-team-communications.tar,2016-european-open-team-communications,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_2016-european-open-team-communications,SPL_2016-european-open-team-communications,,
SPL_UTAustin_spl-release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/UTAustin_spl-release.tar,UTAustin_spl-release,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_UTAustin_spl-release,SPL_UTAustin_spl-release,,
Small-Size-League_NUbots,50.6050087084,6.3099219621,0,0,216,0,0,28,4,6.4875457567,20.2444282925,5660,409.836876891,25.8471487242,1.9586083986,1,1,27,1.2857142857,0,5.5,2.25,4.2186288184,2.4338183848,1756.87173358,5.9234719302,15.8021340413,12.7121052597,0,1.5,152,7.6470588235,-5,44,16.375,3.2843722984,17.09680672,11402.7584179,292.300800023,8.7125713621,0.836575933,0,0.25,7.1818181818,0.6666666667,0,2.375,1.1111111111,2.185603453,0.8632722199,750.408611889,0.7452389256,8.4666701401,2.6008918618,0,0,28,1,0,10,4,2.4024957933,3.7382433695,2333,13.9744634894,0.04,0.2548423367,0.6198439242,0,0,3,0,0,2,1,1.1134555121,0.8273820981,556,0.6845611363,56.5168438396,3.469342252,2,1,76,2,0,11,4,5.6816515064,5.1427617858,3112,26.4479987856,49.0086655233,131.464882943,0,5,3057,45,-10,565,159,5.7049424839,258.068324684,117924,66599.2602051,33.2004956321,39.9643255295,0,3,848,18,0,165,47,4.5511171104,68.794943576,35848,4732.74426163,41.8213374719,5.8461538462,0,0,139,2,0,22,6,5.4989780202,11.4495579117,5244,131.092376374,49.8574604479,0.3511705686,0,0,17,0,0,2,0,6.3840363244,1.468562401,315,2.1566755256,16.0308685452,8.7212931996,0,2,108,4,0,32,11,3.3891914413,12.3464824417,7823,152.435628683,144.672332801,2.0445930881,0,0,138,0,0,10,1,10.5240523721,7.8579901525,1834,61.7480092371,16.9003699573,6.9710144928,2,1,91,3,0,25,8,3.5392040911,10.5208788153,6253,110.688891046,26.720684812,36.6923076923,0,3,712,16,0,146,42,4.127043323,60.9931117756,32913,3720.15968407,443.662255421,12.3221850613,0,0,1404,2,0,40,10,18.9193825182,55.8154233409,11053,3115.36148272,53,0.0070423236,127880,117924,9.1320754717,897,654,753,7823,Small-Size-League,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/Small-Size-League/NUbots,NUbots,True,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/Small-Size-League_NUbots,Small-Size-League_NUbots,C++,
SPL_BerlinUnited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup/SPL/BerlinUnited.tar,BerlinUnited,,/home/se-metrics/root/repo_local/Other-RoboCup/Other_robo_proccessed/SPL_BerlinUnited,SPL_BerlinUnited,,
