analizo_cbo_skewness,analizo_anpm_standard_deviation,analizo_accm_skewness,analizo_lcom4_quantile_upper,analizo_npm_mode,analizo_acc_quantile_upper,analizo_sc_quantile_median,analizo_npa_quantile_max,analizo_cbo_variance,analizo_sc_variance,analizo_noa_quantile_median,analizo_accm_standard_deviation,analizo_mmloc_sum,analizo_rfc_quantile_ninety_five,analizo_npm_quantile_lower,analizo_rfc_mode,analizo_nom_quantile_upper,analizo_rfc_kurtosis,analizo_noc_quantile_median,analizo_lcom4_quantile_min,analizo_npa_kurtosis,analizo_loc_kurtosis,analizo_npa_variance,analizo_npa_standard_deviation,folder,analizo_acc_standard_deviation,analizo_lcom4_quantile_max,analizo_npm_quantile_min,analizo_noa_skewness,analizo_cbo_mode,analizo_acc_skewness,analizo_loc_mode,analizo_noc_kurtosis,analizo_anpm_quantile_ninety_five,analizo_noa_standard_deviation,analizo_accm_quantile_lower,analizo_acc_variance,analizo_accm_quantile_median,analizo_amloc_quantile_lower,analizo_mmloc_quantile_upper,analizo_accm_mode,analizo_npm_variance,analizo_sc_skewness,analizo_rfc_sum,analizo_lcom4_quantile_median,analizo_sc_quantile_ninety_five,analizo_nom_mode,analizo_amloc_quantile_ninety_five,analizo_lcom4_kurtosis,analizo_acc_kurtosis,analizo_noa_quantile_ninety_five,analizo_anpm_quantile_min,analizo_noa_quantile_upper,analizo_nom_quantile_lower,analizo_dit_sum,analizo_dit_mean,analizo_mmloc_kurtosis,analizo_nom_sum,analizo_noc_mean,analizo_cbo_mean,analizo_npm_quantile_median,analizo_accm_quantile_max,analizo_noc_quantile_max,analizo_npa_sum,analizo_loc_quantile_max,analizo_change_cost,analizo_noa_quantile_min,analizo_noa_quantile_lower,analizo_noa_mode,analizo_loc_quantile_min,analizo_npm_kurtosis,analizo_noc_quantile_upper,analizo_accm_kurtosis,analizo_sc_sum,analizo_dit_quantile_median,analizo_npa_mean,analizo_anpm_mode,analizo_noa_variance,analizo_anpm_quantile_max,analizo_acc_sum,analizo_noc_skewness,analizo_noa_mean,analizo_cbo_sum,analizo_lcom4_quantile_lower,analizo_loc_sum,analizo_noa_quantile_max,analizo_dit_standard_deviation,analizo_anpm_mean,analizo_rfc_quantile_lower,analizo_sc_quantile_lower,analizo_dit_quantile_max,analizo_sc_mean,analizo_mmloc_mean,analizo_npm_mean,analizo_dit_quantile_lower,analizo_amloc_skewness,analizo_dit_quantile_min,analizo_sc_kurtosis,analizo_mmloc_quantile_lower,analizo_total_cof,analizo_noa_kurtosis,analizo_dit_variance,analizo_npm_sum,analizo_npa_mode,analizo_sc_quantile_min,analizo_cbo_quantile_upper,analizo_npm_quantile_max,analizo_total_modules_with_defined_methods,analizo_acc_quantile_median,analizo_nom_kurtosis,analizo_acc_quantile_ninety_five,analizo_loc_skewness,analizo_sc_quantile_upper,analizo_total_methods_per_abstract_class,analizo_noc_variance,analizo_anpm_quantile_lower,analizo_sc_standard_deviation,analizo_npa_quantile_ninety_five,analizo_rfc_variance,analizo_rfc_quantile_max,analizo_anpm_variance,analizo_accm_sum,analizo_loc_quantile_ninety_five,analizo_nom_standard_deviation,analizo_dit_kurtosis,analizo_cbo_quantile_ninety_five,analizo_npm_skewness,analizo_loc_quantile_lower,analizo_total_abstract_classes,analizo_nom_quantile_min,analizo_lcom4_sum,analizo_nom_quantile_max,type,analizo_total_modules_with_defined_attributes,analizo_noc_standard_deviation,analizo_anpm_sum,analizo_loc_quantile_median,analizo_loc_quantile_upper,analizo_dit_quantile_ninety_five,analizo_mmloc_quantile_max,analizo_accm_quantile_upper,analizo_dit_quantile_upper,analizo_cbo_standard_deviation,analizo_acc_quantile_max,analizo_amloc_quantile_max,analizo_npa_quantile_upper,analizo_amloc_kurtosis,analizo_noc_quantile_min,analizo_accm_quantile_min,analizo_npa_skewness,analizo_mmloc_quantile_min,analizo_acc_quantile_min,analizo_cbo_quantile_median,analizo_anpm_quantile_median,analizo_accm_mean,analizo_anpm_kurtosis,analizo_npa_quantile_lower,analizo_dit_mode,analizo_rfc_quantile_upper,analizo_mmloc_quantile_ninety_five,analizo_noc_mode,analizo_lcom4_mean,analizo_cbo_quantile_min,analizo_noa_sum,analizo_mmloc_skewness,analizo_noc_quantile_lower,analizo_loc_mean,analizo_lcom4_variance,analizo_accm_variance,analizo_total_modules,analizo_nom_mean,analizo_npm_quantile_upper,analizo_amloc_mode,analizo_loc_standard_deviation,analizo_noc_sum,analizo_mmloc_standard_deviation,analizo_anpm_skewness,analizo_sc_quantile_max,analizo_rfc_standard_deviation,analizo_nom_quantile_ninety_five,analizo_accm_quantile_ninety_five,analizo_acc_quantile_lower,analizo_anpm_quantile_upper,analizo_dit_skewness,analizo_mmloc_variance,analizo_amloc_mean,analizo_acc_mean,analizo_npa_quantile_min,analizo_amloc_sum,analizo_nom_quantile_median,analizo_amloc_quantile_upper,analizo_cbo_quantile_lower,analizo_sc_mode,analizo_lcom4_mode,analizo_total_loc,analizo_mmloc_mode,analizo_rfc_skewness,analizo_npa_quantile_median,analizo_cbo_kurtosis,analizo_nom_skewness,analizo_cbo_quantile_max,analizo_lcom4_standard_deviation,analizo_amloc_standard_deviation,analizo_rfc_quantile_median,analizo_lcom4_quantile_ninety_five,analizo_rfc_quantile_min,analizo_total_nom,analizo_noc_quantile_ninety_five,analizo_npm_standard_deviation,analizo_nom_variance,analizo_lcom4_skewness,analizo_loc_variance,analizo_amloc_quantile_min,analizo_rfc_mean,analizo_acc_mode,analizo_mmloc_quantile_median,analizo_amloc_quantile_median,analizo_npm_quantile_ninety_five,analizo_amloc_variance
0,0,0,4,None,0,0,0,0,0,21,0,131,None,8,None,16,0,0,4,0,0,0,0,AgentQuest,0,4,8,0,None,0,None,0,None,0,4.875,0,4.875,29.5625,131,None,0,0,39,4,None,None,None,0,0,None,1.0625,21,16,1,1,0,16,0,0,8,4.875,0,0,473,1,21,21,None,473,0,0,0,0,1,0,None,0,1.0625,0,0,21,0,4,473,21,0,1.0625,39,0,1,0,131,8,1,0,1,0,131,1,0,0,8,None,0,0,8,1,0,0,None,0,0,0,0,1.0625,0,None,0,39,0,4.875,None,0,0,None,0,473,0,16,4,16,y2014,1,0,1.0625,473,473,None,131,4.875,1,0,0,29.5625,0,0,0,4.875,0,131,0,0,1.0625,4.875,0,0,None,39,None,None,4,0,21,0,0,473,0,0,1,16,8,None,0,0,0,0,0,0,None,None,0,1.0625,0,0,29.5625,0,0,29.5625,16,29.5625,0,None,None,473,None,0,0,0,0,0,0,0,39,None,39,16,None,0,0,0,0,29.5625,39,None,131,29.5625,None,0
1.0484136649,0.447324381,1.3057125174,4.25,4,1,0,8,0.8106060606,8.8181818182,4,1.354781493,2182,137,2.75,8,9.25,1.0277118199,0,1,0.046662467,2.4542440939,10.2045454545,3.1944554238,TUDelftGroup2,0.9003366374,7,0,1.3453282936,0,1.9452744634,27,12,1.8333333333,14.4292946971,1.875,0.8106060606,2,6.75,103.5,2,9.5151515152,2.5121021741,451,2,10,4,71,-0.4897623082,4.3696392698,39,0,15.5,3.75,8,0.6666666667,2.4833516461,111,0.1666666667,0.5833333333,4,5.2413793103,2,21,2059,0.2,0,0,0,16,-0.1018824293,0,0.9268262296,18,1,1.75,1.25,208.204545455,1.8333333333,7,3.4641016151,10.75,7,1,5065,39,0.4923659639,1.0333867521,8,0,1,1.5,181.833333333,4.3333333333,0,1.5642741236,0,6.7062316222,9,0.053030303,0.5573601071,0.2424242424,52,0,0,1.25,10,12,0,1.5858911461,3,1.9855519627,2,3,0.3333333333,0.9230769231,2.9695423584,8,2464.26515152,137,0.2000991018,30.8304597701,2059,9.6777627016,-1.65,2,0.4270148986,27,1,2,35,29,y2014,8,0.5773502692,12.4006410256,66.5,249,1,876,2.8125,1,0.9003366374,3,71,1.5,1.3675803162,0,1,1.3967687056,9,0,0,1.0625,2.5692049808,2.2487705255,0,1,37,876,0,2.9166666667,0,129,1.9948528501,0,422.083333333,5.3560606061,1.8354328936,12,9.25,6,6.75,767.677306536,2,325.5157679,-0.7586914478,10,49.6413653269,29,5.2413793103,0,1.25,-0.8124038405,105960.515152,23.9391394047,0.5833333333,0,287.269672856,5,26.1875,0,0,1,5065,9,1.5711328438,0,-0.9062101494,1.6953336874,2,2.3143164447,23.26595718,13,7,3,111,2,3.0846639226,93.6590909091,0.9657615313,589328.44697,5.3333333333,37.5833333333,0,46.5,14.6666666667,10,541.3047635
0,0,0,5,None,0,0,0,0,0,3,0,21,None,8,None,9,0,0,5,0,0,0,0,Sobut,0,5,8,0,None,0,None,0,None,0,1.7777777778,0,1.7777777778,7,21,None,0,0,16,5,None,None,None,0,0,None,0.3333333333,3,9,1,1,0,9,0,0,8,1.7777777778,0,0,63,1,3,3,None,63,0,0,0,0,1,0,None,0,0.3333333333,0,0,3,0,5,63,3,0,0.3333333333,16,0,1,0,21,8,1,0,1,0,21,1,0,0,8,None,0,0,8,1,0,0,None,0,0,0,0,0.3333333333,0,None,0,16,0,1.7777777778,None,0,0,None,0,63,0,9,5,9,y2014,1,0,0.3333333333,63,63,None,21,1.7777777778,1,0,0,7,0,0,0,1.7777777778,0,21,0,0,0.3333333333,1.7777777778,0,0,None,16,None,None,5,0,3,0,0,63,0,0,1,9,8,None,0,0,0,0,0,0,None,None,0,0.3333333333,0,0,7,0,0,7,9,7,0,None,None,63,None,0,0,0,0,0,0,0,16,None,16,9,None,0,0,0,0,7,16,None,21,7,None,0
0,0.3535533906,0,5,None,0.75,3,0,0.5,18,8,1.8980234653,153,52,3.5,None,14.75,0,0,2,0,0,0,0,AgentM,0.7071067812,6,2,0,None,0,None,0,1,8.4852813742,1.6710526316,0.5,2.3421052632,8.5263157895,113.25,None,18,0,55,4,6,None,25.1052631579,0,0,14,0.5,11,6.25,2,1,0,21,0,0.5,5,3.6842105263,0,0,477,1,2,5,None,6,0,0,0,6,1,0,None,72,1,1,0,8,1,3,483,14,0,0.75,15.25,1.5,1,3,76.5,5,1,0,1,0,39.75,0.5,0,0,10,0,0,0.75,8,2,0.5,0,1,0,4.5,0,0,0.625,4.2426406871,0,1200.5,52,0.125,4.6842105263,477,12.0208152802,0,1,0,123.75,0,2,8,19,y2014,2,0,1.5,241.5,359.25,1,150,3.0131578947,1,0.7071067812,1,25.1052631579,0,0,0,1,0,3,0,0.5,0.75,2.3421052632,0,0,1,39.75,150,0,4,0,16,0,0,241.5,8,3.6024930748,2,10.5,6.5,None,333.047293939,0,103.944696834,0,6,34.6482322781,19,3.6842105263,0.25,0.875,0,10804.5,14.0526315789,0.5,0,28.1052631579,10.5,19.5789473684,0.25,None,None,483,None,0,0,0,0,1,2.8284271248,15.6307814789,27.5,6,3,21,0,4.2426406871,144.5,0,110920.5,3,27.5,None,76.5,14.0526315789,8,244.32132964
1.714392328,0.4735504197,0.1593635027,4,1,1,0,4,1.7,27.8,14,1.0829069674,321,77,1,None,10,-2.3121606597,0,1,5,-2.4124665728,3.2,1.788854382,Gangster,0.8366600265,5,0,0.8515171406,0,0.5122408326,None,0,2.1,12.2759928315,2,0.7,3,12,106,None,5.5,2.1995196148,214,1,12,10,43.7,-2.4792243767,-0.612244898,34,1.125,15,8,1,0.2,-2.3722619255,45,0,0.8,1,4.3,0,4,437,0.36,0,11,None,12,3.3223140496,0,-1.4045182116,13,0,0.8,None,150.7,2.1,4,0,14.8,4,1,1110,34,0.4472135955,1.535,16,0,1,2.6,64.2,2,0,0.7727753168,0,4.8602556804,12,0.2,2.1320411845,0.2,10,0,0,1,6,5,1,1.661117717,2,-0.1566127181,1,0,0,1.2,5.2725705306,4,1069.2,77,0.22425,14.3625,437,5.3851648071,5,3,1.7443694975,53,0,1,12,16,y2014,4,0,7.675,266,342,1,133,3.4375,0,1.303840481,2,43.7,0,0.3478584111,0,1.625,2.2360679775,12,0,0,1.25,2.8725,-3.1253984855,0,0,65,133,0,2.4,0,74,0.2901653196,0,222,3.8,1.1726875,5,9,2,None,183.862720528,0,54.7010054752,0.5934174853,12,32.6986238243,16,4.3,0,2,2.2360679775,2992.2,22.06,0.8,0,110.3,10,26.6,0,0,1,1110,12,-0.4710542139,0,2.6643598616,-0.4482301266,3,1.949358869,14.3945584337,55,5,1,45,0,2.3452078799,29,0.7559840489,33805.5,6.625,42.8,1,58,21.375,6,207.2033125
0,3.3631887319,0,4.5,None,0.5,0,0,0.3333333333,21.3333333333,8,2.3726376532,175,130,1.5,None,15.5,0,0,1,0,0,0,0,AgentWhale,0.5773502692,8,1,0,0,0,None,0,7,10.6926766216,1.5,0.3333333333,2,9.5,82,None,234.333333333,0,142,1,8,None,41.2068965517,0,0,22,0.8965517241,15,1.5,3,1,0,32,0,0.3333333333,2,5.5172413793,0,0,1195,1,1,4.5,None,11,0,0,0,8,1,0,None,114.333333333,7,1,0,10.3333333333,1,1,1222,22,0,3.1321839081,6,0,1,2.6666666667,58.3333333333,10.3333333333,1,0,1,0,12,0.1666666667,0,0,31,0,0,0.5,28,3,0,0,1,0,4,0,0,1.1982758621,4.6188021535,0,5129.33333333,130,11.3110384463,8.5172413793,1195,15.8850034099,0,1,0,13.5,0,1,10,29,y2014,3,0,9.3965517241,16,605.5,1,151,3.7586206897,1,0.5773502692,1,41.2068965517,0,0,0,1,0,11,0,0,1.5,2.8390804598,0,0,1,69,151,0,3.3333333333,0,31,0,0,407.333333333,16.3333333333,5.6294094332,3,10.6666666667,15,None,682.143924208,0,80.2579175741,0,8,71.6193642344,29,5.5172413793,0,4.25,0,6441.33333333,20.0689655172,0.3333333333,0,60.2068965517,2,26.1034482759,0,0,1,1222,None,0,0,0,0,1,4.0414518843,18.3673377579,8,8,4,32,0,15.3079500043,252.333333333,0,465320.333333,8,47.3333333333,0,13,11,28,337.359096314
0,11.6672618896,0,3.25,None,0.75,2,0,0.5,8,27,5.6126600757,238,148,2.5,None,12.25,0,0,1,0,0,0,0,Atlas,0.7071067812,4,1,0,None,0,None,0,17,14.1421356237,2.984375,0.5,4.96875,38.34375,164.5,None,18,0,166,2.5,4,None,69.375,0,0,37,0.5,32,4.75,2,1,0,17,0,0.5,4,8.9375,0,0,1110,1,17,22,None,28,0,0,0,4,1,0,None,200,17,1,0,27,1,1.75,1138,37,0,8.75,50.5,1,1,2,119,4,1,0,1,0,73.5,0.5,0,0,8,0,0,0.75,7,2,0.5,0,1,0,3,0,0,4.625,2.8284271248,0,8450,148,136.125,9.9375,1110,10.6066017178,0,1,0,298.5,0,1,5,16,y2014,2,0,17.5,569,839.5,1,210,6.953125,1,0.7071067812,1,69.375,0,0,0,1,0,28,0,0.5,8.75,4.96875,0,0,1,115.5,210,0,2.5,0,54,0,0,569,4.5,31.501953125,2,8.5,5.5,None,765.089537244,0,128.693434176,0,4,91.9238815543,16,8.9375,0.25,12.875,0,16562,48.6875,0.5,0,97.375,8.5,59.03125,0.25,None,None,1138,None,0,0,0,0,1,2.1213203436,29.2565430716,83,4,18,17,0,4.2426406871,112.5,0,585362,28,83,None,119,48.6875,7,855.9453125
0,0.3126700218,0,2.5,None,1.5,2,2,1,9.3333333333,23,3.0054690795,414,181,8,None,15,0,0,2,0,0,1.3333333333,1.1547005384,DoNA,1,3,7,0,None,0,None,0,1.375,23.2594066992,5.6785714286,1,5.8571428571,34.3303571429,164.5,None,9.3333333333,0,323,2,6,None,61,0,0,52,0.8125,37.5,11,1,0.3333333333,0,38,0,1,9,10.875,0,2,976,0.67,6,14.5,None,295,0,0,0,8,0,0.6666666667,None,541,1.375,3,0,27,3,2,1716,52,0.5773502692,1.0148809524,71,1,1,2.6666666667,138,9.6666666667,0,0,0,0,95.5,0.5,0,0.3333333333,29,0,0,1.5,13,3,1,0,2,0,4,0,0,0.8348214286,3.0550504633,2,6058.33333333,181,0.0977625425,22.2321428571,976,4.1633319989,0,2,0,370,0,8,7,16,y2014,3,0,3.0446428571,445,710.5,1,223,8.3660714286,0.5,1,2,61,1,0,0,5.5,0,85,0,1,0.8571428571,7.4107142857,0,0,0,148.5,223,0,2.3333333333,0,81,0,0,572,0.3333333333,9.0328443878,3,12.6666666667,11,None,357.822581736,0,74.3572457801,0,6,77.8352961922,16,10.875,0.5,1.1160714286,0,5529,43.2202380952,1,0,129.660714286,14,48.9375,0.5,None,2,1716,None,0,0,0,0,2,0.5773502692,15.6065741697,116,3,26,38,0,3.0550504633,17.3333333333,0,128037,31.7857142857,107.666666667,None,106,36.875,13,243.565157313
0,0,0,5,None,0,0,0,0,0,11,0,58,None,7,None,13,0,0,5,0,0,0,0,ArisawaYaki,0,5,7,0,None,0,None,0,None,0,3.3846153846,0,3.3846153846,19.9230769231,58,None,0,0,49,5,None,None,None,0,0,None,0.3846153846,11,13,1,1,0,13,0,0,7,3.3846153846,0,0,259,1,11,11,None,259,0,0,0,0,1,0,None,0,0.3846153846,0,0,11,0,5,259,11,0,0.3846153846,49,0,1,0,58,7,1,0,1,0,58,1,0,0,7,None,0,0,7,1,0,0,None,0,0,0,0,0.3846153846,0,None,0,49,0,3.3846153846,None,0,0,None,0,259,0,13,5,13,y2014,1,0,0.3846153846,259,259,None,58,3.3846153846,1,0,0,19.9230769231,0,0,0,3.3846153846,0,58,0,0,0.3846153846,3.3846153846,0,0,None,49,None,None,5,0,11,0,0,259,0,0,1,13,7,None,0,0,0,0,0,0,None,None,0,0.3846153846,0,0,19.9230769231,0,0,19.9230769231,13,19.9230769231,0,None,None,259,None,0,0,0,0,0,0,0,49,None,49,13,None,0,0,0,0,19.9230769231,49,None,58,19.9230769231,None,0
3.0179440843,0.8587500227,0.5696310297,2.5,1,2,1,5,3.3021978022,84.0934065934,2,0.8720906399,272,84,2,1,4.75,9.5281933926,0,1,14,11.0663483312,1.7857142857,1.3363062096,E2Agent,1.1387288074,5,1,2.7272257101,1,0.4390861079,3,7.6791185165,3.1818181818,4.4456423905,1,1.2967032967,1.3863636364,2.4,28,1,3.6318681319,3.6543054369,215,1,35,1,23,2.2137191013,-1.1193491943,17,0.5,3.75,2,8,0.5714285714,5.5252244069,61,0.2142857143,1.0714285714,3,3,2,5,270,0.21,0,0,0,1,-0.6934821377,0,-1.6589607726,47,1,0.3571428571,1,19.7637362637,3.1818181818,18,2.8033423379,2.9285714286,15,1,593,17,0.513552591,1.7046536797,3.75,0,1,3.3571428571,19.4285714286,3.3571428571,0,0.605496483,0,13.5237330119,4.25,0.0989010989,8.5746466973,0.2637362637,47,0,0,1,7,14,1,3.2233596024,3,3.1901575414,1.75,0,0.3351648352,1,9.1702457215,5,453.016483516,84,0.7374516014,24.6727272727,270,4.030788105,-2.240530303,7,0.4120034594,7.75,0,1,24,15,y2014,9,0.5789342235,23.8651515152,23.5,49,1,89,2.675,1,1.8171950369,3,23,0,-1.0071905591,0,1,3.7416573868,1,0,1,1.875,1.7623376623,-1.2275771406,0,1,13.75,89,0,1.7142857143,0,41,2.1791177119,0,42.3571428571,1.6043956044,0.7605420842,14,4.3571428571,4.75,1,68.5987296842,3,23.6828866669,0.0283051776,35,21.2841838819,15,3,0.25,2.3333333333,-0.3245367068,560.879120879,8.7155844156,1.2857142857,0,122.018181818,3,13.9375,0,0,1,593,14,2.9512969431,0,10.1204124322,1.8582871781,7,1.2666473876,7.3477312095,10.5,5,1,61,2,1.9057460827,16.2472527473,1.687120127,4705.78571429,1,15.3571428571,1,12,5.25,7,53.9891539269
