analizo_cbo_skewness,analizo_anpm_standard_deviation,analizo_accm_skewness,analizo_lcom4_quantile_upper,analizo_npm_mode,analizo_acc_quantile_upper,analizo_sc_quantile_median,analizo_npa_quantile_max,analizo_cbo_variance,analizo_sc_variance,analizo_noa_quantile_median,analizo_accm_standard_deviation,analizo_mmloc_sum,analizo_rfc_quantile_ninety_five,analizo_npm_quantile_lower,analizo_rfc_mode,analizo_nom_quantile_upper,analizo_rfc_kurtosis,analizo_noc_quantile_median,analizo_lcom4_quantile_min,analizo_npa_kurtosis,analizo_loc_kurtosis,analizo_npa_variance,analizo_npa_standard_deviation,folder,analizo_acc_standard_deviation,analizo_lcom4_quantile_max,analizo_npm_quantile_min,analizo_noa_skewness,analizo_cbo_mode,analizo_acc_skewness,analizo_loc_mode,analizo_noc_kurtosis,analizo_anpm_quantile_ninety_five,analizo_noa_standard_deviation,analizo_accm_quantile_lower,analizo_acc_variance,analizo_accm_quantile_median,analizo_amloc_quantile_lower,analizo_mmloc_quantile_upper,analizo_accm_mode,analizo_npm_variance,analizo_sc_skewness,analizo_rfc_sum,analizo_lcom4_quantile_median,analizo_sc_quantile_ninety_five,analizo_nom_mode,analizo_amloc_quantile_ninety_five,analizo_lcom4_kurtosis,analizo_acc_kurtosis,analizo_noa_quantile_ninety_five,analizo_anpm_quantile_min,analizo_noa_quantile_upper,analizo_nom_quantile_lower,analizo_dit_sum,analizo_dit_mean,analizo_mmloc_kurtosis,analizo_nom_sum,analizo_noc_mean,analizo_cbo_mean,analizo_npm_quantile_median,analizo_accm_quantile_max,analizo_noc_quantile_max,analizo_npa_sum,analizo_loc_quantile_max,analizo_change_cost,analizo_noa_quantile_min,analizo_noa_quantile_lower,analizo_noa_mode,analizo_loc_quantile_min,analizo_npm_kurtosis,analizo_noc_quantile_upper,analizo_accm_kurtosis,analizo_sc_sum,analizo_dit_quantile_median,analizo_npa_mean,analizo_anpm_mode,analizo_noa_variance,analizo_anpm_quantile_max,analizo_acc_sum,analizo_noc_skewness,analizo_noa_mean,analizo_cbo_sum,analizo_lcom4_quantile_lower,analizo_loc_sum,analizo_noa_quantile_max,analizo_dit_standard_deviation,analizo_anpm_mean,analizo_rfc_quantile_lower,analizo_sc_quantile_lower,analizo_dit_quantile_max,analizo_sc_mean,analizo_mmloc_mean,analizo_npm_mean,analizo_dit_quantile_lower,analizo_amloc_skewness,analizo_dit_quantile_min,analizo_sc_kurtosis,analizo_mmloc_quantile_lower,analizo_total_cof,analizo_noa_kurtosis,analizo_dit_variance,analizo_npm_sum,analizo_npa_mode,analizo_sc_quantile_min,analizo_cbo_quantile_upper,analizo_npm_quantile_max,analizo_total_modules_with_defined_methods,analizo_acc_quantile_median,analizo_nom_kurtosis,analizo_acc_quantile_ninety_five,analizo_loc_skewness,analizo_sc_quantile_upper,analizo_total_methods_per_abstract_class,analizo_noc_variance,analizo_anpm_quantile_lower,analizo_sc_standard_deviation,analizo_npa_quantile_ninety_five,analizo_rfc_variance,analizo_rfc_quantile_max,analizo_anpm_variance,analizo_accm_sum,analizo_loc_quantile_ninety_five,analizo_nom_standard_deviation,analizo_dit_kurtosis,analizo_cbo_quantile_ninety_five,analizo_npm_skewness,analizo_loc_quantile_lower,analizo_total_abstract_classes,analizo_nom_quantile_min,analizo_lcom4_sum,analizo_nom_quantile_max,type,analizo_total_modules_with_defined_attributes,analizo_noc_mode,analizo_anpm_sum,analizo_loc_quantile_median,analizo_loc_quantile_upper,analizo_dit_quantile_ninety_five,analizo_mmloc_quantile_max,analizo_accm_quantile_upper,analizo_dit_quantile_upper,analizo_cbo_standard_deviation,analizo_acc_quantile_max,analizo_amloc_quantile_max,analizo_npa_quantile_upper,analizo_amloc_kurtosis,analizo_amloc_quantile_median,analizo_noc_quantile_min,analizo_accm_quantile_min,analizo_npa_skewness,analizo_mmloc_quantile_min,analizo_acc_quantile_min,analizo_cbo_quantile_median,analizo_anpm_quantile_median,analizo_accm_mean,analizo_anpm_kurtosis,analizo_npa_quantile_lower,analizo_dit_mode,analizo_rfc_quantile_upper,analizo_mmloc_quantile_ninety_five,analizo_noc_standard_deviation,analizo_lcom4_mean,analizo_cbo_quantile_min,analizo_noa_sum,analizo_mmloc_skewness,analizo_noc_quantile_lower,analizo_loc_mean,analizo_lcom4_variance,analizo_accm_variance,analizo_total_modules,analizo_nom_mean,analizo_npm_quantile_upper,analizo_amloc_mode,analizo_loc_standard_deviation,analizo_noc_sum,analizo_mmloc_standard_deviation,analizo_anpm_skewness,analizo_sc_quantile_max,analizo_rfc_standard_deviation,analizo_nom_quantile_ninety_five,analizo_accm_quantile_ninety_five,analizo_acc_quantile_lower,analizo_anpm_quantile_upper,analizo_dit_skewness,analizo_mmloc_variance,analizo_amloc_mean,analizo_acc_mean,analizo_npa_quantile_min,analizo_amloc_sum,analizo_nom_quantile_median,analizo_amloc_quantile_upper,analizo_cbo_quantile_lower,analizo_sc_mode,analizo_lcom4_mode,analizo_total_loc,analizo_mmloc_mode,analizo_rfc_skewness,analizo_npa_quantile_median,analizo_cbo_kurtosis,analizo_nom_skewness,analizo_cbo_quantile_max,analizo_lcom4_standard_deviation,analizo_amloc_standard_deviation,analizo_rfc_quantile_median,analizo_lcom4_quantile_ninety_five,analizo_rfc_quantile_min,analizo_total_nom,analizo_noc_quantile_ninety_five,analizo_npm_standard_deviation,analizo_nom_variance,analizo_lcom4_skewness,analizo_loc_variance,analizo_amloc_quantile_min,analizo_rfc_mean,analizo_acc_mode,analizo_mmloc_quantile_median,analizo_total_eloc,analizo_npm_quantile_ninety_five,analizo_amloc_variance
,,,,,,,,,,,,,,,,,,,,,,,,anac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,,download,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,
0,0,0,4,None,0,0,0,0,0,21,0,131,None,8,None,16,0,0,4,0,0,0,0,AgentQuest,0,4,8,0,None,0,None,0,None,0,4.875,0,4.875,29.5625,131,None,0,0,39,4,None,None,None,0,0,None,1.0625,21,16,1,1,0,16,0,0,8,4.875,0,0,473,1.00,21,21,None,473,0,0,0,0,1,0,None,0,1.0625,0,0,21,0,4,473,21,0,1.0625,39,0,1,0,131,8,1,0,1,0,131,1,0,0,8,None,0,0,8,1,0,0,None,0,0,0,0,1.0625,0,None,0,39,0,4.875,None,0,0,None,0,473,0,16,4,16,y2014,1,None,1.0625,473,473,None,131,4.875,1,0,0,29.5625,0,0,29.5625,0,4.875,0,131,0,0,1.0625,4.875,0,0,None,39,None,0,4,0,21,0,0,473,0,0,1,16,8,None,0,0,0,0,0,0,None,None,0,1.0625,0,0,29.5625,0,0,29.5625,16,29.5625,0,None,None,473,None,0,0,0,0,0,0,0,39,None,39,16,None,0,0,0,0,29.5625,39,None,131,445,None,0
1.04841366491,0.447324381005,1.30571251737,4.25,4,1.25,0,8,0.810606060606,8.81818181818,4,1.35478149295,2182,137,2.75,8,9.25,1.02771181994,0,1,0.046662466952,2.45424409389,10.2045454545,3.19445542378,TUDelftGroup2,2.93876906823,7,0,1.34532829361,0,2.60474255186,27,12,1.83333333333,14.4292946971,1.875,8.63636363636,2,6.75,103.5,2,9.51515151515,2.51210217406,451,2,10,4,71,-0.489762308217,7.15262049861,39,0,15.5,3.75,8,0.666666666667,2.48335164613,111,0.166666666667,0.583333333333,4,5.24137931034,2,21,2059,0.20,0,0,0,16,-0.101882429307,0,0.92682622956,18,1,1.75,1.25,208.204545455,1.83333333333,18,3.46410161514,10.75,7,1,5065,39,0.492365963917,1.03338675214,8,0,1,1.5,181.833333333,4.33333333333,0,1.56427412356,0,6.70623162221,9,0.136363636364,0.557360107138,0.242424242424,52,0,0,1.25,10,12,0,1.58589114614,10,1.98555196267,2,3,0.333333333333,0.923076923077,2.96954235837,8,2464.26515152,137,0.200099101842,30.8304597701,2059,9.67776270163,-1.65,2,0.427014898639,27,1,2,35,29,y2014,8,0,12.4006410256,66.5,249,1,876,2.8125,1,0.900336637379,10,71,1.5,1.36758031623,14.6666666667,0,1,1.39676870563,9,0,0,1.0625,2.56920498084,2.24877052553,0,1,37,876,0.57735026919,2.91666666667,0,129,1.99485285005,0,422.083333333,5.35606060606,1.83543289364,12,9.25,6,6.75,767.677306536,2,325.5157679,-0.758691447836,10,49.6413653269,29,5.24137931034,0,1.25,-0.812403840464,105960.515152,23.9391394047,1.5,0,287.269672856,5,26.1875,0,0,1,5065,9,1.57113284383,0,-0.906210149358,1.69533368742,2,2.31431644467,23.26595718,13,7,3,111,2,3.08466392256,93.6590909091,0.965761531291,589328.44697,5.33333333333,37.5833333333,0,46.5,2235,10,541.3047635
0,0,0,5,None,0,0,0,0,0,3,0,21,None,8,None,9,0,0,5,0,0,0,0,Sobut,0,5,8,0,None,0,None,0,None,0,1.77777777778,0,1.77777777778,7,21,None,0,0,16,5,None,None,None,0,0,None,0.333333333333,3,9,1,1,0,9,0,0,8,1.77777777778,0,0,63,1.00,3,3,None,63,0,0,0,0,1,0,None,0,0.333333333333,0,0,3,0,5,63,3,0,0.333333333333,16,0,1,0,21,8,1,0,1,0,21,1,0,0,8,None,0,0,8,1,0,0,None,0,0,0,0,0.333333333333,0,None,0,16,0,1.77777777778,None,0,0,None,0,63,0,9,5,9,y2014,1,None,0.333333333333,63,63,None,21,1.77777777778,1,0,0,7,0,0,7,0,1.77777777778,0,21,0,0,0.333333333333,1.77777777778,0,0,None,16,None,0,5,0,3,0,0,63,0,0,1,9,8,None,0,0,0,0,0,0,None,None,0,0.333333333333,0,0,7,0,0,7,9,7,0,None,None,63,None,0,0,0,0,0,0,0,16,None,16,9,None,0,0,0,0,7,16,None,21,82,None,0
0,0.353553390593,0,5,None,0.75,3,0,0.5,18,8,1.89802346529,153,52,3.5,None,14.75,0,0,2,0,0,0,0,AgentM,0.707106781187,6,2,0,None,0,None,0,1,8.48528137424,1.67105263158,0.5,2.34210526316,8.52631578947,113.25,None,18,0,55,4,6,None,25.1052631579,0,0,14,0.5,11,6.25,2,1,0,21,0,0.5,5,3.68421052632,0,0,477,1.00,2,5,None,6,0,0,0,6,1,0,None,72,1,1,0,8,1,3,483,14,0,0.75,15.25,1.5,1,3,76.5,5,1,0,1,0,39.75,0.5,0,0,10,0,0,0.75,8,2,0.5,0,1,0,4.5,0,0,0.625,4.24264068712,0,1200.5,52,0.125,4.68421052632,477,12.0208152802,0,1,0,123.75,0,2,8,19,y2014,2,0,1.5,241.5,359.25,1,150,3.01315789474,1,0.707106781187,1,25.1052631579,0,0,14.0526315789,0,1,0,3,0,0.5,0.75,2.34210526316,0,0,1,39.75,150,0,4,0,16,0,0,241.5,8,3.60249307479,2,10.5,6.5,None,333.047293939,0,103.944696834,0,6,34.6482322781,19,3.68421052632,0.25,0.875,0,10804.5,14.0526315789,0.5,0,28.1052631579,10.5,19.5789473684,0.25,None,None,483,None,0,0,0,0,1,2.82842712475,15.6307814789,27.5,6,3,21,0,4.24264068712,144.5,0,110920.5,3,27.5,None,76.5,437,8,244.32132964
1.71439232801,0.473550419702,0.159363502693,4,1,4,0,4,1.7,27.8,14,1.08290696738,321,77,1,None,10,-2.31216065968,0,1,5.0,-2.41246657282,3.2,1.788854382,Gangster,2.34520787991,5,0,0.851517140648,0,0.581456499152,None,0,2.1,12.2759928315,2,5.5,3,12,106,None,5.5,2.19951961475,214,1,12,10,43.7,-2.47922437673,-2.62809917355,34,1.125,15,8,1,0.2,-2.37226192552,45,0,0.8,1,4.3,0,4,437,0.36,0,11,None,12,3.32231404959,0,-1.40451821158,13,0,0.8,None,150.7,2.1,10,0,14.8,4,1,1110,34,0.4472135955,1.535,16,0,1,2.6,64.2,2,0,0.772775316792,0,4.86025568035,12,0.5,2.13204118449,0.2,10,0,0,1,6,5,1,1.661117717,5,-0.156612718102,1,0,0,1.2,5.27257053059,4,1069.2,77,0.22425,14.3625,437,5.38516480713,5.0,3,1.74436949745,53,0,1,12,16,y2014,4,0,7.675,266,342,1,133,3.4375,0,1.30384048104,5,43.7,0,0.347858411115,21.375,0,1.625,2.2360679775,12,0,0,1.25,2.8725,-3.12539848548,0,0,65,133,0,2.4,0,74,0.290165319615,0,222,3.8,1.1726875,5,9,2,None,183.862720528,0,54.7010054752,0.593417485294,12,32.6986238243,16,4.3,0,2,2.2360679775,2992.2,22.06,2,0,110.3,10,26.6,0,0,1,1110,12,-0.471054213917,0,2.66435986159,-0.448230126634,3,1.94935886896,14.3945584337,55,5,1,45,0,2.34520787991,29,0.755984048905,33805.5,6.625,42.8,0,58,836,6,207.2033125
0,3.36318873189,0,4.5,None,2.5,0,0,0.333333333333,21.3333333333,8,2.37263765316,175,130,1.5,None,15.5,0,0,1,0,0,0,0,AgentWhale,2.88675134595,8,1,0,0,0,None,0,7,10.6926766216,1.5,8.33333333333,2,9.5,82,None,234.333333333,0,142,1,8,None,41.2068965517,0,0,22,0.896551724138,15,1.5,3,1,0,32,0,0.333333333333,2,5.51724137931,0,0,1195,1.00,1,4.5,None,11,0,0,0,8,1,0,None,114.333333333,7,5,0,10.3333333333,1,1,1222,22,0,3.13218390805,6,0,1,2.66666666667,58.3333333333,10.3333333333,1,0,1,0,12,0.833333333333,0,0,31,0,0,0.5,28,3,0,0,5,0,4,0,0,1.19827586207,4.61880215352,0,5129.33333333,130,11.3110384463,8.51724137931,1195,15.8850034099,0,1,0,13.5,0,1,10,29,y2014,3,0,9.39655172414,16,605.5,1,151,3.75862068966,1,0.57735026919,5,41.2068965517,0,0,11,0,1,0,11,0,0,1.5,2.83908045977,0,0,1,69,151,0,3.33333333333,0,31,0,0,407.333333333,16.3333333333,5.62940943321,3,10.6666666667,15,None,682.143924208,0,80.2579175741,0,8,71.6193642344,29,5.51724137931,0,4.25,0,6441.33333333,20.0689655172,1.66666666667,0,60.2068965517,2,26.1034482759,0,0,1,1222,None,0,0,0,0,1,4.04145188433,18.3673377579,8,8,4,32,0,15.3079500043,252.333333333,0,465320.333333,8,47.3333333333,0,13,794,28,337.359096314
0,11.6672618896,0,3.25,None,0.75,2,0,0.5,8,27,5.61266007567,238,148,2.5,None,12.25,0,0,1,0,0,0,0,Atlas,0.707106781187,4,1,0,None,0,None,0,17,14.1421356237,2.984375,0.5,4.96875,38.34375,164.5,None,18,0,166,2.5,4,None,69.375,0,0,37,0.5,32,4.75,2,1,0,17,0,0.5,4,8.9375,0,0,1110,1.00,17,22,None,28,0,0,0,4,1,0,None,200,17,1,0,27,1,1.75,1138,37,0,8.75,50.5,1,1,2,119,4,1,0,1,0,73.5,0.5,0,0,8,0,0,0.75,7,2,0.5,0,1,0,3,0,0,4.625,2.82842712475,0,8450,148,136.125,9.9375,1110,10.6066017178,0,1,0,298.5,0,1,5,16,y2014,2,0,17.5,569,839.5,1,210,6.953125,1,0.707106781187,1,69.375,0,0,48.6875,0,1,0,28,0,0.5,8.75,4.96875,0,0,1,115.5,210,0,2.5,0,54,0,0,569,4.5,31.501953125,2,8.5,5.5,None,765.089537244,0,128.693434176,0,4,91.9238815543,16,8.9375,0.25,12.875,0,16562,48.6875,0.5,0,97.375,8.5,59.03125,0.25,None,None,1138,None,0,0,0,0,1,2.12132034356,29.2565430716,83,4,18,17,0,4.24264068712,112.5,0,585362,28,83,None,119,901,7,855.9453125
0,0.312670021775,0,2.5,None,7.5,2,2,1,9.33333333333,23,3.00546907949,414,181,8,None,15,0,0,2,0,0,1.33333333333,1.15470053838,DoNA,6.2449979984,3,7,0,None,0,None,0,1.375,23.2594066992,5.67857142857,39,5.85714285714,34.3303571429,164.5,None,9.33333333333,0,323,2,6,None,61,0,0,52,0.8125,37.5,11,1,0.333333333333,0,38,0,1,9,10.875,0,2,976,0.67,6,14.5,None,295,0,0,0,8,0,0.666666666667,None,541,1.375,15,0,27,3,2,1716,52,0.57735026919,1.01488095238,71,1,1,2.66666666667,138,9.66666666667,0,0,0,0,95.5,2.5,0,0.333333333333,29,0,0,1.5,13,3,3,0,12,0,4,0,0,0.834821428571,3.0550504633,2,6058.33333333,181,0.097762542517,22.2321428571,976,4.16333199893,0,2,0,370,0,8,7,16,y2014,3,0,3.04464285714,445,710.5,1,223,8.36607142857,0.5,1,12,61,1,0,36.875,0,5.5,0,85,0,1,0.857142857143,7.41071428571,0,0,0,148.5,223,0,2.33333333333,0,81,0,0,572,0.333333333333,9.03284438776,3,12.6666666667,11,None,357.822581736,0,74.3572457801,0,6,77.8352961922,16,10.875,1.5,1.11607142857,0,5529,43.2202380952,5,0,129.660714286,14,48.9375,0.5,None,2,1716,None,0,0,0,0,2,0.57735026919,15.6065741697,116,3,26,38,0,3.0550504633,17.3333333333,0,128037,31.7857142857,107.666666667,None,106,1531,13,243.565157313
0,0,0,5,None,0,0,0,0,0,11,0,58,None,7,None,13,0,0,5,0,0,0,0,ArisawaYaki,0,5,7,0,None,0,None,0,None,0,3.38461538462,0,3.38461538462,19.9230769231,58,None,0,0,49,5,None,None,None,0,0,None,0.384615384615,11,13,1,1,0,13,0,0,7,3.38461538462,0,0,259,1.00,11,11,None,259,0,0,0,0,1,0,None,0,0.384615384615,0,0,11,0,5,259,11,0,0.384615384615,49,0,1,0,58,7,1,0,1,0,58,1,0,0,7,None,0,0,7,1,0,0,None,0,0,0,0,0.384615384615,0,None,0,49,0,3.38461538462,None,0,0,None,0,259,0,13,5,13,y2014,1,None,0.384615384615,259,259,None,58,3.38461538462,1,0,0,19.9230769231,0,0,19.9230769231,0,3.38461538462,0,58,0,0,0.384615384615,3.38461538462,0,0,None,49,None,0,5,0,11,0,0,259,0,0,1,13,7,None,0,0,0,0,0,0,None,None,0,0.384615384615,0,0,19.9230769231,0,0,19.9230769231,13,19.9230769231,0,None,None,259,None,0,0,0,0,0,0,0,49,None,49,13,None,0,0,0,0,19.9230769231,49,None,58,239,None,0
