,player_fast_block_instructions_info_max,player_fast_block_instructions_info_min,player_fast_block_instructions_info_std,player_fast_block_instructions_info_sum,player_fast_blocks_sizes_info_max,player_fast_blocks_sizes_info_min,player_fast_blocks_sizes_info_std,player_fast_blocks_sizes_info_sum,player_fast_complex_mccabe,player_fast_number_of_CFG_nodes_that_return_a_value,player_fast_simple_mccabe,player_fast_system_calls_count,player_function_cc_radare2_max,player_function_cc_radare2_mean,player_function_cc_radare2_std,player_function_cc_radare2_sum,binary_player_number_lines,results_team,results_Unnamed: 0,results_loss,results_S,results_R,results_games,results_tie,results_win,results_win_diff,results_win_rate,results_goals_diff,results_loss_rate,results_rank
1,,,,,,,,,,,,,6.0,1.05319148936,0.421926213086,297.0,679428.0,yushan2014,664,8.0,26,18,17,1.0,8.0,0.0,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.0
2,90.0,0.0,4.0220978171,138516.0,398.0,0.0,22.5677110279,644743.0,69979.0,1367.0,31603.0,0.0,286.0,10.9432485323,24.6294000492,11184.0,140585.0,infographics,651,8.0,22,20,17,2.0,7.0,-0.05882352941176471,0.4117647058823529,0.1176470588235294,0.4705882352941176,0.0
3,45.0,0.0,2.8324399453900004,50945.0,399.0,0.0,14.407607758800001,214136.0,33438.0,643.0,14866.0,0.0,126.0,12.161538461500001,20.2240541649,4743.0,387448.0,helios2014,1112,2.0,38,8,16,3.0,11.0,0.5625,0.6875,1.875,0.125,0.0
5,90.0,0.0,4.05138624118,147847.0,400.0,0.0,22.5767198001,679696.0,74615.0,1627.0,32919.0,0.0,335.0,8.93650793651,23.013779871999997,11260.0,150281.0,gliders2014,1150,2.0,47,10,17,2.0,13.0,0.6470588235294118,0.7647058823529411,2.176470588235294,0.1176470588235294,2.0
6,,,,,,,,,,,,,215.0,10.72823219,21.824296848600007,12198.0,142060.0,enigma,139,17.0,5,70,18,1.0,0.0,-0.9444444444444444,0.0,-3.611111111111111,0.9444444444444444,0.0
7,81.0,0.0,4.31155808176,268702.0,400.0,0.0,24.682580941999998,1291587.0,130281.0,2102.0,57725.0,0.0,431.0,14.254043126700001,28.651653844400002,21153.0,271333.0,parsian,548,8.0,23,33,15,2.0,5.0,-0.2,0.3333333333333333,-0.6666666666666666,0.5333333333333333,0.0
10,76.0,0.0,3.93188468234,149474.0,393.0,0.0,23.120196552800003,726153.0,78240.0,1614.0,34600.0,0.0,284.0,11.0498251748,23.2895306464,12641.0,151420.0,cyrus2014,862,5.0,14,13,17,4.0,8.0,0.17647058823529413,0.4705882352941176,0.05882352941176471,0.29411764705882354,0.0
11,116.0,0.0,8.62302350967,236445.0,400.0,0.0,38.9928482204,1014905.0,67416.0,2541.0,37344.0,0.0,231.0,4.3720588235300015,13.0360098429,8919.0,231669.0,oxsy,864,4.0,33,20,17,6.0,7.0,0.17647058823529413,0.4117647058823529,0.7647058823529411,0.2352941176470588,1.0
12,,,,,,,,,,,,,271.0,10.2434456929,19.2826770203,13675.0,194095.0,hermes,469,8.0,10,23,17,6.0,3.0,-0.29411764705882354,0.17647058823529413,-0.7647058823529411,0.4705882352941176,0.0
13,81.0,0.0,3.93283063002,117863.0,391.0,0.0,21.621566392,535463.0,63086.0,1300.0,27968.0,0.0,271.0,9.259685863869999,19.6253281669,8843.0,117679.0,hfutengine,444,10.0,18,42,15,0.0,5.0,-0.3333333333333333,0.3333333333333333,-1.6,0.6666666666666666,0.0
14,166.0,0.0,7.01708659618,208319.0,398.0,0.0,25.2030853815,698726.0,60218.0,2058.0,30702.0,0.0,431.0,9.88302425107,36.639575588,13856.0,186220.0,amoynq,1190,1.0,26,2,8,0.0,7.0,0.75,0.875,3.0,0.125,0.0
15,,,,,,,,,,,,,80.0,4.48894348894,8.067315110080001,7308.0,114460.0,one,782,7.0,31,37,17,2.0,8.0,0.05882352941176471,0.4705882352941176,-0.35294117647058826,0.4117647058823529,0.0
17,,,,,,,,,,,,,430.0,10.234580557000001,28.2900059294,59903.0,387436.0,helios2008,1042,3.0,41,13,13,1.0,9.0,0.4615384615384616,0.6923076923076923,2.1538461538461537,0.2307692307692308,1.0
18,,,,,,,,,,,,,544.0,8.23479619742,39.6608746769,63235.0,415760.0,ncl08,790,11.0,55,58,28,4.0,13.0,0.07142857142857142,0.4642857142857143,-0.10714285714285714,0.3928571428571429,0.0
19,,,,,,,,,,,,,636.0,17.0929940871,73.75072998350001,95396.0,640623.0,hana,851,4.0,15,9,12,2.0,6.0,0.16666666666666666,0.5,0.5,0.3333333333333333,0.0
20,136.0,0.0,4.77582713183,358497.0,400.0,0.0,19.501227006,1390424.0,177389.0,1769.0,89623.0,0.0,330.0,15.4485373781,30.7700784984,14259.0,84675.0,ath,162,9.0,4,25,11,2.0,0.0,-0.8181818181818182,0.0,-1.9090909090909087,0.8181818181818182,0.0
21,,,,,,,,,,,,,1233.0,9.67695783133,50.634263356800005,12851.0,206602.0,hfutengine2d,886,7.0,37,16,20,2.0,11.0,0.2,0.55,1.05,0.35,0.0
23,128.0,0.0,8.584327209360001,150549.0,400.0,0.0,32.4764067102,537054.0,42695.0,1772.0,22537.0,0.0,417.0,11.498078401199999,49.6810986627,14959.0,140055.0,oxsy,1095,6.0,87,39,31,3.0,22.0,0.5161290322580645,0.7096774193548387,1.5483870967741935,0.1935483870967742,0.0
24,112.0,0.0,5.45454607069,505570.0,400.0,0.0,21.2225430123,1890451.0,195966.0,5171.0,110482.0,0.0,85.0,7.60869565217,17.4149838793,175.0,483321.0,brainstormers08,1215,1.0,36,4,11,0.0,10.0,0.8181818181818182,0.9090909090909092,2.9090909090909087,0.09090909090909093,3.0
25,95.0,0.0,4.26439578523,371423.0,400.0,0.0,17.3007962409,1268607.0,153527.0,5888.0,87687.0,0.0,268.0,9.36946410516,25.4421844594,46332.0,353108.0,oxblue08,902,9.0,59,43,30,6.0,15.0,0.2,0.5,0.5333333333333333,0.3,0.0
26,98.0,0.0,4.3125503003,451148.0,400.0,0.0,24.0223239493,2063732.0,228029.0,4103.0,115465.0,0.0,215.0,11.6436300175,19.2861355608,33359.0,444309.0,swun,1140,1.0,31,16,8,1.0,6.0,0.625,0.75,1.875,0.125,0.0
27,,,,,,,,,,,,,256.0,8.281073640739999,17.548791671900002,60162.0,684796.0,riton,382,8.0,12,21,13,2.0,3.0,-0.38461538461538464,0.2307692307692308,-0.6923076923076923,0.6153846153846154,0.0
28,,,,,,,,,,,,,137.0,11.3717371737,19.1337485958,12634.0,166728.0,gdut2011,1066,3.0,43,20,12,0.0,9.0,0.5,0.75,1.9166666666666667,0.25,0.0
29,,,,,,,,,,,,,103.0,7.75743707094,12.718325697000001,6780.0,107166.0,yushan2011,1005,4.0,49,22,13,0.0,9.0,0.38461538461538464,0.6923076923076923,2.0769230769230766,0.3076923076923077,0.0
30,,,,,,,,,,,,,279.0,14.9687354176,25.5890830052,32078.0,460072.0,wrighteagle,1196,1.0,60,7,13,1.0,11.0,0.7692307692307693,0.8461538461538461,4.076923076923077,0.07692307692307693,0.0
31,,,,,,,,,,,,,274.0,10.1764985728,19.2792528487,64173.0,799424.0,tjnu,879,4.0,31,19,10,0.0,6.0,0.2,0.6,1.2,0.4,0.0
32,,,,,,,,,,,,,431.0,7.65743243243,24.959038311,11333.0,234520.0,hfutengine2011,156,12.0,14,54,13,0.0,1.0,-0.8461538461538461,0.07692307692307693,-3.0769230769230766,0.9230769230769232,0.0
33,73.0,0.0,3.97318592484,111375.0,400.0,0.0,22.075614578099998,504641.0,58704.0,1368.0,25938.0,0.0,137.0,9.94871794872,16.6329405942,8536.0,110451.0,bluespider,991,4.0,38,36,14,1.0,9.0,0.35714285714285715,0.6428571428571429,0.14285714285714285,0.2857142857142857,0.0
34,109.0,0.0,4.46469139316,496701.0,400.0,0.0,17.2655507889,1700740.0,188940.0,7133.0,102220.0,0.0,274.0,8.139588100689997,16.5868252834,42684.0,350210.0,apollo2011,283,9.0,22,43,12,1.0,2.0,-0.5833333333333334,0.16666666666666666,-1.75,0.75,0.0
