avg_goal_diff,avg_goals_scored,country,dir,drawn,goals_received,goals_scored,lost,matches,points,score,team,teamname,won,year,competition
2.0,3.0,brazil,/home/itandroids,0,1,3,0,1,3,,,ITAndroids,1,2013,CBR
-2.0,1.0,brazil,/home/uaisoccer2d,0,3,1,1,1,0,,,UAISoccer2D,0,2013,CBR
2.0,2.0,brazil,/home/itandroids,0,0,6,0,3,9,,,ITAndroids,3,2013,CBR
0.333333333333333,2.33333333333333,brazil,/home/warthog2d,1,6,7,1,3,4,,,Warthog,1,2013,CBR
-0.666666666666667,1.33333333333333,brazil,/home/furgbot,2,6,4,1,3,2,,,Furgbot,0,2013,CBR
-1.66666666666667,0.0,brazil,/home/uaisoccer2d,1,5,0,2,3,1,,,UAISoccer2D,0,2013,CBR
14.6666666666667,14.6666666666667,brazil,/home/ibots,0,0,44,0,3,9,,,iBots,3,2013,CBR
6.0,6.66666666666667,brazil,/home/gpr2d,0,2,20,1,3,6,,,GPR2D_2013,2,2013,CBR
6.0,8.0,brazil,/home/robocap,0,6,24,2,3,3,,,robocap,1,2013,CBR
-26.6666666666667,0.0,brazil,/home/expertinos,0,80,0,3,3,0,,,expertinos,0,2013,CBR
14.6666666666667,15.0,brazil,/home/itandroids,0,1,45,0,3,9,,,ITAndroids,3,2013,CBR
9.33333333333333,11.0,brazil,/home/furgbot,0,5,33,1,3,6,,,Furgbot,2,2013,CBR
2.66666666666667,5.0,brazil,/home/gpr2d,0,7,15,2,3,3,,,GPR2D_2013,1,2013,CBR
-26.6666666666667,0.0,brazil,/home/expertinos,0,80,0,3,3,0,,,expertinos,0,2013,CBR
3.0,3.66666666666667,brazil,/home/warthog2d,0,2,11,0,3,9,,,Warthog,3,2013,CBR
1.66666666666667,3.0,brazil,/home/ibots,0,4,9,1,3,6,,,iBots,2,2013,CBR
-1.33333333333333,0.333333333333333,brazil,/home/uaisoccer2d,1,5,1,2,3,1,,,UAISoccer2D,0,2013,CBR
-3.33333333333333,1.0,brazil,/home/robocap,1,13,3,2,3,1,,,robocap,0,2013,CBR
2.0,2.5,brazil,/home/itandroids,0,1,5,0,2,6,,,ITAndroids,2,2013,CBR
-0.5,1.0,brazil,/home/ibots,1,3,2,1,2,1,,,iBots,0,2013,CBR
-1.5,0.5,brazil,/home/gpr2d,1,4,1,1,2,1,,,GPR2D_2013,0,2013,CBR
3.0,4.0,brazil,/home/uaisoccer2d,0,2,8,0,2,6,,,UAISoccer2D,2,2013,CBR
0.5,2.5,brazil,/home/furgbot,0,4,5,1,2,3,,,Furgbot,1,2013,CBR
-3.5,0.0,brazil,/home/warthog2d,0,7,0,2,2,0,,,Warthog,0,2013,CBR
1.33333333333333,2.0,brazil,/home/uaisoccer2d,1,2,6,0,3,7,,,UAISoccer2D,2,2013,CBR
2.66666666666667,4.0,brazil,/home/itandroids,0,4,12,1,3,6,,,ITAndroids,2,2013,CBR
0.0,2.0,brazil,/home/furgbot,1,6,6,1,3,4,,,Furgbot,1,2013,CBR
-4.0,1.0,brazil,/home/ibots,0,15,3,3,3,0,,,iBots,0,2013,CBR
