,competition,group_name,year,team_manual,_merge
236,WorldCup,nao-client,1996,,left_only
496,WorldCup,ogalets,1996,,left_only
429,WorldCup,ogalets-ver3_x,1996,,left_only
93,WorldCup,sekine_client,1996,,left_only
318,WorldCup,agent,1997,,left_only
258,WorldCup,andhill_RoboCup97,1997,,left_only
419,WorldCup,ath97,1997,,left_only
339,WorldCup,CMUnited97-source,1997,,left_only
435,WorldCup,RoboCup-97-ISIS,1997,,left_only
70,WorldCup,andhill98,1998,,left_only
190,WorldCup,ATH_98,1998,,left_only
152,WorldCup,ath97,1998,,left_only
504,WorldCup,CMUnited98-source,1998,,left_only
516,WorldCup,Kappa_v0,1998,,left_only
25,WorldCup,samba98,1998,,left_only
351,WorldCup,11monkeys-linux,1999,,left_only
84,WorldCup,CMUnited99-linux,1999,,left_only
497,WorldCup,CMUnited99-source,1999,,left_only
243,WorldCup,CMUnited99-support,1999,,left_only
317,WorldCup,CoachRC99,1999,,left_only
248,WorldCup,ew99,1999,,left_only
514,WorldCup,ew99_sources,1999,,left_only
174,WorldCup,kappaII,1999,,left_only
446,WorldCup,kit0726v4,1999,,left_only
187,WorldCup,YowAI-linux-static-VA,1999,,left_only
486,WorldCup,YowAI-linux-VA,1999,,left_only
450,WorldCup,Zeng99-source-release,1999,,left_only
177,WorldCup,ATTCMUnited2000-linux,2000,,left_only
224,WorldCup,BS2K_Melbourne2000,2000,,left_only
56,WorldCup,BS2K_Melbourne2000_CodeRelease,2000,,left_only
109,WorldCup,Cyberoos2000,2000,,left_only
313,WorldCup,ew00,2000,,left_only
293,WorldCup,FCPortugalMelbBin,2000,,left_only
209,WorldCup,mrb2000,2000,,left_only
100,WorldCup,RC2000-oz,2000,,left_only
478,WorldCup,virtualwerder,2000,,left_only
485,WorldCup,ateam-seattle01_linux_bin,2001,,both
509,WorldCup,athumboldt2001,2001,,both
314,WorldCup,BS01_Seatle2001_BinaryRelease,2001,,left_only
434,WorldCup,cyberoos2001,2001,,both
353,WorldCup,dd2001,2001,,left_only
306,WorldCup,DirtyDozenSource,2001,,both
