,team,results_loss,results_S,results_R,results_games,results_tie,results_win,results_win_diff,results_win_rate,results_goals_diff,results_loss_rate,competition,year
0,ai2004,2.0,19,9,7,0.0,5.0,0.42857142857142855,0.7142857142857143,1.4285714285714286,0.2857142857142857,AI-Games,2005
1,hopomo,2.0,0,12,2,0.0,0.0,-1.0,0.0,-6.0,1.0,AI-Games,2005
2,actu,2.0,0,7,2,0.0,0.0,-1.0,0.0,-3.5,1.0,AI-Games,2005
3,biust,2.0,19,10,6,1.0,3.0,0.16666666666666666,0.5,1.5,0.3333333333333333,AI-Games,2005
4,iust,4.0,2,13,5,0.0,1.0,-0.6,0.2,-2.2,0.8,AI-Games,2005
5,nemesism,2.0,23,3,6,0.0,4.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,AI-Games,2005
6,nexus,2.0,0,9,2,0.0,0.0,-1.0,0.0,-4.5,1.0,AI-Games,2005
7,raider,2.0,23,6,8,0.0,6.0,0.5,0.75,2.125,0.25,AI-Games,2005
8,scorpius,3.0,10,27,6,1.0,2.0,-0.16666666666666666,0.3333333333333333,-2.8333333333333335,0.5,AI-Games,2005
9,aria,1.0,4,1,4,0.0,3.0,0.5,0.75,0.75,0.25,AUTOpens,2005
10,mersad,1.0,7,2,4,0.0,3.0,0.5,0.75,1.25,0.25,AUTOpens,2005
11,nemesis,4.0,1,9,4,0.0,0.0,-1.0,0.0,-2.0,1.0,AUTOpens,2005
12,feisim06,2.0,1,8,3,0.0,1.0,-0.3333333333333333,0.3333333333333333,-2.3333333333333335,0.6666666666666666,BrazilianOpens,2006
13,ita2005,2.0,1,14,3,0.0,1.0,-0.3333333333333333,0.3333333333333333,-4.333333333333333,0.6666666666666666,BrazilianOpens,2006
14,itandroids,4.0,0,19,4,0.0,0.0,-1.0,0.0,-4.75,1.0,BrazilianOpens,2006
15,krov,1.0,20,2,4,0.0,3.0,0.5,0.75,4.5,0.25,BrazilianOpens,2006
16,maua,1.0,19,3,4,0.0,3.0,0.5,0.75,4.0,0.25,BrazilianOpens,2006
17,mecateam,1.0,13,8,4,0.0,3.0,0.5,0.75,1.25,0.25,BrazilianOpens,2006
18,base,0.0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,CBR,2013
19,expertinos,5.0,8,15,6,0.0,1.0,-0.6666666666666666,0.16666666666666666,-1.1666666666666667,0.8333333333333334,CBR,2013
20,furgbot,5.0,23,26,13,3.0,5.0,0.0,0.38461538461538464,-0.23076923076923078,0.38461538461538464,CBR,2013
21,gpr2d,2.0,2,7,5,2.0,1.0,-0.2,0.2,-1.0,0.4,CBR,2013
22,ibots,6.0,26,25,12,1.0,5.0,-0.08333333333333333,0.4166666666666667,0.08333333333333333,0.5,CBR,2013
23,itandroids,3.0,41,16,13,0.0,10.0,0.5384615384615384,0.7692307692307693,1.9230769230769231,0.23076923076923078,CBR,2013
24,robocap,5.0,6,24,7,1.0,1.0,-0.5714285714285714,0.14285714285714285,-2.5714285714285716,0.7142857142857143,CBR,2013
25,uaisoccer2d,4.0,25,20,14,4.0,6.0,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.2857142857142857,CBR,2013
26,warthog,4.0,22,20,10,1.0,5.0,0.1,0.5,0.2,0.4,CBR,2013
27,mammoth,5.0,4,13,7,0.0,2.0,-0.42857142857142855,0.2857142857142857,-1.2857142857142858,0.7142857142857143,ChinaOpens,2003
28,paulon,4.0,9,16,6,0.0,2.0,-0.3333333333333333,0.3333333333333333,-1.1666666666666667,0.6666666666666666,ChinaOpens,2003
29,roci,4.0,1,10,4,0.0,0.0,-1.0,0.0,-2.25,1.0,ChinaOpens,2003
30,rocii,1.0,0,2,1,0.0,0.0,-1.0,0.0,-2.0,1.0,ChinaOpens,2003
31,seal,4.0,9,14,8,0.0,4.0,0.0,0.5,-0.625,0.5,ChinaOpens,2003
32,yunluteam,5.0,14,16,10,0.0,5.0,0.0,0.5,-0.2,0.5,ChinaOpens,2003
33,afu2003,3.0,3,5,4,0.0,1.0,-0.5,0.25,-0.5,0.75,ChinaOpens,2003
34,amoynq,1.0,12,1,6,0.0,5.0,0.6666666666666666,0.8333333333333334,1.8333333333333333,0.16666666666666666,ChinaOpens,2003
35,bimexplorer,2.0,5,4,6,0.0,4.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,ChinaOpens,2003
36,bitwo,4.0,57,13,17,0.0,13.0,0.5294117647058824,0.7647058823529411,2.588235294117647,0.23529411764705882,ChinaOpens,2003
37,blessdut,7.0,1,19,8,0.0,1.0,-0.75,0.125,-2.25,0.875,ChinaOpens,2003
38,chinaocean,0.0,7,0,2,0.0,2.0,1.0,1.0,3.5,0.0,ChinaOpens,2003
39,csu,1.0,0,1,1,0.0,0.0,-1.0,0.0,-1.0,1.0,ChinaOpens,2003
40,everest,2.0,18,5,6,0.0,4.0,0.3333333333333333,0.6666666666666666,2.1666666666666665,0.3333333333333333,ChinaOpens,2003
41,hfutgocom1,3.0,0,8,3,0.0,0.0,-1.0,0.0,-2.6666666666666665,1.0,ChinaOpens,2003
42,hfutgocom2,8.0,8,30,10,0.0,2.0,-0.6,0.2,-2.2,0.8,ChinaOpens,2003
43,hnstyellowriver,3.0,1,5,4,0.0,1.0,-0.5,0.25,-1.0,0.75,ChinaOpens,2003
44,i_believedut,2.0,6,3,6,0.0,4.0,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,ChinaOpens,2003
45,newneu,5.0,4,17,6,0.0,1.0,-0.6666666666666666,0.16666666666666666,-2.1666666666666665,0.8333333333333334,ChinaOpens,2003
46,novauro,3.0,32,12,12,0.0,9.0,0.5,0.75,1.6666666666666667,0.25,ChinaOpens,2003
47,nubot,2.0,2,8,4,0.0,2.0,0.0,0.5,-1.5,0.5,ChinaOpens,2003
48,roboys,3.0,0,15,3,0.0,0.0,-1.0,0.0,-5.0,1.0,ChinaOpens,2003
49,scutrobot,3.0,0,11,3,0.0,0.0,-1.0,0.0,-3.6666666666666665,1.0,ChinaOpens,2003
50,seu,4.0,0,13,4,0.0,0.0,-1.0,0.0,-3.25,1.0,ChinaOpens,2003
51,shustriver,2.0,2,4,3,0.0,1.0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.6666666666666666,ChinaOpens,2003
52,shustriver2003,2.0,0,5,2,0.0,0.0,-1.0,0.0,-2.5,1.0,ChinaOpens,2003
53,tsinghuaeolus,0.0,31,1,11,0.0,11.0,1.0,1.0,2.727272727272727,0.0,ChinaOpens,2003
54,ujdb,1.0,0,4,1,0.0,0.0,-1.0,0.0,-4.0,1.0,ChinaOpens,2003
55,we2,3.0,14,6,9,0.0,6.0,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.3333333333333333,ChinaOpens,2003
56,we22,0.0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,ChinaOpens,2003
57,wei,1.0,15,4,7,0.0,6.0,0.7142857142857143,0.8571428571428571,1.5714285714285714,0.14285714285714285,ChinaOpens,2003
