analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
0,0,0,4,0,9,0,0,0,0,0,['Drivers/Laser/common.h'],9,player_laser_data,Magneton2Year,0,Magneton,0,0,0
0,0,0,3,0,2,0,0,0,0,0,['Drivers/Laser/common.h'],2,player_bbox,Magneton2Year,0,Magneton,0,0,0
0,0,0,8,0,3,0,0,0,0,0,['Drivers/Laser/common.h'],3,player_pose,Magneton2Year,0,Magneton,0,0,0
0,0,0,1,0,2,0,0,0,0,0,['Drivers/Laser/common.h'],2,player_position2d_cmd_vel,Magneton2Year,0,Magneton,0,0,0
0,0,0,1,0,2,0,0,0,0,0,['Drivers/Laser/common.h'],2,player_point_2d,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,5,0,0,0,0,0,['Drivers/Laser/common.h'],5,player_ptz_cmd,Magneton2Year,0,Magneton,0,0,0
0,0,0,1,0,3,0,0,0,0,0,['Drivers/Laser/common.h'],3,player_position2d_data,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,4,0,0,0,0,0,['Drivers/Laser/common.h'],4,player_devaddr,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['Drivers/Laser/common.h'],0,Drivers/Laser/common,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,2,0,0,0,0,0,['Drivers/Laser/common.h'],2,player_ptz_req_generic,Magneton2Year,0,Magneton,0,0,0
0,0,0,1,0,2,0,0,0,0,0,['Drivers/Laser/common.h'],2,player_laser_geom,Magneton2Year,0,Magneton,0,0,0
0,0,0,4,0,6,0,0,0,0,0,['Drivers/Laser/common.h'],6,player_laser_config,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,5,0,0,0,0,0,['Drivers/Laser/common.h'],5,player_ptz_data,Magneton2Year,0,Magneton,0,0,0
0,0,0,1,0,3,0,0,0,0,0,['Drivers/Laser/common.h'],3,player_position2d_cmd_pos,Magneton2Year,0,Magneton,0,0,0
0,0,0,2,0,1,0,0,0,0,0,"['Drivers/Laser/urg_laser.h', 'Drivers/Laser/urg_laser.cc']",1,urg_laser_readings,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['Drivers/Laser/urg_laser.h', 'Drivers/Laser/urg_laser.cc']",0,Drivers/Laser/urg_laser,Magneton2Year,0,Magneton,0,0,0
151,50,13,3,0,0,1.30769230769231,2,126,2.69230769230769,0,"['Drivers/Laser/urg_laser.h', 'Drivers/Laser/urg_laser.cc']",2,urg_laser,Magneton2Year,2,Magneton,13,11.6153846153846,4
11,76,7,4,0,0,0.125,7,4,1,0,"['Drivers/Laser/urg_laser_interface.h', 'Drivers/Laser/urg_laser_interface.cc']",12,urg_laser_interface,Magneton2Year,1,Magneton,8,1.375,7
26,1,1,0,0,0,0,0,26,5,0,['Drivers/PTZ/magnetonPTZ.cpp'],0,Drivers/PTZ/magnetonPTZ,Magneton2Year,1,Magneton,1,26,0
216,74,9,0,0,40,1.1,0,56,3.2,0,"['Drivers/PTZ/magnetonPTZ.h', 'Drivers/PTZ/magnetonPTZ.cpp']",46,magnetonPTZ,Magneton2Year,2,Magneton,10,21.6,0
95,7,2,2,0,7,0.5,1,54,2,0,"['Drivers/Shrimp3Position/ShrimpPositionV2.cpp', 'Drivers/Shrimp3Position/ShrimpPositionV2.h']",7,Drivers/Shrimp3Position/ShrimpPositionV2,Magneton2Year,2,Magneton,2,47.5,2
542,137,9,1,0,0,0.529411764705882,1,121,6.82352941176471,0,"['Drivers/Shrimp3Position/ShrimpPositionV2.h', 'Drivers/Shrimp3Position/ShrimpPositionV2.cpp']",32,ShrimpPositionV2,Magneton2Year,1,Magneton,17,31.8823529411765,1
0,0,0,0,0,3,0,0,0,0,0,"['Drivers/Shrimp3Position/ShrimpPositionV2.h', 'Drivers/Shrimp3Position/ShrimpPositionV2.cpp']",3,Position_struct,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,3,0,0,0,0,0,"['Drivers/Shrimp3Position/ShrimpPositionV2.h', 'Drivers/Shrimp3Position/ShrimpPositionV2.cpp']",3,Odometry_struct,Magneton2Year,0,Magneton,0,0,0
64,4,1,0,0,0,2,2,64,7,0,"['NewCogniTAO/MoveToPlace/boot/boot.cc', 'NewCogniTAO/MoveToPlace/boot/boot.h']",0,NewCogniTAO/MoveToPlace/boot/boot,Magneton2Year,1,Magneton,1,64,2
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/boot/define_domain.h'],0,MoveToPlace/boot/define_domain,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/conditions/domain_player/CndMiddleOfFrame.cpp'],0,MoveToPlace/conditions/domain_player/CndMiddleOfFrame,Magneton2Year,0,Magneton,0,0,0
