,analizo_acc_mean,analizo_accm_mean,analizo_amloc_mean,analizo_anpm_mean,analizo_cbo_mean,analizo_dit_mean,analizo_lcom4_mean,analizo_mmloc_mean,analizo_noa_mean,analizo_noc_mean,analizo_nom_mean,analizo_npa_mean,analizo_npm_mean,analizo_rfc_mean,analizo_sc_mean,folder,category,agent_type,type
0,1.07843137255,3.0700161723400003,33.2443198757,2.34990656918,0.843137254902,0.529411764706,3.96078431373,75.862745098,2.90196078431,0.333333333333,6.50980392157,0.725490196078,4.27450980392,15.823529411800001,3.41176470588,/home/se-metrics/root/proccesed1/2014_WorldCup_Ri-oneRobocup2014,Robocup-2D,agent,Robocup
1,2.11724137931,5.21339359953,52.4852896789,1.47851815495,1.93793103448,0.7310344827590001,4.68965517241,92.73103448280001,2.13103448276,0.213793103448,6.38620689655,0.593103448276,4.03448275862,20.006896551700002,8.27586206897,/home/se-metrics/root/proccesed1/2016_WorldCup_HillStone,Robocup-2D,agent,Robocup
2,4.09406657019,2.06354801381,17.414661406500002,1.05775619744,3.57597684515,0.639652677279,3.3010130246,50.520984081,4.10274963821,0.441389290883,7.64109985528,1.9001447178,6.23299565847,39.4688856729,18.4746743849,/home/se-metrics/root/proccesed1/2011_JapanOpens_CMU2011,Robocup-2D,agent,Robocup
3,1.28717948718,3.36318860508,32.0430861573,1.52000765501,1.15384615385,0.610256410256,3.40512820513,70.8717948718,2.27692307692,0.16923076923099994,5.70256410256,0.717948717949,3.71794871795,14.0923076923,5.4102564102600015,/home/se-metrics/root/proccesed1/2014_LARC_tropeiros,Robocup-2D,agent,Robocup
4,1.22388059701,5.558138621,52.6490699817,1.16049192799,1.19402985075,0.746268656716,2.5671641791,96.8805970149,2.2985074626900004,0.134328358209,5.53731343284,0.522388059701,3.28358208955,14.2089552239,5.4179104477600015,/home/se-metrics/root/proccesed1/2009_PRIMA_BKB_PRIMA2009,Robocup-2D,agent,Robocup
5,4.47058823529,2.66770205725,14.9294037601,1.04227396748,4.35294117647,0.983193277311,3.9243697479,46.3697478992,10.3277310924,0.521008403361,15.1848739496,6.71428571429,13.2941176471,91.3025210084,21.974789916,/home/se-metrics/root/proccesed1/2000_WorldCup_BS2K_Melbourne2000_CodeRelease,Robocup-2D,agent,Robocup
6,0.938461538462,5.37944696329,44.759454367,1.15288917335,1.01538461538,0.753846153846,2.43076923077,86.8153846154,2.0307692307700003,0.13846153846200002,5.4461538461500005,0.33846153846199994,3.29230769231,13.6153846154,3.8,/home/se-metrics/root/proccesed1/2009_JapanOpens_BIG_KUBO_BEARS,Robocup-2D,agent,Robocup
7,4.73454545455,1.66811521746,10.214225879299999,0.750616097887,4.21454545455,1.08,10.0690909091,37.974545454499996,4.44,0.723636363636,14.596363636400001,0.672727272727,12.3163636364,38.9709090909,39.5381818182,/home/se-metrics/root/proccesed1/2001_WorldCup_FuzzyFoo-2001-source,Robocup-2D,agent,Robocup
8,1.63636363636,6.86995215311,69.6625460345,2.11575384743,1.90909090909,0.0,4.81818181818,174.909090909,12.0,0.0,9.36363636364,12.0,9.36363636364,81.6363636364,7.545454545449999,/home/se-metrics/root/proccesed1/1998_WorldCup_andhill98,Robocup-2D,agent,Robocup
10,1.19047619048,5.065760544830001,46.5326508748,1.6514841559,0.942857142857,0.704761904762,4.69523809524,103.523809524,2.34285714286,0.295238095238,6.70476190476,0.619047619048,3.99047619048,13.8095238095,4.74285714286,/home/se-metrics/root/proccesed1/2012_WorldCup_marlik,Robocup-2D,agent,Robocup
11,3.14018691589,3.29740236076,15.130761496099998,0.91964825556,3.34579439252,0.551401869159,11.1121495327,58.785046728999994,9.54205607477,0.233644859813,20.1962616822,3.39252336449,18.626168224300002,88.90654205610001,18.523364486,/home/se-metrics/root/proccesed1/2004_WorldCup_vw-rc2004-src,Robocup-2D,agent,Robocup
13,1.32974910394,3.58920249715,22.4904566867,1.11607948256,2.26164874552,0.308243727599,5.53046594982,57.8207885305,4.6594982078900005,0.17921146953400002,9.20071684588,1.79928315412,8.53046594982,35.498207885300005,24.3261648746,/home/se-metrics/root/proccesed1/2000_WorldCup_RC2000-oz,Robocup-2D,agent,Robocup
14,3.979591836730001,2.82340779196,18.5541590956,0.874170045619,3.59183673469,0.802721088435,6.38095238095,72.7414965986,4.93197278912,0.666666666667,9.59183673469,0.340136054422,7.93197278912,39.102040816300004,33.4897959184,/home/se-metrics/root/proccesed1/2004_WorldCup_Mersad-3,Robocup-2D,agent,Robocup
15,1.3418803418799998,3.99276093534,41.2792688751,1.6753649648,1.07692307692,0.692307692308,4.21367521368,94.1367521368,2.1623931623900003,0.307692307692,6.09401709402,0.632478632479,3.76923076923,13.2307692308,6.487179487180001,/home/se-metrics/root/proccesed1/2011_JapanOpens_Puppets-JapanOpen2011,Robocup-2D,agent,Robocup
16,1.6332046332,2.85694711171,24.8110575327,1.31024617935,1.49420849421,0.648648648649,5.266409266409999,51.667953668,1.6679536679499998,0.416988416988,8.32046332046,0.440154440154,7.154440154439999,18.5405405405,10.2162162162,/home/se-metrics/root/proccesed1/2016_WorldCup_FCP_GPR_2014,Robocup-2D,agent,Robocup
17,3.65853658537,2.5182273057,13.850499331199998,1.21109862127,3.68292682927,0.243902439024,2.75609756098,47.3170731707,6.17073170732,0.341463414634,9.17073170732,2.85365853659,7.878048780489999,47.6341463415,7.82926829268,/home/se-metrics/root/proccesed1/1998_WorldCup_ath97,Robocup-2D,agent,Robocup
