year,competition,group_name,Current_group_location,Exe_files,Group_name_generic,IF4,IF4_per_module,IF4_visible,IF4_visible_per_module,McCabes_cyclomatic_complexity,McCabes_cyclomatic_complexity_per_line_of_comment,McCabes_cyclomatic_complexity_per_module,Number_exe_files,Number_libraries_Total,Number_lines_Total,Number_of_binaries,analizo_acc_kurtosis,analizo_acc_mean,analizo_acc_mode,analizo_acc_quantile_lower,analizo_acc_quantile_max,analizo_acc_quantile_median,analizo_acc_quantile_min,analizo_acc_quantile_ninety_five,analizo_acc_quantile_upper,analizo_acc_skewness,analizo_acc_standard_deviation,analizo_acc_sum,analizo_acc_variance,analizo_accm_kurtosis,analizo_accm_mean,analizo_accm_mode,analizo_accm_quantile_lower,analizo_accm_quantile_max,analizo_accm_quantile_median,analizo_accm_quantile_min,analizo_accm_quantile_ninety_five,analizo_accm_quantile_upper,analizo_accm_skewness,analizo_accm_standard_deviation,analizo_accm_sum,analizo_accm_variance,analizo_amloc_kurtosis,analizo_amloc_mean,analizo_amloc_mode,analizo_amloc_quantile_lower,analizo_amloc_quantile_max,analizo_amloc_quantile_median,analizo_amloc_quantile_min,analizo_amloc_quantile_ninety_five,analizo_amloc_quantile_upper,analizo_amloc_skewness,analizo_amloc_standard_deviation,analizo_amloc_sum,analizo_amloc_variance,analizo_anpm_kurtosis,analizo_anpm_mean,analizo_anpm_mode,analizo_anpm_quantile_lower,analizo_anpm_quantile_max,analizo_anpm_quantile_median,analizo_anpm_quantile_min,analizo_anpm_quantile_ninety_five,analizo_anpm_quantile_upper,analizo_anpm_skewness,analizo_anpm_standard_deviation,analizo_anpm_sum,analizo_anpm_variance,analizo_cbo_kurtosis,analizo_cbo_mean,analizo_cbo_mode,analizo_cbo_quantile_lower,analizo_cbo_quantile_max,analizo_cbo_quantile_median,analizo_cbo_quantile_min,analizo_cbo_quantile_ninety_five,analizo_cbo_quantile_upper,analizo_cbo_skewness,analizo_cbo_standard_deviation,analizo_cbo_sum,analizo_cbo_variance,analizo_change_cost,analizo_dit_kurtosis,analizo_dit_mean,analizo_dit_mode,analizo_dit_quantile_lower,analizo_dit_quantile_max,analizo_dit_quantile_median,analizo_dit_quantile_min,analizo_dit_quantile_ninety_five,analizo_dit_quantile_upper,analizo_dit_skewness,analizo_dit_standard_deviation,analizo_dit_sum,analizo_dit_variance,analizo_lcom4_kurtosis,analizo_lcom4_mean,analizo_lcom4_mode,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_max,analizo_lcom4_quantile_median,analizo_lcom4_quantile_min,analizo_lcom4_quantile_ninety_five,analizo_lcom4_quantile_upper,analizo_lcom4_skewness,analizo_lcom4_standard_deviation,analizo_lcom4_sum,analizo_lcom4_variance,analizo_loc_kurtosis,analizo_loc_mean,analizo_loc_mode,analizo_loc_quantile_lower,analizo_loc_quantile_max,analizo_loc_quantile_median,analizo_loc_quantile_min,analizo_loc_quantile_ninety_five,analizo_loc_quantile_upper,analizo_loc_skewness,analizo_loc_standard_deviation,analizo_loc_sum,analizo_loc_variance,analizo_mmloc_kurtosis,analizo_mmloc_mean,analizo_mmloc_mode,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_max,analizo_mmloc_quantile_median,analizo_mmloc_quantile_min,analizo_mmloc_quantile_ninety_five,analizo_mmloc_quantile_upper,analizo_mmloc_skewness,analizo_mmloc_standard_deviation,analizo_mmloc_sum,analizo_mmloc_variance,analizo_noa_kurtosis,analizo_noa_mean,analizo_noa_mode,analizo_noa_quantile_lower,analizo_noa_quantile_max,analizo_noa_quantile_median,analizo_noa_quantile_min,analizo_noa_quantile_ninety_five,analizo_noa_quantile_upper,analizo_noa_skewness,analizo_noa_standard_deviation,analizo_noa_sum,analizo_noa_variance,analizo_noc_kurtosis,analizo_noc_mean,analizo_noc_mode,analizo_noc_quantile_lower,analizo_noc_quantile_max,analizo_noc_quantile_median,analizo_noc_quantile_min,analizo_noc_quantile_ninety_five,analizo_noc_quantile_upper,analizo_noc_skewness,analizo_noc_standard_deviation,analizo_noc_sum,analizo_noc_variance,analizo_nom_kurtosis,analizo_nom_mean,analizo_nom_mode,analizo_nom_quantile_lower,analizo_nom_quantile_max,analizo_nom_quantile_median,analizo_nom_quantile_min,analizo_nom_quantile_ninety_five,analizo_nom_quantile_upper,analizo_nom_skewness,analizo_nom_standard_deviation,analizo_nom_sum,analizo_nom_variance,analizo_npa_kurtosis,analizo_npa_mean,analizo_npa_mode,analizo_npa_quantile_lower,analizo_npa_quantile_max,analizo_npa_quantile_median,analizo_npa_quantile_min,analizo_npa_quantile_ninety_five,analizo_npa_quantile_upper,analizo_npa_skewness,analizo_npa_standard_deviation,analizo_npa_sum,analizo_npa_variance,analizo_npm_kurtosis,analizo_npm_mean,analizo_npm_mode,analizo_npm_quantile_lower,analizo_npm_quantile_max,analizo_npm_quantile_median,analizo_npm_quantile_min,analizo_npm_quantile_ninety_five,analizo_npm_quantile_upper,analizo_npm_skewness,analizo_npm_standard_deviation,analizo_npm_sum,analizo_npm_variance,analizo_rfc_kurtosis,analizo_rfc_mean,analizo_rfc_mode,analizo_rfc_quantile_lower,analizo_rfc_quantile_max,analizo_rfc_quantile_median,analizo_rfc_quantile_min,analizo_rfc_quantile_ninety_five,analizo_rfc_quantile_upper,analizo_rfc_skewness,analizo_rfc_standard_deviation,analizo_rfc_sum,analizo_rfc_variance,analizo_sc_kurtosis,analizo_sc_mean,analizo_sc_mode,analizo_sc_quantile_lower,analizo_sc_quantile_max,analizo_sc_quantile_median,analizo_sc_quantile_min,analizo_sc_quantile_ninety_five,analizo_sc_quantile_upper,analizo_sc_skewness,analizo_sc_standard_deviation,analizo_sc_sum,analizo_sc_variance,analizo_total_abstract_classes,analizo_total_cof,analizo_total_eloc,analizo_total_loc,analizo_total_methods_per_abstract_class,analizo_total_modules,analizo_total_modules_with_defined_attributes,analizo_total_modules_with_defined_methods,analizo_total_nom,binary_coach_name,binary_coach_number_lines,binary_coach_number_of_libraries,binary_coach_path,binary_player_name,binary_player_number_lines,binary_player_number_of_libraries,binary_player_path,,dir_to_zip,,is_source,lines_of_code,lines_of_code_per_line_of_comment,lines_of_code_per_module,lines_of_comment,lines_of_comment_per_module,new_dir,new_dir_name,number_of_modules,player_fast_block_instructions_info_max,player_fast_block_instructions_info_min,player_fast_block_instructions_info_std,player_fast_block_instructions_info_sum,player_fast_blocks_sizes_info_max,player_fast_blocks_sizes_info_min,player_fast_blocks_sizes_info_std,player_fast_blocks_sizes_info_sum,player_fast_complex_mccabe,player_fast_number_of_CFG_nodes_that_return_a_value,player_fast_simple_mccabe,player_fast_system_calls_count,player_function_cc_radare2_max,player_function_cc_radare2_mean,player_function_cc_radare2_std,player_function_cc_radare2_sum,rejected_lines_of_code,source_lang
1996,WorldCup,nao-client,1996_WorldCup_nao-client,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1996/nao-client.tar.gz,,,,,,,,/home/se-metrics/root/proccesed1/1996_WorldCup_nao-client,1996_WorldCup_nao-client,,,,,,,,,,,,,,,,,,,
1996,WorldCup,ogalets,1996_WorldCup_ogalets,,,0,0,0,0,283,2.339,283,0,0,0,0,0,9.5,None,9.25,10,9.5,9,10,9.75,0,0.7071067812,19,0.5,0,7.2554112554,None,7.2467532468,7.2727272727,7.2554112554,7.2380952381,7.2727272727,7.2640692641,0,0.0244885465,14.5108225108,0.0005996889,0,37.5822510823,None,35.5638528139,41.619047619,37.5822510823,33.5454545455,41.619047619,39.6006493506,0,5.7088924109,75.1645021645,32.591452559,0,1.6277056277,None,1.6233766234,1.6363636364,1.6277056277,1.6190476191,1.6363636364,1.632034632,0,0.0122442733,3.2554112554,0.0001499222,0,1,1,1,1,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,None,1.25,2,1.5,1,2,1.75,0,0.7071067812,3,0.5,0,621.5,None,495.25,874,621.5,369,874,747.75,0,357.088924499,1243,127512.5,0,130,None,123,144,130,116,144,137,0,19.7989898732,260,392,0,34,None,31,40,34,28,40,37,0,8.4852813742,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,None,13.5,21,16,11,21,18.5,0,7.0710678119,32,50,0,34,None,31,40,34,28,40,37,0,8.4852813742,68,72,0,16,None,13.5,21,16,11,21,18.5,0,7.0710678119,32,50,0,124.5,None,96.75,180,124.5,69,180,152.25,0,78.4888527117,249,6160.5,0,1.5,None,1.25,2,1.5,1,2,1.75,0,0.7071067812,3,0.5,0,9.5,916,1243,0,2,2,2,32,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1996/ogalets.tar.gz,,True,866,7.157,866,121,121,/home/se-metrics/root/proccesed1/1996_WorldCup_ogalets,1996_WorldCup_ogalets,1,,,,,,,,,,,,,,,,,36,C
1996,WorldCup,ogalets-ver3_x,1996_WorldCup_ogalets-ver3_x,,,0,0,0,0,253,2.04,253,0,0,0,0,0,9.5,None,9.25,10,9.5,9,10,9.75,0,0.7071067812,19,0.5,0,6.5627705628,None,6.4632034632,6.7619047619,6.5627705628,6.3636363636,6.7619047619,6.6623376623,0,0.2816182851,13.1255411255,0.0793088585,0,34.7207792208,None,32.724025974,38.7142857143,34.7207792208,30.7272727273,38.7142857143,36.7175324675,0,5.6476710445,69.4415584416,31.8961882274,0,1.6277056277,None,1.6233766234,1.6363636364,1.6277056277,1.6190476191,1.6363636364,1.632034632,0,0.0122442733,3.2554112554,0.0001499222,0,1,1,1,1,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,None,1.25,2,1.5,1,2,1.75,0,0.7071067812,3,0.5,0,575.5,None,456.75,813,575.5,338,813,694.25,0,335.875721064,1151,112812.5,0,118,None,111.5,131,118,105,131,124.5,0,18.3847763109,236,338,0,33,None,29.5,40,33,26,40,36.5,0,9.8994949366,66,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,None,13.5,21,16,11,21,18.5,0,7.0710678119,32,50,0,33,None,29.5,40,33,26,40,36.5,0,9.8994949366,66,98,0,16,None,13.5,21,16,11,21,18.5,0,7.0710678119,32,50,0,119.5,None,91.75,175,119.5,64,175,147.25,0,78.4888527117,239,6160.5,0,1.5,None,1.25,2,1.5,1,2,1.75,0,0.7071067812,3,0.5,0,9.5,864,1151,0,2,2,2,32,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1996/ogalets-ver3_x.tar.gz,,True,811,6.54,811,124,124,/home/se-metrics/root/proccesed1/1996_WorldCup_ogalets-ver3_x,1996_WorldCup_ogalets-ver3_x,1,,,,,,,,,,,,,,,,,37,C
1996,WorldCup,sekine_client,1996_WorldCup_sekine_client,,,0,0,0,0,969,2.893,969,0,0,0,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,16.1463414634,None,16.1463414634,16.1463414634,16.1463414634,16.1463414634,None,16.1463414634,0,0,16.1463414634,0,0,73.3658536585,None,73.3658536585,73.3658536585,73.3658536585,73.3658536585,None,73.3658536585,0,0,73.3658536585,0,0,1.5609756098,None,1.5609756098,1.5609756098,1.5609756098,1.5609756098,None,1.5609756098,0,0,1.5609756098,0,0,0,None,0,0,0,0,None,0,0,0,0,0,1,0,0,None,0,0,0,0,None,0,0,0,0,0,0,2,None,2,2,2,2,None,2,0,0,2,0,0,3008,None,3008,3008,3008,3008,None,3008,0,0,3008,0,0,284,None,284,284,284,284,None,284,0,0,284,0,0,50,None,50,50,50,50,None,50,0,0,50,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,41,None,41,41,41,41,None,41,0,0,41,0,0,50,None,50,50,50,50,None,50,0,0,50,0,0,41,None,41,41,41,41,None,41,0,0,41,0,0,482,None,482,482,482,482,None,482,0,0,482,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,2771,3008,0,1,1,1,41,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1996/sekine_client.tar.gz,,True,2740,8.179,2740,335,335,/home/se-metrics/root/proccesed1/1996_WorldCup_sekine_client,1996_WorldCup_sekine_client,1,,,,,,,,,,,,,,,,,58,C
1997,WorldCup,agent,1997_WorldCup_agent,/home/se-metrics/root/proccesed1/1997_WorldCup_agent/agent,,0,0,0,0,223,0.743,22.3,1,0,0,1,0,0,None,0,0,0,0,None,0,0,0,0,0,0,2,None,2,2,2,2,None,2,0,0,2,0,0,5,None,5,5,5,5,None,5,0,0,5,0,0,2,None,2,2,2,2,None,2,0,0,2,0,0,0,None,0,0,0,0,None,0,0,0,0,0,1,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,5,None,5,5,5,5,None,5,0,0,5,0,0,5,None,5,5,5,5,None,5,0,0,5,0,0,12,None,12,12,12,12,None,12,0,0,12,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,1079,5,0,1,1,1,1,,,,,agent,0,0,/home/se-metrics/root/proccesed1/1997_WorldCup_agent/agent,,/home/se-metrics/root/data-binaries/WorldCup1997/agent.tgz,,True,900,3,90,300,30,/home/se-metrics/root/proccesed1/1997_WorldCup_agent,1997_WorldCup_agent,10,,,,,,,,,,,,,18,18,0,18,0,C
1997,WorldCup,andhill_RoboCup97,1997_WorldCup_andhill_RoboCup97,,,0,0,0,0,331,2.149,331,0,0,0,0,0,3.3333333333,None,0.5,9,1,0,9,5,0,4.9328828623,10,24.3333333333,0,8.0634920635,None,5.0952380952,14,9.1904761905,1,14,11.5952380952,0,6.5728661874,24.1904761905,43.2025699169,0,50.3174603175,None,33.9761904762,83,53.619047619,14.3333333333,83,68.3095238095,0,34.4521862414,150.952380952,1186.95313681,0,1.4126984127,None,1.1190476191,2,1.2380952381,1,2,1.6190476191,0,0.5223645293,4.2380952381,0.2728647014,0,1,None,0.5,2,1,0,2,1.5,0,1,3,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3,0,0,446,None,106,1126,129,83,1126,627.5,0,589.346247973,1338,347329,0,95,None,56.5,172,83,30,172,127.5,0,71.7565328036,285,5149,0,21,None,5,53,10,0,53,31.5,0,28.1602556807,63,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3333333333,None,5,21,9,1,21,15,0,10.0664459137,31,101.333333333,0,21,None,5,53,10,0,53,31.5,0,28.1602556807,63,793,0,10.3333333333,None,5,21,9,1,21,15,0,10.0664459137,31,101.333333333,0,136.666666667,None,21,368,30,12,368,199,0,200.542597304,410,40217.3333333,0,1,None,0.5,2,1,0,2,1.5,0,1,3,1,0,1.6666666667,1447,1338,0,3,2,3,31,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1997/andhill_RoboCup97.tgz,,True,1249,8.11,1249,154,154,/home/se-metrics/root/proccesed1/1997_WorldCup_andhill_RoboCup97,1997_WorldCup_andhill_RoboCup97,1,,,,,,,,,,,,,,,,,123,C
1997,WorldCup,ath97,1997_WorldCup_ath97,,,435,15,435,15,1166,1.565,40.207,0,0,0,0,4.0489155602,8.6557377049,0,1,57,3,0,38,11,2.017751039,12.3772442354,528,153.196174863,7.5916544677,1.6925790088,0,0,12.4444444444,1,0,6.9411764706,2,2.4941383274,2.3272533265,103.247319534,5.4161080455,10.3508716309,9.3093520095,0,0,93.1111111111,2,0,43.8,9,2.9862165687,16.9648016008,567.870472579,287.804493354,0.2013247146,0.8140171061,0,0,3,1,0,2,1.0408163265,0.6694926318,0.731567326,49.6550434719,0.5351907525,5.4539662781,2.4754098361,0,0,20,1,0,12,2,2.4673845843,4.8634917408,151,23.6535519126,0.22,12.7978330742,0.1803278689,0,0,3,0,0,1,0,3.5109310474,0.5629741475,11,0.3169398907,24.6290552063,1.8524590164,1,0,25,1,0,7,2,4.6064608913,3.7940131153,113,14.3945355191,22.1314897422,105.327868852,0,0,1676,8,0,352,98,4.5006535636,275.238909635,6425,75756.457377,39.7046059258,31.8032786885,0,0,645,4,0,131,24,5.8608491888,88.3820908842,1940,7811.39398907,25.1641431926,5.1475409836,0,1,67,2,0,19,5,4.5692609374,9.9997267722,314,99.9945355191,7.5748898278,0.2295081967,0,0,3,0,0,2,0,2.8681726194,0.6427400362,14,0.4131147541,8.0421093074,6.1639344262,0,0,49,3,0,23,8,2.5338127694,9.1308640115,376,83.3726775956,35.4448034027,2.9180327869,0,0,66,0,0,9,2,5.675294821,9.4292012422,178,88.9098360656,11.7592578471,5.2950819672,0,0,48,2,0,21,7,2.9693377972,8.214508024,323,67.4781420765,12.7656869264,32.0163934426,0,0,351,8,0,165,25,3.3767560831,63.6512612609,1953,4051.48306011,23.1659785566,5.262295082,0,0,90,1,0,34,3,4.4619192565,14.0201065609,321,196.563387978,0,0.1442622951,6833,6425,0,61,48,41,376,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1997/ath97.tgz,,True,4740,6.362,163.448,745,25.69,/home/se-metrics/root/proccesed1/1997_WorldCup_ath97,1997_WorldCup_ath97,29,,,,,,,,,,,,,,,,,194,C
1997,WorldCup,CMUnited97-source,1997_WorldCup_CMUnited97-source,,,0,0,0,0,2860,1.072,190.667,0,0,0,0,6.3722455424,14.8181818182,1,1,118,3,0,74,8.75,2.6167411813,30.412460422,326,924.917748918,10.8376521378,5.1199834887,1,1,30,3.3928571429,0,10,6.9888392857,2.9210560528,6.4370542853,112.639636752,41.435667872,-0.0795540102,41.5602026446,0,17.3416666667,114,35.380952381,0,101.25,57.4857142857,0.8370766526,33.1023163659,914.324458181,1095.76334879,0.0523685143,2.0166354479,0,1.409375,5,1.9333333333,0,4,2.6538461539,0.3449518829,1.313440683,44.3659798535,1.7251264278,-0.8729238189,3.7272727273,2,2,8,3.5,0,7,5.75,0.2391234348,2.3336425274,82,5.4458874459,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9128458166,6.1818181818,1,1.25,28,3.5,0,16,7.75,1.8519094787,6.8078131839,136,46.3463203463,1.6167676096,408.954545455,0,165.5,1359,294.5,0,1220,540.25,1.3309899511,362.200217884,8997,131188.997835,1.5187467826,119.090909091,51,49.5,429,78.5,0,265,182.25,1.2587966395,109.124179631,2620,11908.0865801,1.475268921,13.5454545455,0,0,70,2,0,46,26,1.5144449013,20.1653339333,298,406.640692641,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6852515672,10.4545454545,7,4.75,32,9,0,21,15,1.0263984895,7.5638694603,230,57.2121212121,2.0012294997,7.6363636364,0,0,43,0.5,0,31,7.75,1.7295863376,12.6096918679,168,159.004329004,1.6852515672,10.4545454545,7,4.75,32,9,0,21,15,1.0263984895,7.5638694603,230,57.2121212121,3.6369133251,76.7272727273,0,38.25,293,56,0,199,82.75,1.8681523852,70.1414773143,1688,4919.82683983,10.6425441671,27.3181818182,12,5.5,196,12,0,98,26.5,3.0974912652,44.0469299115,601,1940.13203463,0,0.7056277056,13272,8997,0,22,13,20,230,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1997/CMUnited97-source.tar.gz,,True,9641,3.615,642.733,2667,177.8,/home/se-metrics/root/proccesed1/1997_WorldCup_CMUnited97-source,1997_WorldCup_CMUnited97-source,15,,,,,,,,,,,,,,,,,97,C
1997,WorldCup,RoboCup-97-ISIS,1997_WorldCup_RoboCup-97-ISIS,,,0,0,0,0,5495,0.589,610.556,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1997/RoboCup-97-ISIS.gtar.gz,,True,21033,2.256,2337,9322,1035.778,/home/se-metrics/root/proccesed1/1997_WorldCup_RoboCup-97-ISIS,1997_WorldCup_RoboCup-97-ISIS,9,,,,,,,,,,,,,,,,,457,C
1998,WorldCup,andhill98,1998_WorldCup_andhill98,,,0,0,0,0,821,2.783,821,0,0,0,0,4.878757001,6.3636363636,0,0,29,4,0,29,8.5,2.04707452,8.6054950732,70,74.0545454545,-0.416473549,6.8699521531,1,1,21,1,1,21,11.5347368421,1.0644917948,8.095192532,75.5694736842,65.5321421304,4.9242160186,69.6625460345,50.6315789474,26.125,236,50.6315789474,15.9166666667,236,86.5,2.039858059,63.189349101,766.28800638,3992.8938398,-0.7637874013,2.1157538474,2.3684210526,1.75,3,2.3684210526,1.32,3,2.4415584416,-0.2860874755,0.5404821128,23.2732923217,0.2921209143,-1.3449876543,1.9090909091,0,0,5,1,0,5,3.5,0.593295879,2.0225995874,21,4.0909090909,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8258114962,4.8181818182,1,1,19,1,1,19,3.5,1.8375747328,7.0826291985,53,50.1636363636,1.382982455,465.818181818,962,148,1601,207,55,1601,733,1.4568525613,498.089714445,5124,248093.363636,-1.511022198,174.909090909,364,45.5,364,160,22,364,300,0.4364419742,138.723072735,1924,19244.0909091,4.0798372918,12,0,0,71,0,0,71,10,2.1358764107,23.1732604525,132,537,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8795966561,9.3636363636,2,2,25,7,1,25,15.5,0.696347635,8.5002673755,103,72.2545454545,4.0798372918,12,0,0,71,0,0,71,10,2.1358764107,23.1732604525,132,537,-0.8795966561,9.3636363636,2,2,25,7,1,25,15.5,0.696347635,8.5002673755,103,72.2545454545,10.2665687489,81.6363636364,None,19.5,532,33,14,532,52.5,3.1718856237,151.276748198,898,22884.6545455,10.0131724723,7.5454545455,0,0,57,2,0,57,4.5,3.1217829303,16.687502128,83,278.472727273,0,0.6363636364,3368,5124,0,11,4,11,103,,,,,,,,,,/home/se-metrics/root/data-binaries/WorldCup1998/andhill98.RoboCup98.tar.gz,,True,2851,9.664,2851,295,295,/home/se-metrics/root/proccesed1/1998_WorldCup_andhill98,1998_WorldCup_andhill98,1,,,,,,,,,,,,,,,,,196,C
