Year,1st Place Team,2nd Place Team,3rd Place Team
2016,Gliders2016,HELIOS2016,Ri-one
2015,WrightEagle,HELIOS2015,Gliders2015
2014,WrightEagle,Gliders2014,Oxsy
2013,WrightEagle,HELIOS2013,YuShan2013
2012,HELIOS2012,WrightEagle,MarIiK
2011,WrightEagle,HELIOS2011,MarliK
2010,HELIOS,WrightEagle,Oxsy
2009,WrightEagle,HELIOS,Oxsy
2008,Brainstormers,WE2008,HELIOS
2007,Brainstormers,WE2007,HELIOS
2006,WE2006,Brainstormers,Ri-one
2005,Brainstormers,WE2005,tokyotech2005
2004,"STEP, Russia",Brainstormers,Mersad
2003,UvA Trilearn,TsinghuAeolus,Brainstormers
2002,TsinghuAeolus,Everest,Brainstormers
2001,TsinghuAeolus,Brainstormers,FCPortugal
2000,FCPortugal,Brainstormers,ATTCMUnited
1999,CMUnited,magmaFreiburg,Essex Wizards
1998,CMUnited,"AT Humboldt,",WindmillWanderer
1997,AT Humboldt,Andhill,ISIS
