analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
9,4,2,0,0,3,0.5,0,8,1.5,0,['robil/C0_RobilTask/include/C0_RobilTask/MultiGoalActionServer.h'],3,actionlib::MGActionServer::GoalQueueItem,robil,2,external_repositories,2,4.5,0
201,15,12,2,0,0,1.33333333333333,0,69,1,0,['robil/C0_RobilTask/include/C0_RobilTask/MultiGoalActionServer.h'],10,actionlib::MGActionServer,robil,15,external_repositories,15,13.4,0
18,17,7,0,0,1,0.571428571428571,0,5,1.57142857142857,0,['robil/C0_RobilTask/include/C0_RobilTask/MultiGoalActionServer.h'],1,actionlib::MGActionServer::GoalQueue,robil,1,external_repositories,7,2.57142857142857,0
7,7,7,0,0,0,0.285714285714286,0,1,1.42857142857143,0,['robil/C0_RobilTask/include/C0_RobilTask/RobilTask.h'],1,SSTREAM,robil,7,external_repositories,7,1,0
11,9,6,1,0,0,0.857142857142857,1,2,1,0,['robil/C0_RobilTask/include/C0_RobilTask/RobilTask.h'],4,C0_RobilTask::RobilTask::TaskResult,robil,7,external_repositories,7,1.57142857142857,7
0,0,0,0,0,0,0,0,0,0,0,['robil/C0_RobilTask/include/C0_RobilTask/RobilTask.h'],0,RobilTask,robil,0,external_repositories,0,0,0
74,13,0,42,0,3,1.57142857142857,2,27,1.57142857142857,33,['robil/C0_RobilTask/include/C0_RobilTask/RobilTask.h'],9,C0_RobilTask::RobilTask,robil,7,external_repositories,7,10.5714285714286,14
124,31,13,1,0,0,1.76923076923077,4,26,4,0,['robil/C0_RobilTask/include/C0_RobilTask/StringOperations.h'],0,C0_RobilTask/include/C0_RobilTask/StringOperations,robil,6,external_repositories,13,9.53846153846154,24
14,4,4,2,0,3,0,0,11,1.5,0,['robil/C0_RobilTask/include/C0_RobilTask/StringOperations.h'],4,C0_RobilTask::Function,robil,4,external_repositories,4,3.5,0
44,2,2,0,0,0,2,0,37,4,0,['robil/C0_RobilTask/src/DummyTask.cpp'],0,C0_RobilTask/src/DummyTask,robil,2,external_repositories,2,22,0
69,11,7,0,1,0,2,1,24,2.57142857142857,0,['robil/C0_RobilTask/src/DummyTask.cpp'],4,DummyTaskServer,robil,7,external_repositories,7,9.85714285714286,7
126,8,4,91,0,0,1.75,1,109,5.25,0,['robil/C0_RobilTask/src/taskTester.cpp'],0,C0_RobilTask/src/taskTester,robil,2,external_repositories,4,31.5,2
101,24,15,0,1,0,1.2,2,22,1.06666666666667,0,"['robil/C11_Agent/src/C11Main.h', 'robil/C11_Agent/src/C11Main.cpp']",5,C11Main,robil,14,external_repositories,15,6.73333333333333,28
632,197,35,1,1,0,0.702702702702703,12,78,2.21621621621622,0,"['robil/C11_Agent/src/C11_Agent_Node.h', 'robil/C11_Agent/src/C11_Agent_Node.cpp']",37,C11_Agent_Node,robil,2,external_repositories,37,17.0810810810811,24
10,10,10,15,0,0,1.3,0,1,1,1,"['robil/C11_Agent/src/C11_Agent_Node.h', 'robil/C11_Agent/src/C11_Agent_Node.cpp']",0,IAgentInterface,robil,10,external_repositories,10,1,0
