Current_group_location,analizo_acc_kurtosis,analizo_acc_mean,analizo_acc_mode,analizo_acc_quantile_lower,analizo_acc_quantile_max,analizo_acc_quantile_median,analizo_acc_quantile_min,analizo_acc_quantile_ninety_five,analizo_acc_quantile_upper,analizo_acc_skewness,analizo_acc_standard_deviation,analizo_acc_sum,analizo_acc_variance,analizo_accm_kurtosis,analizo_accm_mean,analizo_accm_mode,analizo_accm_quantile_lower,analizo_accm_quantile_max,analizo_accm_quantile_median,analizo_accm_quantile_min,analizo_accm_quantile_ninety_five,analizo_accm_quantile_upper,analizo_accm_skewness,analizo_accm_standard_deviation,analizo_accm_sum,analizo_accm_variance,analizo_amloc_kurtosis,analizo_amloc_mean,analizo_amloc_mode,analizo_amloc_quantile_lower,analizo_amloc_quantile_max,analizo_amloc_quantile_median,analizo_amloc_quantile_min,analizo_amloc_quantile_ninety_five,analizo_amloc_quantile_upper,analizo_amloc_skewness,analizo_amloc_standard_deviation,analizo_amloc_sum,analizo_amloc_variance,analizo_anpm_kurtosis,analizo_anpm_mean,analizo_anpm_mode,analizo_anpm_quantile_lower,analizo_anpm_quantile_max,analizo_anpm_quantile_median,analizo_anpm_quantile_min,analizo_anpm_quantile_ninety_five,analizo_anpm_quantile_upper,analizo_anpm_skewness,analizo_anpm_standard_deviation,analizo_anpm_sum,analizo_anpm_variance,analizo_cbo_kurtosis,analizo_cbo_mean,analizo_cbo_mode,analizo_cbo_quantile_lower,analizo_cbo_quantile_max,analizo_cbo_quantile_median,analizo_cbo_quantile_min,analizo_cbo_quantile_ninety_five,analizo_cbo_quantile_upper,analizo_cbo_skewness,analizo_cbo_standard_deviation,analizo_cbo_sum,analizo_cbo_variance,analizo_change_cost,analizo_dit_kurtosis,analizo_dit_mean,analizo_dit_mode,analizo_dit_quantile_lower,analizo_dit_quantile_max,analizo_dit_quantile_median,analizo_dit_quantile_min,analizo_dit_quantile_ninety_five,analizo_dit_quantile_upper,analizo_dit_skewness,analizo_dit_standard_deviation,analizo_dit_sum,analizo_dit_variance,analizo_lcom4_kurtosis,analizo_lcom4_mean,analizo_lcom4_mode,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_max,analizo_lcom4_quantile_median,analizo_lcom4_quantile_min,analizo_lcom4_quantile_ninety_five,analizo_lcom4_quantile_upper,analizo_lcom4_skewness,analizo_lcom4_standard_deviation,analizo_lcom4_sum,analizo_lcom4_variance,analizo_loc_kurtosis,analizo_loc_mean,analizo_loc_mode,analizo_loc_quantile_lower,analizo_loc_quantile_max,analizo_loc_quantile_median,analizo_loc_quantile_min,analizo_loc_quantile_ninety_five,analizo_loc_quantile_upper,analizo_loc_skewness,analizo_loc_standard_deviation,analizo_loc_sum,analizo_loc_variance,analizo_mmloc_kurtosis,analizo_mmloc_mean,analizo_mmloc_mode,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_max,analizo_mmloc_quantile_median,analizo_mmloc_quantile_min,analizo_mmloc_quantile_ninety_five,analizo_mmloc_quantile_upper,analizo_mmloc_skewness,analizo_mmloc_standard_deviation,analizo_mmloc_sum,analizo_mmloc_variance,analizo_noa_kurtosis,analizo_noa_mean,analizo_noa_mode,analizo_noa_quantile_lower,analizo_noa_quantile_max,analizo_noa_quantile_median,analizo_noa_quantile_min,analizo_noa_quantile_ninety_five,analizo_noa_quantile_upper,analizo_noa_skewness,analizo_noa_standard_deviation,analizo_noa_sum,analizo_noa_variance,analizo_noc_kurtosis,analizo_noc_mean,analizo_noc_mode,analizo_noc_quantile_lower,analizo_noc_quantile_max,analizo_noc_quantile_median,analizo_noc_quantile_min,analizo_noc_quantile_ninety_five,analizo_noc_quantile_upper,analizo_noc_skewness,analizo_noc_standard_deviation,analizo_noc_sum,analizo_noc_variance,analizo_nom_kurtosis,analizo_nom_mean,analizo_nom_mode,analizo_nom_quantile_lower,analizo_nom_quantile_max,analizo_nom_quantile_median,analizo_nom_quantile_min,analizo_nom_quantile_ninety_five,analizo_nom_quantile_upper,analizo_nom_skewness,analizo_nom_standard_deviation,analizo_nom_sum,analizo_nom_variance,analizo_npa_kurtosis,analizo_npa_mean,analizo_npa_mode,analizo_npa_quantile_lower,analizo_npa_quantile_max,analizo_npa_quantile_median,analizo_npa_quantile_min,analizo_npa_quantile_ninety_five,analizo_npa_quantile_upper,analizo_npa_skewness,analizo_npa_standard_deviation,analizo_npa_sum,analizo_npa_variance,analizo_npm_kurtosis,analizo_npm_mean,analizo_npm_mode,analizo_npm_quantile_lower,analizo_npm_quantile_max,analizo_npm_quantile_median,analizo_npm_quantile_min,analizo_npm_quantile_ninety_five,analizo_npm_quantile_upper,analizo_npm_skewness,analizo_npm_standard_deviation,analizo_npm_sum,analizo_npm_variance,analizo_rfc_kurtosis,analizo_rfc_mean,analizo_rfc_mode,analizo_rfc_quantile_lower,analizo_rfc_quantile_max,analizo_rfc_quantile_median,analizo_rfc_quantile_min,analizo_rfc_quantile_ninety_five,analizo_rfc_quantile_upper,analizo_rfc_skewness,analizo_rfc_standard_deviation,analizo_rfc_sum,analizo_rfc_variance,analizo_sc_kurtosis,analizo_sc_mean,analizo_sc_mode,analizo_sc_quantile_lower,analizo_sc_quantile_max,analizo_sc_quantile_median,analizo_sc_quantile_min,analizo_sc_quantile_ninety_five,analizo_sc_quantile_upper,analizo_sc_skewness,analizo_sc_standard_deviation,analizo_sc_sum,analizo_sc_variance,analizo_total_abstract_classes,analizo_total_cof,analizo_total_eloc,analizo_total_loc,analizo_total_methods_per_abstract_class,analizo_total_modules,analizo_total_modules_with_defined_attributes,analizo_total_modules_with_defined_methods,analizo_total_nom,competition,dir_to_zip,group_name,is_source,new_dir,new_dir_name,source_lang,year
SPL_The_Awesome_Resurrection_21-01-13,79.2968487153,2.24161073826,1,0,83,1,0,8,2,7.48953323978,5.72671875102,1336,32.7953076533,61.4663450051,2.17688150191,1,1,35,1,1,6.42105263158,2.5,5.83694388992,2.42366774604,1297.42137514,5.87416534319,52.6676880185,13.8673699472,1,3.625,260,7.875,1,48,18.05,5.23808531409,18.8327084387,8264.95248854,354.670907139,27.588823723,1.23084502615,1,0.666666666667,13,1,0,3,1.66666666667,3.62394496581,1.08393933068,733.583635586,1.1749244726,22.6454207829,1.93959731544,0,0,33,0,0,8,3,3.69599449644,3.44020360531,1156,11.835000846,0.05,5.51327265821,1.04026845638,1,0,6,1,0,3,1,2.07973013583,1.02656607727,620,1.053837911,31.5746993507,2.75503355705,1,1,31,2,1,7,3,4.15114719068,2.52124915663,1642,6.3566973098,66.559955833,107.261744966,1,8,3473,22,1,501,93,6.6085640902,249.473702047,63928,62237.1280131,20.8540460495,39.994966443,1,6,618,13,1,164,44,3.89770083496,69.0388878955,23837,4766.36804185,47.5959891065,6.31208053691,2,2,110,4,0,19,7,5.63081762329,9.57447174927,3762,91.6705092775,109.775083895,0.307046979866,0,0,21,0,0,1,0,9.35251925935,1.52006766915,183,2.3106057188,29.4935094693,5.72986577181,2,2,85,3,1,20,7,4.24945731924,7.41625609292,3415,55.0008544357,40.5706259969,3.20302013423,0,0,65,1,0,11,4,5.16161322566,5.80848908799,1909,33.7385454853,18.8932115066,3.23154362416,1,1,40,2,0,12,4,3.77724817962,4.53632342523,1926,20.5782302183,44.584834266,27.0486577181,2,4,589,10,1,119,26,5.50421130055,51.4223832003,16121,2644.26149399,43.3328611978,6.05369127517,0,0,170,0,0,27,6,5.67259036159,14.9011466413,3608,222.044171226,29,0.00376741300547,78826,63928,6.62068965517,596,526,596,3415,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/The_Awesome_Resurrection_21-01-13.tar,The_Awesome_Resurrection_21-01-13,True,/home/se-metrics/root/Other_robo_proccessed/SPL_The_Awesome_Resurrection_21-01-13,SPL_The_Awesome_Resurrection_21-01-13,C++,
SPL_HULKsCodeRelease,29.4841444288,3,0,0,66,1,0,13,2,4.76859948638,6.66986652325,1284,44.4871194379,13.052794414,2.0231880357,1,1,13.5,1,1,5.57142857143,2.5,3.16620295211,1.82841067345,865.924479278,3.34308559078,17.9605967953,13.477327501,1,4.33333333333,145,8,1,39.6666666667,17.5,3.35378145076,15.5445286038,5768.29617043,241.632369515,188.141510556,0.934538984176,1,0.5,23,0.666666666667,0,2,1,11.703243402,1.31369965701,399.982685227,1.72580678883,16.8714027053,2.64252336449,0,0,38,1,0,10,4,3.12262296509,4.08868492763,1131,16.7173444374,0.04,3.49662266341,1.0023364486,1,0,6,1,0,4,1,1.89379862821,1.22139174998,429,1.49179780691,27.2709454854,2.79672897196,1,1,32,2,1,8,3,4.10958361869,3.01336422999,1197,9.08036398258,232.029430223,88.3224299065,13,13,5028,27,1,290,77.25,13.723164309,279.584584381,37802,78167.5398236,14.0180581565,30.2897196262,1,5.75,346,12.5,1,107,40.25,3.24097825192,43.7042989747,12964,1910.06574887,8.84129120781,5.3761682243,0,1,47,3,0,20,7,2.67893460919,7.22415232759,2301,52.1883768522,28.3623443417,0.317757009346,0,0,10,0,0,2,0,4.99242728528,1.17625317768,136,1.38357153801,166.782669454,5.98831775701,3,2,204,3,1,17,6,11.3467651521,12.2691270729,2563,150.531479131,14.6505247107,1.88551401869,0,0,26,0,0,9,2,3.42545380874,3.67770362463,807,13.5255039506,257.895254484,4.24299065421,2,2,204,3,0,11,4,14.8307190702,11.0261270483,1816,121.575477686,163.785834276,27.2523364486,1,6,1134,11,1,91,27.25,11.2421351322,69.0684205396,11664,4770.44671584,23.6304905891,7.4953271028,0,0,128,2,0,32,9.25,4.06361924623,14.2181885899,3208,202.156886778,32,0.00702576112412,47699,37802,6.6875,428,343,428,2563,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/HULKsCodeRelease.tar,HULKsCodeRelease,True,/home/se-metrics/root/Other_robo_proccessed/SPL_HULKsCodeRelease,SPL_HULKsCodeRelease,C++,
SPL_TKark_coderelease_2017,79.6907869457,0.482649842271,0,0,19,0,0,3,0,7.4219579531,1.41438622232,306,2.00048838588,54.5776257324,1.73084487185,1,1,25,1,1,5,1.33333333333,6.56698757335,2.33866057512,1097.35564875,5.46933328564,36.4067570202,6.85243282176,1,1,144,1,1,32,6,5.15367395772,14.4701853595,4344.442409,209.386264338,6.59142894481,1.66744749626,2,1,8.16666666667,2,0,3,2,1.33451966431,0.955186842218,1057.16171263,0.912381903546,48.9135720643,0.611987381703,0,0,21,0,0,3,1,5.83543533013,1.66392296876,388,2.76863964597,0.01,1.66926645024,0.356466876972,0,0,3,0,0,1,1,1.45359177145,0.569690592286,226,0.324547370939,39.3171622793,2.21924290221,1,1,30,1,1,6,2,5.69439390833,3.1763654343,1407,10.0892973722,70.1651064082,36.7302839117,1,1,1509,2,1,186,23.75,7.21874747125,111.687125606,23287,12474.0140261,18.5351891208,16.9148264984,1,1,315,1,1,99,13,3.7681641776,36.0952181311,10724,1302.86477193,100.369486654,3.02681388013,0,0,126,0,0,14,3,8.1962592757,8.08842757319,1919,65.4226606067,57.7682162627,0.0552050473186,0,0,4,0,0,0,0,7.45064161226,0.375109933004,35,0.140707461839,19.789134879,3.79810725552,1,1,54,1,1,16,4,3.86083056237,6.07797641981,2408,36.9417973597,128.512690761,0.917981072555,0,0,58,0,0,5,0,9.64097114053,3.52058604372,582,12.3945260913,24.6750483734,2.19716088328,1,1,30,1,0,8,2,4.39808958227,3.17333750421,1393,10.0700709156,78.2485554886,12.9353312303,1,1,553,2,1,55,6,7.30796685822,37.6404027445,8201,1416.79991877,160.74465955,2.3738170347,0,0,196,0,0,10,1,11.2797900543,11.3758429622,1505,129.409803101,7,0.000762480003588,,23287,5.28571428571,634,274,634,2408,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/TKark_coderelease_2017.tar,TKark_coderelease_2017,True,/home/se-metrics/root/Other_robo_proccessed/SPL_TKark_coderelease_2017,SPL_TKark_coderelease_2017,C++,
SPL_MRL-SPL,602.582233375,1.35670356704,0,0,357,0,0,4,0,21.5234660629,10.670808199,3309,113.86614762,54.6536118837,1.99032409042,1,1,43,1,1,6.5,1.8,6.20836912409,2.85379195737,4854.40045653,8.14412853596,284.89246016,12.8147317702,1,2.33333333333,777,5,1,53,11.6055555556,11.9195767136,26.7283783435,31255.1307876,714.406208873,24.9484460202,1.80463081459,1,0.866666666667,19,1.36363636364,0,4.5,2,3.7038054992,1.6895010933,4401.49455679,2.85441394427,12.9189788208,1.46822468225,0,0,25,1,0,6,2,2.81753277059,2.20348067308,3581,4.85532707665,0.05,5.55639110164,0.273882738827,0,0,4,0,0,1,0,2.09947836387,0.524637587503,668,0.275244598221,2270.15893033,6.14883148831,1,1,3090,2,1,15,4,46.8707801287,63.5997887679,14997,4044.93313132,195.365166847,62.4940549405,4,4,4128,13,1,249,53,12.0052359806,199.052461811,152423,39621.8825528,77.2036750059,21.1549815498,1,4,777,7,1,95,21,6.28347278634,39.6451726146,51597,1571.73971164,89.7894424357,1.49692496925,0,0,59,0,0,7,2,7.51360202784,3.73187316676,3651,13.9268773328,238.038529002,0.0852808528085,0,0,15,0,0,0,0,13.2276631594,0.596772005325,208,0.35613682634,2242.17377067,7.15580155802,1,1,3090,2,1,20,6,46.4407006973,63.7762341119,17453,4067.40803749,268.887707375,0.690856908569,0,0,59,0,0,5,0,12.7219946976,2.43107666701,1685,5.91013376089,2255.31567104,6.83148831488,1,1,3090,2,0,18,5,46.6406259894,63.6898817909,16662,4056.40104253,1708.83342848,13.6629766298,1,2,3090,4,1,47,11,38.2633757645,68.1257191088,33324,4641.1136041,284.795032711,11.905699057,0,0,1770,1,0,36,4,15.1961713638,71.9566804977,29038,5177.76386825,13,0.000556482185002,,152423,7,2439,905,2439,17453,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/MRL-SPL.tar,MRL-SPL,True,/home/se-metrics/root/Other_robo_proccessed/SPL_MRL-SPL,SPL_MRL-SPL,C++,
Small-Size-League_CMDragons2002-0,17.5337446639,3.48502994012,0,0,55,1,0,17,2,4.11075049713,8.8880970136,582,78.9982685232,53.782055539,2.50717832587,1,1,34,1.5,1,6.69230769231,2.75,6.55687103774,3.36595266168,418.698780421,11.3296373206,65.510544503,16.5417901698,1,4,344,9.5,1,44.8333333333,17.8461538462,7.28032961399,32.5193047512,2762.47895836,1057.5051815,12.7475999049,1.60046544302,1,1,7.53846153846,1.42857142857,0,3,2,2.63925057651,0.891798676543,267.277728985,0.795304879484,5.52746999121,4.89820359281,0,1,31,3,0,19,7,2.16872425416,5.95124238375,818,35.4172859101,0.46,1.29264904525,0.443113772455,0,0,3,0,0,2,1,1.61933946789,0.818496935832,74,0.669937233966,16.8747484259,5.0119760479,1,1,55,2,1,17,5.5,3.66287368994,7.36401869721,837,54.2287713729,21.6115586204,161.988023952,31,18,2064,68,1,573,215,3.9443223354,258.985136756,27052,67073.3010605,113.773920804,53.6526946108,1,9.5,1522,30,1,151,62,9.86970444484,125.641962531,8960,15785.9027487,7.2710329065,5.75449101796,0,1,44,3,0,19,8,2.42371485539,7.42956246248,961,55.198398384,113.927687657,0.25748502994,0,0,23,0,0,0,0,10.2926337259,1.96034196628,43,3.84294062477,5.55375503364,10.8083832335,5,4,63,7,1,33,14,2.11713789019,10.4708051564,1805,109.637760623,21.226888697,2.81437125749,0,0,44,1,0,10,3,4.14598962509,5.958311755,470,35.5014789698,7.98108995819,9.82634730539,6,4,63,7,1,27,13,2.39711582866,9.38788121388,1641,88.1323136859,10.3448181397,54.377245509,17,11,491,28,1,195,68,2.87215779194,73.84815231,9081,5453.5495996,140.234655123,27.994011976,0,1,1595,6,0,99,16,11.4354080399,127.35669939,4675,16219.7288796,2,0.0209941562658,24190,27052,19,167,135,167,1805,Small-Size-League,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//Small-Size-League/CMDragons2002-0.90-smallsize.tgz,CMDragons2002-0,True,/home/se-metrics/root/Other_robo_proccessed/Small-Size-League_CMDragons2002-0,Small-Size-League_CMDragons2002-0,C,
SPL_rUNSWift-2015-release,107.305225535,1.58968058968,0,0,90,0,0,9,1,8.53472296418,5.37624419273,1294,28.9040016199,208.202165082,2.06739818677,1,1,66,1,1,5.75,2,12.7156705357,3.56222506952,1682.86212403,12.6894474459,94.2498807612,12.458667978,1,2.75694444444,380,5,1,41.5,13,8.53980115295,26.6703745961,10141.3557341,711.308881096,14.6552028018,1.5140314088,1,1,12,1.25,0,3.75,2,2.90321130361,1.19266153436,1232.42156677,1.42244153553,13.0103024974,1.64373464373,0,0,21,1,0,7,2,3.25513190953,2.77102452771,1338,7.67857693319,0.04,0.963830629505,0.371007371007,0,0,2,0,0,2,1,1.56120812016,0.674574052619,302,0.455050152467,176.264761262,4.1941031941,1,1,177,2,1,12,4,10.9024175409,9.04242642436,3414,81.76547564,40.5460681217,67.4385749386,4,6,1632,15,1,317,54.75,5.56181066686,157.576699647,54895,24830.4162715,28.3005140014,26.6511056511,4,4,558,8,1,113,26,4.65872294487,52.7492958162,21694,2782.48820911,147.37044597,3.28378378378,0,0,171,1,0,14,3,9.9240785784,9.29782248747,2673,86.4495030085,118.923602132,0.202702702703,0,0,22,0,0,0,0,10.3146921371,1.52048499014,165,2.31187460523,98.8773045595,5.99385749386,1,1,177,3,1,22,6,7.9091388092,10.6286397015,4879,112.967981903,410.88428978,1.5,0,0,171,0,0,7,1,17.9047825939,7.06789251128,1221,49.955104551,110.771431334,5.29484029484,1,1,173,3,0,20,5,8.4655621218,10.1358083294,4310,102.734610491,38.1330248845,17.4164619165,1,2,381,6,1,76,17,5.21160794231,33.9350696738,14177,1151.58895376,138.756800196,8.76781326781,0,0,588,1,0,29,6,10.3676556085,33.7206364763,7137,1137.08132436,15,0.00195532667857,66547,54895,3.73333333333,814,442,814,4879,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/rUNSWift-2015-release.tar,rUNSWift-2015-release,True,/home/se-metrics/root/Other_robo_proccessed/SPL_rUNSWift-2015-release,SPL_rUNSWift-2015-release,C++,
SPL_The_Charismatisch_Shirley_02-05-2013,58.3128005903,2.53987730061,1,0,83,1,0,10,2,6.61416519472,6.41163055989,1656,41.1090064365,60.7007947636,2.19972389075,1,1,35,1,1,6.42105263158,2.5,5.69829341395,2.37553790794,1434.21997677,5.64318035207,50.0085889173,14.0689294195,1,3.5,260,8,1,48.1111111111,18.6571428571,5.00454716236,18.6401675041,9172.9419815,347.45584458,25.916466656,1.21539782603,1,0.6,13,1,0,3,1.60625,3.50012559747,1.08299510999,792.439382574,1.17287840826,13.478252784,2.3726993865,0,0,34,1,0,10,3,2.9781707692,4.00315429568,1547,16.025244315,0.09,5.71473307877,0.984662576687,1,0,6,1,0,3,1,2.08603138909,1.01285639326,642,1.02587807337,22.2057533169,2.94325153374,1,1,31,2,1,8,4,3.728494544,2.84761476352,1919,8.1089098414,67.3145503186,109.329754601,1,8,3473,24,1,495,107.25,6.55185700252,243.118848203,71283,59106.7743514,19.9664924083,40.768404908,1,6,618,13,1,162,46,3.77417702904,68.2876138216,26581,4663.19820145,48.2570108741,6.24846625767,2,2,110,4,0,19,7.25,5.59548325034,9.30204447625,4074,86.5280314382,114.290951555,0.30981595092,0,0,21,0,0,2,0,9.44963574924,1.4713950338,202,2.16500334549,28.4594545234,5.90950920245,2,2,85,3,1,20,7,4.08017872474,7.292828479,3853,53.1853472242,38.0314516181,3.21779141104,0,0,65,1,0,12,4,4.91600594201,5.77391156109,2098,33.3380547153,14.3510554716,3.56441717791,1,1,40,2,0,12,4,3.26763058862,4.72114804156,2324,22.2892388303,40.523436675,28.213190184,1,5,591,11,1,121,28,5.22098646701,51.8999002063,18395,2693.59964142,34.5550397796,7.72085889571,0,0,190,1,0,35,8,5.05959351068,17.7642522483,5034,315.56865794,34,0.00390150122982,87258,71283,6.94117647059,652,572,652,3853,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/The_Charismatisch_Shirley_02-05-2013.tar,The_Charismatisch_Shirley_02-05-2013,True,/home/se-metrics/root/Other_robo_proccessed/SPL_The_Charismatisch_Shirley_02-05-2013,SPL_The_Charismatisch_Shirley_02-05-2013,C++,
SPL_rUNSWift-2014-release,115.695107938,1.58990147783,0,0,93,0,0,9,1,8.83897716156,5.42843102276,1291,29.4678633688,200.910047593,2.08284756809,1,1,66,1,1,5.83333333333,2,12.4341490107,3.59569450467,1691.27222529,12.9290189709,91.3963017808,12.6429049593,1,2.75,380,5,1,42,13.1596638655,8.37828394637,26.8762881733,10266.038827,722.334865972,15.0684629938,1.5106784689,1,1,12,1.25,0,3.5,2,2.94571364101,1.18593390782,1226.67091674,1.40643923372,13.0988973595,1.64532019704,0,0,21,1,0,7,2,3.26637435621,2.77469901874,1336,7.69895464457,0.04,0.90094869189,0.375615763547,0,0,2,0,0,2,1,1.54225600531,0.677666621184,305,0.459232049468,176.097820535,4.18472906404,1,1,177,2,1,12,4,10.9032402488,9.05077407024,3398,81.9165112705,41.7832601992,66.7253694581,4,6,1632,15,1,304,55,5.58557103983,153.722866872,54181,23630.7197995,24.3303741088,26.6662561576,4,4,483,7.5,1,113,26,4.40839182623,51.7584801324,21653,2678.94026562,150.563324634,3.24630541872,0,0,171,1,0,14,3,9.90888862935,9.15241129152,2636,83.7666324491,116.949543061,0.204433497537,0,0,22,0,0,0,0,10.2379443091,1.52983644726,166,2.34039955537,99.5040467913,5.95320197044,1,1,177,3,1,22,6,7.94726193103,10.6216296127,4834,112.819015629,413.215910359,1.46921182266,0,0,171,0,0,7,1,18.0042946597,7.06428385658,1193,49.9041064064,110.811570825,5.26231527094,1,1,173,3,0,20,5,8.47562444271,10.1436736188,4273,102.894114485,36.0647890179,17.2327586207,1,2,381,6,1,74,17,5.06704978361,33.2596000738,13993,1106.20099707,143.223056308,8.70935960591,0,0,588,1,0,30,6,10.5137111842,33.3991185613,7072,1115.50112067,15,0.00196042105775,66905,54181,3.73333333333,812,440,812,4834,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/rUNSWift-2014-release.tar,rUNSWift-2014-release,True,/home/se-metrics/root/Other_robo_proccessed/SPL_rUNSWift-2014-release,SPL_rUNSWift-2014-release,C++,
Humanoid_HROS5-Framework,2.22091032466,1.796875,0,0,11,1,0,8,2.25,1.70579074154,2.64382891829,115,6.98983134921,4.95794376651,4.24842740062,1,1.15777972028,23,2.31018518519,1,13,5.00909090909,2.11374256565,4.48125548258,271.89935364,20.0816507002,1.91632459607,27.5670836358,1,6,123,15.7142857143,1,98,35.6172248804,1.58504115052,29.7501910042,1764.29335269,885.073864789,6.53142447115,1.08507969733,1,0.5,5,1,0,2.6,1.26157407407,2.19949262456,0.915239477278,69.4451006289,0.837663300768,2.20252817837,3.15625,0,0,17,2,0,11,5.25,1.59814527343,3.98098157314,202,15.8482142857,0.13,8.63723794244,0.078125,0,0,1,0,0,1,0,3.21996628249,0.27048970875,5,0.0731646825397,8.23536164577,3.59375,2,1,20,2,1,10,4.25,2.67790589654,3.81608438062,230,14.5625,15.1604562775,239.609375,6,47.25,2165,129.5,2,783,245.75,3.37373113013,345.222294025,15335,119178.432292,0.748566621655,94.21875,1,11.25,420,42,1,285,177.25,1.2311776628,105.987191312,6030,11233.2847222,24.4644461827,8.453125,0,0,96,4,0,29,11,4.25881243537,13.9465301909,541,194.505704365,42.6147687796,0.078125,0,0,3,0,0,0,0,6.27898674046,0.410369075075,5,0.168402777778,4.16660878376,10.703125,2,3,55,6.5,1,27,16.5,1.83344046528,10.8154499829,685,116.973958333,12.193646748,4.125,0,0,38,2,0,16,6,3.01710084224,6.40312423743,264,41,4.91656748563,9.890625,2,2,55,5,1,27,14,2.00421940123,10.7395090005,633,115.337053571,12.7054086782,54.1875,11,10.75,420,34,1,145,75,3.12216781491,70.752839418,3468,5005.96428571,20.2092170847,13.359375,0,0,171,2,0,50,12.5,4.31553164862,29.5120998524,855,870.964037698,2,0.0285218253968,15330,15335,11,64,47,64,685,Humanoid,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//Humanoid/HROS5-Framework,HROS5-Framework,True,/home/se-metrics/root/Other_robo_proccessed/Humanoid_HROS5-Framework,Humanoid_HROS5-Framework,C++,
Small-Size-League_robocup-software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small-Size-League,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//Small-Size-League/robocup-software,robocup-software,,/home/se-metrics/root/Other_robo_proccessed/Small-Size-League_robocup-software,Small-Size-League_robocup-software,,
