,competition,group_name,year,team_manual
256,WorldCup,nao-client,1996,
541,WorldCup,ogalets,1996,
470,WorldCup,ogalets-ver3_x,1996,
98,WorldCup,sekine_client,1996,
373,WorldCup,CMUnited97-source,1997,
475,WorldCup,RoboCup-97-ISIS,1997,
350,WorldCup,agent,1997,
283,WorldCup,andhill_RoboCup97,1997,
460,WorldCup,ath97,1997,
202,WorldCup,ATH_98,1998,
549,WorldCup,CMUnited98-source,1998,
562,WorldCup,Kappa_v0,1998,
71,WorldCup,andhill98,1998,
158,WorldCup,ath97,1998,
25,WorldCup,samba98,1998,
385,WorldCup,11monkeys-linux,1999,
90,WorldCup,CMUnited99-linux,1999,
542,WorldCup,CMUnited99-source,1999,
264,WorldCup,CMUnited99-support,1999,
349,WorldCup,CoachRC99,1999,
531,WorldCup,YowAI-linux-VA,1999,
199,WorldCup,YowAI-linux-static-VA,1999,
491,WorldCup,Zeng99-source-release,1999,
270,WorldCup,ew99,1999,
560,WorldCup,ew99_sources,1999,
185,WorldCup,kappaII,1999,
487,WorldCup,kit0726v4,1999,
189,WorldCup,ATTCMUnited2000-linux,2000,
243,WorldCup,BS2K_Melbourne2000,2000,
56,WorldCup,BS2K_Melbourne2000_CodeRelease,2000,
114,WorldCup,Cyberoos2000,2000,
324,WorldCup,FCPortugalMelbBin,2000,
105,WorldCup,RC2000-oz,2000,
345,WorldCup,ew00,2000,
223,WorldCup,mrb2000,2000,
523,WorldCup,virtualwerder,2000,
346,WorldCup,BS01_Seatle2001_BinaryRelease,2001,
307,WorldCup,FuzzyFoo-2001-linux-x86,2001,
60,WorldCup,FuzzyFoo-2001-source,2001,
89,WorldCup,SBCpp-source,2001,
306,WorldCup,UvA_2001_Binary,2001,
387,WorldCup,dd2001,2001,
391,WorldCup,parsai-code1,2001,
544,WorldCup,CoachTeamBin,2002,
510,WorldCup,OZip-20020524,2002,
548,WorldCup,RoboSoc-20020415,2002,
310,WorldCup,chagama-rc02,2002,chagamma
507,WorldCup,player,2002,
313,WorldCup,a4ty-RC2003,2003,
141,WorldCup,austin-RC2003,2003,
401,WorldCup,bold-RC2003,2003,BoldHearts
471,WorldCup,eka-RC2003,2003,
573,WorldCup,magma-rc2003,2003,mgmaFurtwangen
348,WorldCup,nit-RC2003,2003,
109,WorldCup,portugal-RC2003,2003,
183,WorldCup,portugal-rc2003,2003,
234,WorldCup,tsing-RC2003,2003,
167,WorldCup,wright-RC2003,2003,
454,WorldCup,yowa-RC2003,2003,YowAI2003
22,WorldCup,zju03_padova_bin,2003,ZJUBase
163,AutumnCamp,NITinPossible,2004,
19,AutumnCamp,NITroG,2004,
473,AutumnCamp,Rhona2003,2004,Rhona2003
344,AutumnCamp,Rhona2004,2004,
503,AutumnCamp,YowAI2004_autumn,2004,YowAI2004
154,WorldCup,aeolus04,2004,
275,AutumnCamp,anct2004_acamp04,2004,ANCT2004
111,AutumnCamp,hana_ac2004,2004,hana
505,AutumnCamp,raic04-bsd-autumncamp,2004,RaiC2004
297,AutumnCamp,tokyotech-acamp04-linux,2004,TokyoTech2004
17,WorldCup,WrightEagle2D_rc2006_bin,2006,
129,ChinaOpens,Apollo,2007,
535,AutumnCamp,BIG_KUBO_BEARS,2007,
279,AutumnCamp,Elysion_Autumn_bin,2007,
412,AutumnCamp,FC-PESCA,2007,
174,ChinaOpens,GDUT,2007,
299,AutumnCamp,KU_BOST,2007,
6,AutumnCamp,Meister_OPU,2007,
512,AutumnCamp,NaRi-one_Autumn_bin,2007,
224,AutumnCamp,Obake_OPUAutumunBinary,2007,
390,AutumnCamp,Okarobo,2007,
176,AutumnCamp,ReKM,2007,
282,AutumnCamp,Ri-one_Autumn_bin,2007,
466,ChinaOpens,UJS,2007,
340,ChinaOpens,WrightEagle,2007,
127,ChinaOpens,ZcvcTR,2007,
237,WorldCup,fcp2d,2007,
518,AutumnCamp,helios-ac2007,2007,
271,WorldCup,kotug,2007,
48,AutumnCamp,puppets,2007,
414,WorldCup,wright2d,2007,
399,WorldCup,HFut_rc08_release,2008,
132,JapanOpens,Obake_Japan_Open,2008,
38,JapanOpens,TDU_ThinkingAnts-jopen08-linux,2008,
409,WorldCup,WrightEagle_rc08_release,2008,
28,PRIMA,BKB_PRIMA2009,2009,
438,AUTCUP,apadis_autcup_64,2009,
415,AUTCUP,bluegene_autcup_64,2009,
99,AUTCUP,eskilas_autcup,2009,
205,AUTCUP,fabulous_autcup,2009,
231,AUTCUP,farenheit_autcup,2009,
72,AUTCUP,immortal_autcup_64,2009,
276,AUTCUP,irantak_autcup_64,2009,
70,AUTCUP,maha_autcup_64,2009,
532,AUTCUP,paranoid_autcup,2009,
367,AUTCUP,robokick_autcup_64,2009,
136,AUTCUP,robotoos_autcup_64,2009,
45,AUTCUP,sourena_autcup_64,2009,
79,AUTCUP,unique2d_autcup_64,2009,
382,AUTCUP,united_autcup,2009,
294,AUTCUP,xifoid_autcup,2009,
108,ChinaOpens,AUA,2010,
334,ChinaOpens,AUAF,2010,
80,ChinaOpens,BITSS,2010,
103,ChinaOpens,CSU_YunLu,2010,
36,ChinaOpens,Lion-griffin2010,2010,
29,ChinaOpens,TJNU,2010,
222,WorldCup,abouali-rc2011,2011,
402,ChinaOpens,csu,2011,
479,WorldCup,daina-rc2011,2011,
259,WorldCup,edin-rc2011,2011,
242,WorldCup,hfut-rc2011,2011,
238,WorldCup,portugal-rc2011,2011,
221,WorldCup,rmas-rc2011,2011,
35,WorldCup,wright-rc2011,2011,
93,WorldCup,marlik,2012,
101,WorldCup,warthog,2013,
500,LARC,red_dragons,2014,
261,LARC,warthog,2014,
142,WorldCup,r3,2015,
